Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Южно-Курильская  													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279					
1	"Число избирателей, внесенных в списки"	7113	2773	1074	937	651	1388	290					
2	"Число бюллетеней, полученных участковыми комиссиями"	6915	2452	995	1201	689	1293	285					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	161	0	0	161	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3839	1004	908	578	364	775	210					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	131	35	0	57	6	33	0					
6	Число погашенных бюллетеней	2784	1413	87	405	319	485	75					
7	Число бюллетеней в переносных ящиках для голосования	292	35	0	218	6	33	0					
8	Число бюллетеней в стационарных ящиках для голосования	3838	1004	908	578	363	775	210					
9	Число недействительных бюллетеней	37	7	10	5	8	7	0					
10	Число действительных бюллетеней	4093	1032	898	791	361	801	210					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	171	35	25	55	15	30	11					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	18	1	36	2	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	2	0	7	0	0	34					
14	Число погашенных открепительных удостоверений	111	17	24	19	13	28	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	82	6	26	23	8	13	6					
		1.98%	0.57%	2.86%	2.88%	2.16%	1.60%	2.85%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	178	55	36	47	8	29	3					
		4.30%	5.29%	3.96%	5.90%	2.16%	3.58%	1.42%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	119	28	16	22	25	25	3					
		2.88%	2.69%	1.76%	2.76%	6.77%	3.09%	1.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	180	98	26	17	14	21	4					
		4.35%	9.43%	2.86%	2.13%	3.79%	2.59%	1.90%					
22	"5. ""За Русь Святую"""	35	12	9	8	2	2	2					
		0.84%	1.15%	0.99%	1.00%	0.54%	0.24%	0.95%					
23	"6. ""Объединенная Российская партия ""Русь"""	21	3	6	6	2	3	1					
		0.50%	0.28%	0.66%	0.75%	0.54%	0.37%	0.47%					
24	"7. ""Новый курс - Автомобильная Россия"""	59	9	23	13	2	9	3					
		1.42%	0.86%	2.53%	1.63%	0.54%	1.11%	1.42%					
25	"8. ""Народно-республиканская партия России"""	6	0	4	2	0	0	0					
		0.14%	0.0%	0.44%	0.25%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	52	13	14	11	2	8	4					
		1.25%	1.25%	1.54%	1.38%	0.54%	0.99%	1.90%					
27	"10. ""Аграрная партия России"""	49	21	6	9	4	7	2					
		1.18%	2.02%	0.66%	1.13%	1.08%	0.86%	0.95%					
28	"11. ""Истинные патриоты России"""	16	0	3	10	0	2	1					
		0.38%	0.0%	0.33%	1.25%	0.0%	0.24%	0.47%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	34	5	7	11	4	7	0					
		0.82%	0.48%	0.77%	1.38%	1.08%	0.86%	0.0%					
30	"13. ""Демократическая партия России"""	18	2	7	5	1	3	0					
		0.43%	0.19%	0.77%	0.62%	0.27%	0.37%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	15	5	4	4	0	1	1					
		0.36%	0.48%	0.44%	0.50%	0.0%	0.12%	0.47%					
32	"15. ""Партия СЛОН"""	13	0	8	4	0	1	0					
		0.31%	0.0%	0.88%	0.50%	0.0%	0.12%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	293	135	60	36	26	30	6					
		7.09%	12.99%	6.60%	4.52%	7.04%	3.71%	2.85%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	25	2	10	9	0	4	0					
		0.60%	0.19%	1.10%	1.13%	0.0%	0.49%	0.0%					
35	"18. ""ЛДПР"""	893	215	218	131	105	204	20					
		21.62%	20.69%	24.00%	16.45%	28.45%	25.24%	9.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	44	13	8	8	3	11	1					
		1.06%	1.25%	0.88%	1.00%	0.81%	1.36%	0.47%					
37	"20. ""Политическая партия ""Единая Россия"""	1333	240	264	329	102	275	123					
		32.27%	23.09%	29.07%	41.33%	27.64%	34.03%	58.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	7	2	1	3	1					
		0.33%	0.0%	0.77%	0.25%	0.27%	0.37%	0.47%					
39	"22. ""Развитие предпринимательства"""	21	5	11	2	1	1	1					
		0.50%	0.48%	1.21%	0.25%	0.27%	0.12%	0.47%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	308	100	66	33	32	66	11					
		7.45%	9.62%	7.26%	4.14%	8.67%	8.16%	5.23%					
													
41	Против всех	285	65	59	49	19	76	17					
		6.90%	6.25%	6.49%	6.15%	5.14%	9.40%	8.09%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
