Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																	
Дата голосования: 04.12.2011																	
																	
Наименование Избирательной комиссии:    Северо-Енисейская																	
																	
Сводная таблица результатов выборов																	
																	
		Сумма	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888					
1	"Число избирателей, внесенных в список избирателей"	9484	1718	1627	1315	1095	2026	59	316	422	790	116					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7460	1170	1120	875	770	2000	60	275	370	720	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1298	0	0	0	0	1252	0	25	0	0	21					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4686	1058	1009	792	608	379	51	210	282	229	68					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	564	30	20	73	78	25	3	4	22	305	4					
6	Число погашенных избирательных бюллетеней	912	82	91	10	84	344	6	36	66	186	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1862	30	20	73	78	1277	3	29	22	305	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4685	1057	1009	792	608	379	51	210	282	229	68					
9	Число недействительных избирательных бюллетеней	122	19	15	15	15	46	1	1	3	2	5					
10	Число действительных избирательных бюллетеней	6425	1068	1014	850	671	1610	53	238	301	532	88					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	40	40	40	33	20	5	20	20	20	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	183	40	26	21	28	20	5	17	15	6	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	73	9	11	7	3	24	2	5	3	7	2					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	14	19	5	0	0	3	5	14	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	4	1	0	0	0	0	0	0	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0					
																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	701	97	133	121	114	106	2	44	35	44	5					
		10.71%	8.92%	12.93%	13.99%	16.62%	6.40%	3.70%	18.41%	11.51%	8.24%	5.38%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1101	161	173	161	109	269	7	66	62	81	12					
		16.82%	14.81%	16.81%	18.61%	15.89%	16.24%	12.96%	27.62%	20.39%	15.17%	12.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	68	11	11	12	6	15	0	4	4	4	1					
		1.04%	1.01%	1.07%	1.39%	0.87%	0.91%	0.00%	1.67%	1.32%	0.75%	1.08%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	782	109	169	126	95	168	11	14	34	42	14					
		11.94%	10.03%	16.42%	14.57%	13.85%	10.14%	20.37%	5.86%	11.18%	7.87%	15.05%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	109	29	18	15	15	19	3	0	4	6	0					
		1.66%	2.67%	1.75%	1.73%	2.19%	1.15%	5.56%	0.00%	1.32%	1.12%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3632	653	503	412	327	1027	30	108	162	354	56					
		55.48%	60.07%	48.88%	47.63%	47.67%	62.02%	55.56%	45.19%	53.29%	66.29%	60.22%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	8	7	3	5	6	0	2	0	1	0					
		0.49%	0.74%	0.68%	0.35%	0.73%	0.36%	0.00%	0.84%	0.00%	0.19%	0.00%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
