Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Беднодемьяновская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210					
1	"Число избирателей, внесенных в списки"	10247	390	221	452	227	104	184	734	149	413	127	341	232	162	117	427	108	353	2064	1519	1923					
2	"Число бюллетеней, полученных участковыми комиссиями"	10207	390	215	459	221	101	186	743	150	432	130	338	218	161	116	428	108	348	2045	1510	1908					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5894	230	153	255	145	75	88	402	110	286	96	255	147	113	96	224	72	222	1124	807	994					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	491	39	16	28	22	7	26	29	9	9	4	18	22	18	15	39	6	36	56	46	46					
6	Число погашенных бюллетеней	3822	121	46	176	54	19	72	312	31	137	30	65	49	30	5	165	30	90	865	657	868					
7	Число бюллетеней в переносных ящиках для голосования	491	39	16	28	22	7	26	29	9	9	4	18	22	18	15	39	6	36	56	46	46					
8	Число бюллетеней в стационарных ящиках для голосования	5894	230	153	255	145	75	88	402	110	286	96	255	147	113	96	224	72	222	1124	807	994					
9	Число недействительных бюллетеней	148	7	4	6	7	4	8	2	8	13	1	3	0	5	6	4	10	0	16	26	18					
10	Число действительных бюллетеней	6237	262	165	277	160	78	106	429	111	282	99	270	169	126	105	259	68	258	1164	827	1022					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	140	9	3	5	3	3	3	8	3	5	3	4	3	3	3	5	3	4	30	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	76	3	0	5	2	0	1	1	0	0	0	0	0	0	0	0	0	1	28	17	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	4	4	1	2	4	1	0	1	3	4	3	2	2	4	2	2	4	7	2	3					
14	Число погашенных открепительных удостоверений	64	6	3	0	1	3	2	7	3	5	3	4	3	3	3	5	3	3	2	3	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	110	4	3	3	2	1	2	2	1	10	2	10	6	4	4	6	3	3	15	11	18					
