Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Новоселицкая																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18039	2509	1433	2020	1751	2184	999	1984	732	1893	380	1105	767	282									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17925	2500	1450	2000	1750	2175	975	2000	700	1875	375	1100	750	275									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5966	839	460	624	575	716	270	694	262	526	140	430	252	178									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	842	63	57	102	61	73	71	92	48	112	48	65	30	20									
6	Число погашенных избирательных бюллетеней	11117	1598	933	1274	1114	1386	634	1214	390	1237	187	605	468	77									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	842	63	57	102	61	73	71	92	48	112	48	65	30	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5966	839	460	624	575	716	270	694	262	526	140	430	252	178									
9	Число недействительных избирательных бюллетеней	196	17	21	30	0	8	14	31	17	19	3	13	17	6									
10	Число действительных избирательных бюллетеней	6612	885	496	696	636	781	327	755	293	619	185	482	265	192									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	16	10	14	12	15	7	14	6	12	5	8	6	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	5	2	2	1	2	2	0	0	6	0	0	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	10	2	0	0	0	1	0	1	1	2	0	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	102	11	8	12	11	13	5	14	6	6	5	8	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	2	2	2	0	2	1	1	0	1	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	53	5	8	3	4	1	8	11	1	4	0	4	3	1									
		0.78%	0.55%	1.55%	0.41%	0.63%	0.13%	2.35%	1.40%	0.32%	0.63%	0.00%	0.81%	1.06%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	192	42	21	25	11	27	16	0	11	11	5	15	4	4									
		2.82%	4.66%	4.06%	3.44%	1.73%	3.42%	4.69%	0.00%	3.55%	1.72%	2.66%	3.03%	1.42%	2.02%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	55	6	6	5	2	0	7	1	4	1	4	13	6	0									
		0.81%	0.67%	1.16%	0.69%	0.31%	0.00%	2.05%	0.13%	1.29%	0.16%	2.13%	2.63%	2.13%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3704	480	232	366	481	578	169	302	149	354	97	221	134	141									
