Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Алтайская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17226	1300	1131	585	1161	1006	1011	1266	1214	1580	1037	122	1007	463	129	624	147	66	257	233	161	844	533	555	794									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17950	1400	1200	650	1100	1100	1050	1200	1200	1600	1050	190	1100	450	140	700	160	80	250	250	180	850	600	600	850									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7421	540	480	243	393	477	394	583	444	618	402	103	382	246	69	379	105	45	103	124	87	353	281	232	338									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	871	44	88	29	30	58	48	57	44	68	43	19	22	18	6	18	0	0	50	10	26	75	20	45	53									
6	Число погашенных избирательных бюллетеней	9658	816	632	378	677	565	608	560	712	914	605	68	696	186	65	303	55	35	97	116	67	422	299	323	459									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	871	44	88	29	30	58	48	57	44	68	43	19	22	18	6	18	0	0	50	10	26	75	20	45	53									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7418	540	480	243	393	477	394	583	444	618	402	103	379	246	69	379	105	45	103	124	87	353	281	232	338									
9	Число недействительных избирательных бюллетеней	221	21	24	8	12	11	11	24	12	19	7	1	1	8	2	9	5	0	2	1	4	15	9	7	8									
10	Число действительных избирательных бюллетеней	8068	563	544	264	411	524	431	616	476	667	438	121	400	256	73	388	100	45	151	133	109	413	292	270	383									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	363	25	20	10	10	10	10	10	10	13	20	20	30	10	20	10	10	10	10	5	5	30	5	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	358	25	20	10	10	10	10	10	10	10	20	20	30	10	20	10	10	8	10	5	5	30	5	30	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	123	5	4	8	11	6	9	15	5	9	6	2	6	3	2	3	3	2	3	1	2	5	4	5	4									
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	0	4	0	1	1	0	6	4	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	84	12	12	3	5	0	5	4	3	3	7	0	1	2	2	2	6	0	0	0	3	4	2	5	3									
		1.01%	2.05%	2.11%	1.10%	1.18%	0.00%	1.13%	0.63%	0.61%	0.44%	1.57%	0.00%	0.25%	0.76%	2.67%	0.50%	5.71%	0.00%	0.00%	0.00%	2.65%	0.93%	0.66%	1.81%	0.77%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	253	14	19	7	9	10	15	27	13	20	20	4	13	5	4	10	1	2	3	2	6	11	15	11	12									
