Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Урванская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	44370	2820	1746	790	850	1771	1688	2649	1608	1765	2738	2150	1095	1145	2057	2642	2105	2144	1556	1934	1850	2224	2443	2600									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44450	2800	1800	800	850	1800	1700	2650	1600	1750	2750	2150	1100	1150	2050	2650	2100	2150	1550	1950	1850	2200	2450	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	40209	2515	1560	660	703	1585	1500	2470	1470	1610	2520	1954	937	960	1862	2400	1955	1970	1450	1800	1690	2068	2220	2350									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	317	35	10	12	12	45	20	20	10	5	0	6	15	10	0	0	5	13	12	20	10	22	15	20									
6	Число погашенных избирательных бюллетеней	3924	250	230	128	135	170	180	160	120	135	230	190	148	180	188	250	140	167	88	130	150	110	215	230									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	317	35	10	12	12	45	20	20	10	5	0	6	15	10	0	0	5	13	12	20	10	22	15	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	40209	2515	1560	660	703	1585	1500	2470	1470	1610	2520	1954	937	960	1862	2400	1955	1970	1450	1800	1690	2068	2220	2350									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	40526	2550	1570	672	715	1630	1520	2490	1480	1615	2520	1960	952	970	1862	2400	1960	1983	1462	1820	1700	2090	2235	2370									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	119	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	5	6	6	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	9	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	1	0	0	1	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	110	5	5	5	5	5	5	5	4	5	4	4	5	5	5	5	2	5	5	5	4	6	6	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	2	3	0	0	0	0	1	1	0	5	0	0	0	0	3	1	2	2	3	3	2	1	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0									
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0									
		0.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	4	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.19%	0.18%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	31305	1841	1172	433	557	1218	1138	1916	1154	1233	1915	1520	726	733	1422	1868	1577	1517	1144	1490	1400	1662	1773	1896									
		77.25%	72.20%	74.65%	64.43%	77.90%	74.72%	74.87%	76.95%	77.97%	76.35%	75.99%	77.55%	76.26%	75.57%	76.37%	77.83%	80.46%	76.50%	78.25%	81.87%	82.35%	79.52%	79.33%	80.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	187	8	6	0	4	6	6	11	9	7	11	8	6	7	4	6	10	11	8	8	10	12	14	15									
