Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Горная																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6251	298	1276	1222	1200	344	304	306	362	446	250	243									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6700	350	1300	1300	1300	350	300	350	350	500	300	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	50	6	0	0	0	3	13	7	4	9	2	6									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4533	282	787	762	817	267	242	267	276	374	235	224									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	243	8	51	56	33	10	11	13	20	15	13	13									
6	Число погашенных избирательных бюллетеней	1874	54	462	482	450	70	34	63	50	102	50	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	293	14	51	56	33	13	24	20	24	24	15	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4533	282	787	762	817	267	242	267	276	374	235	224									
9	Число недействительных избирательных бюллетеней	39	2	13	6	3	2	1	1	3	5	2	1									
10	Число действительных избирательных бюллетеней	4787	294	825	812	847	278	265	286	297	393	248	242									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	245	24	33	23	22	27	20	15	15	30	16	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	231	24	31	18	22	27	20	11	15	30	16	17									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	2	17	17	12	3	3	4	2	12	7	4									
14	Число погашенных неиспользованных открепительных удостоверений	14	0	2	5	0	0	0	4	0	0	0	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	105	3	25	33	30	3	2	4	1	2	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	34	1	6	10	6	3	0	2	1	1	3	1									
		0.70%	0.34%	0.72%	1.22%	0.71%	1.07%	0.00%	0.70%	0.33%	0.25%	1.20%	0.41%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	120	4	16	23	26	4	5	6	13	11	5	7									
		2.49%	1.35%	1.91%	2.81%	3.06%	1.43%	1.88%	2.09%	4.33%	2.76%	2.00%	2.88%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	67	6	18	9	10	4	3	8	1	2	1	5									
		1.39%	2.03%	2.15%	1.10%	1.18%	1.43%	1.13%	2.79%	0.33%	0.50%	0.40%	2.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2619	206	371	390	400	202	155	195	168	245	146	141									
		54.27%	69.59%	44.27%	47.68%	47.06%	72.14%	58.27%	67.94%	56.00%	61.56%	58.40%	58.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	0	2	3	1	0	1	0	1	1	1	0									
		0.21%	0.00%	0.24%	0.37%	0.12%	0.00%	0.38%	0.00%	0.33%	0.25%	0.40%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	1	10	13	11	0	0	0	1	1	1	0									
		0.79%	0.34%	1.19%	1.59%	1.29%	0.00%	0.00%	0.00%	0.33%	0.25%	0.40%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	92	3	21	21	15	3	2	3	8	7	6	3									
		1.91%	1.01%	2.51%	2.57%	1.76%	1.07%	0.75%	1.05%	2.67%	1.76%	2.40%	1.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	4	2	4	0	0	0	0	2	0	1									
		0.27%	0.00%	0.48%	0.24%	0.47%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.41%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	0	8	3	3	0	0	1	1	1	0	0									
		0.35%	0.00%	0.95%	0.37%	0.35%	0.00%	0.00%	0.35%	0.33%	0.25%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	1	1	2	2	0	2	0	1	0	1	0									
