Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Колпнянская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №334	УИК №335	УИК №336	УИК №337	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №358	УИК №359									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12403	1015	1081	1142	1102	1045	275	185	508	491	403	639	611	383	205	507	223	435	318	256	246	193	560	342	238									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12580	1019	1100	1167	1110	1062	282	192	522	494	405	647	613	386	217	519	227	434	319	260	258	193	572	341	241									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8587	847	953	1020	872	790	153	126	303	256	291	324	370	215	115	383	198	222	234	126	183	128	230	138	110									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1981	23	51	38	41	79	60	29	117	153	51	220	150	96	56	85	12	113	33	70	26	40	216	140	82									
6	Число погашенных избирательных бюллетеней	2012	149	96	109	197	193	69	37	102	85	63	103	93	75	46	51	17	99	52	64	49	25	126	63	49									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1981	23	51	38	41	79	60	29	117	153	51	220	150	96	56	85	12	113	33	70	26	40	216	140	82									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8587	847	953	1020	872	790	153	126	303	256	291	324	370	215	115	383	198	222	234	126	183	128	230	138	110									
9	Число недействительных избирательных бюллетеней	78	5	33	12	5	8	2	0	0	2	5	0	0	2	1	0	0	0	1	0	0	0	2	0	0									
10	Число действительных избирательных бюллетеней	10490	865	971	1046	908	861	211	155	420	407	337	544	520	309	170	468	210	335	266	196	209	168	444	278	192									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	276	22	23	25	24	25	6	4	11	11	9	14	13	8	10	11	5	9	7	6	5	4	12	7	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	2	8	11	7	7	3	3	9	0	2	2	5	5	10	1	2	6	3	2	3	2	5	2	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	25	5	2	1	0	1	2	1	1	0	2	0	0	1	1	0	1	1	1	0	0	1	1	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	175	20	15	14	17	18	3	1	2	11	7	12	8	3	0	10	3	3	4	4	2	2	7	5	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	5	5	1	0	1	0	1	0	2	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	37	3	12	3	3	0	2	0	0	1	0	0	1	5	1	1	0	1	2	0	0	0	2	0	0									
		0.35%	0.34%	1.20%	0.28%	0.33%	0.00%	0.94%	0.00%	0.00%	0.24%	0.00%	0.00%	0.19%	1.61%	0.58%	0.21%	0.00%	0.30%	0.75%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	238	39	20	43	29	0	8	2	10	17	5	0	7	11	3	1	0	3	6	3	0	5	15	10	1									
