Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Среднеколымская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509					
1	"Число избирателей, внесенных в список избирателей"	5754	1591	1326	362	271	202	404	296	359	393	371	179					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6110	1650	1030	415	365	250	470	360	440	480	420	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	114	8	19	0	0	26	15	11	5	18	12	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3690	769	792	246	225	147	306	222	269	301	271	142					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	299	101	44	25	18	5	23	14	18	12	31	8					
6	Число погашенных избирательных бюллетеней	2007	772	175	144	122	72	126	113	148	149	106	80					
7	Число избирательных бюллетеней в переносных ящиках для голосования	413	109	63	25	18	31	38	25	23	30	43	8					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3690	769	792	246	225	147	306	222	269	301	271	142					
9	Число недействительных избирательных бюллетеней	31	18	7	0	0	0	2	1	1	1	1	0					
10	Число действительных избирательных бюллетеней	4072	860	848	271	243	178	342	246	291	330	313	150					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	270	73	49	18	16	10	22	15	19	21	18	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	118	20	16	9	11	2	13	15	10	7	12	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	87	14	23	2	22	0	4	7	5	2	7	1					
14	Число погашенных неиспользованных открепительных удостоверений	152	53	33	9	5	8	9	0	9	14	6	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	1	3	0	4	0	1	1	0	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	816	198	186	105	59	15	43	36	42	63	31	38					
		19.89%	22.55%	21.75%	38.75%	24.28%	8.43%	12.50%	14.57%	14.38%	19.03%	9.87%	25.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	145	54	52	5	7	4	3	6	3	6	4	1					
		3.53%	6.15%	6.08%	1.85%	2.88%	2.25%	0.87%	2.43%	1.03%	1.81%	1.27%	0.67%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	8	4	5	4	0	0	1	3	5	0	0					
		0.73%	0.91%	0.47%	1.85%	1.65%	0.00%	0.00%	0.40%	1.03%	1.51%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	327	96	75	15	29	9	13	12	14	38	15	11					
		7.97%	10.93%	8.77%	5.54%	11.93%	5.06%	3.78%	4.86%	4.79%	11.48%	4.78%	7.33%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	23	8	4	1	3	3	0	1	0	3	0	0					
		0.56%	0.91%	0.47%	0.37%	1.23%	1.69%	0.00%	0.40%	0.00%	0.91%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2721	495	525	139	140	146	281	190	228	214	263	100					
		66.32%	56.38%	61.40%	51.29%	57.61%	82.02%	81.69%	76.92%	78.08%	64.65%	83.76%	66.67%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	1	2	1	1	1	2	0	1	1	0	0					
		0.24%	0.11%	0.23%	0.37%	0.41%	0.56%	0.58%	0.00%	0.34%	0.30%	0.00%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
