Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
"Наименование Избирательной комиссии:    Волгоград, Советская"																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845					
1	"Число избирателей, внесенных в список избирателей"	82089	2361	2062	2242	2299	2237	985	2500	2533	2197	1604	1548	1592	473	2083	1609	2670	1616	656	2548	1973	763	1969	2323	2809	2183	2123	1936	2231	3204	1113	2505	1988	1413	1403	2303	2531	2708	1746	2791	699	1343	350	797	336	734					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75600	2100	2100	2100	2100	2100	900	2200	2200	2200	1200	1400	1200	400	1800	1600	2500	1500	600	2300	1900	600	1900	2100	2700	2100	2100	1700	1500	2500	1500	2400	2000	1400	1200	2100	2200	2500	2000	2700	700	1200	300	800	300	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	38587	1299	1138	1129	1109	1238	366	1053	1237	1210	572	699	927	237	940	709	1078	675	288	1226	970	215	1029	1133	1118	947	1047	669	940	1410	596	1104	985	813	684	929	1078	1089	1253	1475	269	650	164	387	167	336					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2548	18	24	36	40	55	6	316	29	31	200	60	8	163	65	30	35	13	10	34	68	103	27	27	49	49	23	28	32	42	328	47	20	23	66	35	85	131	41	4	57	33	6	19	16	16					
6	Число погашенных избирательных бюллетеней	34465	783	938	935	951	807	528	831	934	959	428	641	265	0	795	861	1387	812	302	1040	862	282	844	940	1533	1104	1030	1003	528	1048	576	1249	995	564	450	1136	1037	1280	706	1221	374	517	130	394	117	348					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2548	18	24	36	40	55	6	316	29	31	200	60	8	163	65	30	35	13	10	34	68	103	27	27	49	49	23	28	32	42	328	47	20	23	66	35	85	131	41	4	57	33	6	19	16	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38585	1299	1137	1129	1109	1238	366	1053	1237	1210	572	699	927	237	940	709	1078	675	288	1226	970	215	1029	1133	1118	947	1046	669	940	1410	596	1104	985	813	684	929	1078	1089	1253	1475	269	650	164	387	167	336					
9	Число недействительных избирательных бюллетеней	626	27	19	14	29	10	4	21	18	21	7	7	8	12	13	17	9	8	3	32	18	5	4	24	12	17	15	7	19	31	14	16	9	11	5	19	12	26	25	20	11	11	1	8	4	3					
10	Число действительных избирательных бюллетеней	40507	1290	1142	1151	1120	1283	368	1348	1248	1220	765	752	927	388	992	722	1104	680	295	1228	1020	313	1052	1136	1155	979	1054	690	953	1421	910	1135	996	825	745	945	1151	1194	1269	1459	315	672	169	398	179	349					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1575	52	52	52	37	57	40	52	57	52	15	25	55	10	45	20	52	40	10	27	50	10	45	27	52	52	27	20	20	52	10	42	45	25	45	27	52	52	10	72	10	15	10	35	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1017	33	28	35	35	38	21	29	35	37	8	24	30	4	26	8	30	21	10	24	32	3	27	24	37	30	26	18	15	30	9	34	23	22	25	26	34	28	6	53	2	15	1	13	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1072	29	12	12	18	19	14	22	33	15	14	22	49	17	88	18	10	14	25	17	17	21	54	42	24	38	13	12	77	36	41	16	12	11	17	20	18	63	9	16	11	12	8	9	15	12					
14	Число погашенных неиспользованных открепительных удостоверений	558	19	24	17	2	19	19	23	22	15	7	1	25	6	19	12	22	19	0	3	18	7	18	3	15	22	1	2	5	22	1	8	22	3	20	1	18	24	4	19	8	0	9	22	5	7					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
