Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
"Наименование Избирательной комиссии:    Краснодар, Центральная"																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399					
1	"Число избирателей, внесенных в списки"	118088	2103	1999	2190	1664	1910	2380	1914	2204	2470	2263	1720	1737	2224	1821	2296	2240	2092	1754	1896	2492	2599	2252	1621	2441	2162	2276	1962	1947	2066	1801	1719	1488	2069	2369	2223	2240	2223	2136	1866	1841	1695	1683	2586	2336	2184	1589	2317	2468	2428	2187	2248	2158	2335	2489	2371	357	1230	50	56	128	238	145	140					
2	"Число бюллетеней, полученных участковыми комиссиями"	121330	2030	2160	2090	1640	1940	2400	1890	2210	2450	2320	1740	1890	2220	1750	2300	2100	2060	1660	1820	2460	2540	2430	1630	2560	2200	2330	1990	1890	2000	1740	1840	1650	2020	2550	2390	2190	2270	2260	2050	1830	1730	1700	2660	2300	2030	1690	2410	2570	2590	2240	2320	2020	2300	2530	2590	380	2100	150	200	270	590	270	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	61467	1048	1021	1278	841	1016	1204	1103	1182	1215	1377	975	966	1195	843	1166	1060	1041	856	916	1317	1298	998	642	1367	1169	1127	1032	1141	1140	748	752	759	922	1175	1103	1192	1215	1097	1117	967	854	789	1330	1229	1081	938	1242	1308	1170	1149	1061	1056	1180	1289	1340	206	1149	3	14	107	181	116	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2796	70	41	61	39	53	21	50	61	79	40	57	74	67	27	18	58	61	42	67	47	49	36	45	16	39	42	58	46	43	46	28	30	50	53	37	49	54	61	47	45	50	5	30	30	34	20	17	35	34	40	28	37	92	79	64	86	0	47	42	5	49	19	46					
6	Число погашенных бюллетеней	57067	912	1098	751	760	871	1175	737	967	1156	903	708	850	958	880	1116	982	958	762	837	1096	1193	1396	943	1177	992	1161	900	703	817	946	1060	861	1048	1322	1250	949	1001	1102	886	818	826	906	1300	1041	915	732	1151	1227	1386	1051	1231	927	1028	1162	1186	88	951	100	144	158	360	135	60					
7	Число бюллетеней в переносных ящиках для голосования	2792	70	41	61	39	53	21	50	61	79	40	57	74	67	27	18	58	61	42	67	47	49	36	45	16	39	42	58	46	43	46	25	30	50	53	37	48	54	61	47	45	50	5	30	30	34	20	17	35	34	40	28	37	92	79	64	86	0	47	42	5	49	19	46					
8	Число бюллетеней в стационарных ящиках для голосования	61394	1048	1021	1278	835	1016	1204	1103	1182	1215	1377	975	966	1195	843	1160	1058	1041	856	916	1316	1298	998	642	1367	1169	1127	1031	1141	1140	748	755	759	922	1175	1103	1192	1215	1097	1112	967	854	788	1330	1228	1081	938	1242	1308	1134	1149	1059	1056	1178	1287	1340	206	1138	3	14	107	181	116	94					
9	Число недействительных бюллетеней	779	22	25	23	6	16	16	11	15	16	23	8	8	15	0	27	12	20	17	18	14	16	8	13	10	7	5	5	12	9	15	12	6	6	14	8	10	10	5	12	17	14	1	10	13	20	13	12	20	32	18	13	7	12	18	24	20	7	0	1	4	4	1	3					
10	Число действительных бюллетеней	63407	1096	1037	1316	868	1053	1209	1142	1228	1278	1394	1024	1032	1247	870	1151	1104	1082	881	965	1349	1331	1026	674	1373	1201	1164	1084	1175	1174	779	768	783	966	1214	1132	1230	1259	1153	1147	995	890	792	1350	1245	1095	945	1247	1323	1136	1171	1074	1086	1258	1348	1380	272	1131	50	55	108	226	134	137					
