Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
Наименование Избирательной комиссии:    Алагирская 																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27647	1450	1945	1971	1857	2509	1795	2372	1264	200	99	583	1390	119	549	378	625	308	767	816	1056	975	78	1077	149	151	1357	869	123	87	147	357	39	142	43									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27220	1400	1900	1900	1800	2500	1800	2300	1200	200	150	550	1300	120	550	380	650	300	780	800	1000	950	80	1000	150	140	1300	870	120	70	140	600	40	140	40									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25589	1366	1847	1857	1749	2415	1701	2226	1166	102	85	523	1257	108	513	368	580	279	714	744	984	931	76	942	137	128	1225	800	62	59	123	305	39	138	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	606	13	12	14	18	40	45	39	18	98	0	16	30	4	19	0	23	8	17	35	8	6	0	50	4	10	50	18	0	0	0	11	0	0	0									
6	Число погашенных избирательных бюллетеней	986	21	41	29	33	45	54	35	16	0	65	11	13	8	18	12	47	13	49	21	8	13	4	8	9	2	25	52	58	11	17	245	1	2	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	645	13	12	14	18	40	45	39	18	98	0	16	30	4	19	0	23	8	17	35	8	6	0	50	4	10	50	18	0	0	0	50	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25589	1366	1847	1857	1749	2415	1701	2226	1166	102	85	523	1257	108	513	368	580	279	714	744	984	931	76	942	137	128	1225	800	62	59	123	305	39	138	40									
9	Число недействительных избирательных бюллетеней	106	4	5	2	6	7	5	4	6	0	0	2	3	2	4	3	5	2	5	0	5	2	0	6	0	0	0	0	7	0	0	20	0	1	0									
10	Число действительных избирательных бюллетеней	26128	1375	1854	1869	1761	2448	1741	2261	1178	200	85	537	1284	110	528	365	598	285	726	779	987	935	76	986	141	138	1275	818	55	59	123	335	39	137	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	200	10	10	10	10	20	10	20	10	0	0	5	10	0	5	0	5	0	5	5	10	5	0	10	0	0	10	5	0	0	0	25	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	124	7	8	10	9	6	10	12	8	0	0	0	3	0	5	0	0	0	1	5	10	5	0	7	0	0	10	5	0	0	0	3	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	82	0	0	3	0	5	6	3	2	0	0	2	6	5	5	2	1	0	1	2	3	3	1	4	1	0	5	3	0	0	0	14	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	76	3	2	0	1	14	0	8	2	0	0	5	7	0	0	0	5	0	4	0	0	0	0	3	0	0	0	0	0	0	0	22	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	31	1	1	0	2	4	1	4	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	1	6	1	0	0	4	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	234	19	18	17	14	12	10	19	12	11	0	8	29	2	2	6	2	5	2	0	4	6	0	4	0	3	8	11	1	0	0	2	1	6	0									
		0.89%	1.38%	0.97%	0.91%	0.79%	0.49%	0.57%	0.84%	1.01%	5.50%	0.00%	1.48%	2.25%	1.79%	0.38%	1.63%	0.33%	1.74%	0.27%	0.00%	0.40%	0.64%	0.00%	0.40%	0.00%	2.17%	0.63%	1.34%	1.61%	0.00%	0.00%	0.56%	2.56%	4.35%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	48	2	1	1	0	2	3	1	2	1	0	0	1	0	0	0	8	0	0	0	6	2	0	2	0	0	3	1	2	7	0	1	2	0	0									
