Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    район Коньково																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №3742									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	95530	1183	1926	1809	2210	2190	2408	2059	2215	2134	2018	2257	2162	2184	2364	2203	955	2035	2126	2064	2574	2181	1676	2188	2485	2219	2361	2446	2271	2222	2108	2340	2256	2233	2229	2263	2471	2315	2379	2213	2048	2329	2501	2287	2266	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88300	1000	1700	1650	2050	2050	2200	1900	2050	2000	1850	2100	2000	2000	2200	2050	1000	1950	1950	1900	2400	2000	1550	2000	2300	1900	2200	2300	2100	2100	1950	2200	2100	2100	2050	2100	2100	2150	2250	2050	1850	2200	2300	2150	2150	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32494	615	656	572	695	748	869	752	843	696	643	744	657	768	807	749	422	653	586	552	921	751	519	723	840	657	779	701	755	717	824	816	784	802	786	728	1007	783	768	740	734	755	888	813	787	89									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	873	8	24	17	21	17	20	28	18	14	23	17	17	35	31	10	10	30	21	24	6	17	28	20	11	19	11	23	35	30	12	11	13	6	12	5	23	21	32	24	26	14	19	19	22	29									
6	Число погашенных избирательных бюллетеней	54933	377	1020	1061	1334	1285	1311	1120	1189	1290	1184	1339	1326	1197	1362	1291	568	1267	1343	1324	1473	1232	1003	1257	1449	1224	1410	1576	1310	1353	1114	1373	1303	1292	1252	1367	1070	1346	1450	1286	1090	1431	1393	1318	1341	32									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	872	8	24	17	21	17	20	28	18	14	23	17	17	35	31	10	10	30	21	24	6	17	28	20	11	19	11	23	35	30	12	11	13	6	12	5	23	21	32	24	26	13	19	19	22	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32386	615	656	571	695	748	866	752	843	682	639	743	657	767	804	745	421	653	586	546	917	751	519	718	840	656	779	698	755	691	823	815	779	802	784	725	1002	780	766	737	730	755	886	813	787	89									
9	Число недействительных избирательных бюллетеней	585	6	10	9	14	10	14	13	21	16	10	9	6	11	17	18	12	17	10	10	15	20	7	10	22	7	8	17	17	0	17	13	8	19	11	14	29	14	12	18	12	5	24	12	21	0									
10	Число действительных избирательных бюллетеней	32673	617	670	579	702	755	872	767	840	680	652	751	668	791	818	737	419	666	597	560	908	748	540	728	829	668	782	704	773	721	818	813	784	789	785	716	996	787	786	743	744	763	881	820	788	118									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	734	10	10	15	14	22	20	20	14	14	14	14	14	14	14	14	10	14	19	14	24	24	20	18	19	14	21	19	28	21	27	14	14	18	14	14	19	19	20	14	10	14	14	21	14	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	571	6	8	12	8	15	16	14	13	6	13	12	10	9	14	13	4	9	16	9	17	17	13	16	16	11	19	15	24	17	22	13	14	15	10	11	13	15	15	9	10	13	11	18	10	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	488	59	7	25	5	16	4	3	15	6	13	6	9	4	9	4	7	9	14	0	11	26	1	25	12	6	13	3	6	15	20	11	4	2	6	14	11	10	9	5	9	6	14	8	24	2									
14	Число погашенных неиспользованных открепительных удостоверений	163	4	2	3	6	7	4	6	1	8	1	2	4	5	0	1	6	5	3	5	7	7	7	2	3	3	2	4	4	4	5	1	0	3	4	3	6	4	5	5	0	1	3	3	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	70	5	2	1	2	4	2	1	1	3	0	1	0	0	1	1	0	1	2	1	3	0	4	1	1	2	3	0	3	1	2	1	1	3	1	0	1	1	2	0	3	2	1	4	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1438	21	29	35	32	28	41	34	51	39	32	42	31	44	36	31	18	25	33	35	44	18	15	17	25	26	32	24	42	31	42	37	42	32	34	33	44	31	32	28	39	33	36	34	27	3									
		4.32%	3.37%	4.26%	5.95%	4.47%	3.66%	4.63%	4.36%	5.92%	5.60%	4.83%	5.53%	4.60%	5.49%	4.31%	4.11%	4.18%	3.66%	5.44%	6.14%	4.77%	2.34%	2.74%	2.30%	2.94%	3.85%	4.05%	3.33%	5.32%	4.30%	5.03%	4.48%	5.30%	3.96%	4.27%	4.52%	4.29%	3.87%	4.01%	3.68%	5.16%	4.30%	3.98%	4.09%	3.34%	2.54%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	641	11	9	11	15	10	17	22	9	15	13	13	16	11	17	17	13	17	17	8	16	16	19	9	19	9	14	10	16	14	21	18	13	14	10	14	17	16	13	24	9	12	18	11	27	1									
		1.93%	1.77%	1.32%	1.87%	2.09%	1.31%	1.92%	2.82%	1.05%	2.16%	1.96%	1.71%	2.37%	1.37%	2.04%	2.25%	3.02%	2.49%	2.80%	1.40%	1.73%	2.08%	3.47%	1.22%	2.23%	1.33%	1.77%	1.39%	2.03%	1.94%	2.51%	2.18%	1.64%	1.73%	1.26%	1.92%	1.66%	1.99%	1.63%	3.15%	1.19%	1.56%	1.99%	1.32%	3.34%	0.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1085	14	16	26	22	20	24	27	26	32	17	35	19	22	30	18	13	22	15	16	24	34	12	19	27	23	25	22	28	26	33	28	35	29	40	23	36	23	25	33	25	20	32	26	19	4									
		3.26%	2.25%	2.35%	4.42%	3.07%	2.61%	2.71%	3.46%	3.02%	4.60%	2.57%	4.61%	2.82%	2.74%	3.59%	2.38%	3.02%	3.22%	2.47%	2.81%	2.60%	4.43%	2.19%	2.57%	3.17%	3.41%	3.16%	3.05%	3.54%	3.61%	3.95%	3.39%	4.42%	3.59%	5.03%	3.15%	3.51%	2.87%	3.13%	4.34%	3.31%	2.60%	3.54%	3.13%	2.35%	3.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10854	262	217	145	186	294	255	246	241	194	256	246	200	288	257	250	154	226	209	214	294	279	171	259	247	227	269	243	211	250	273	247	253	272	261	212	359	273	240	241	235	275	290	299	277	57									
		32.64%	42.05%	31.91%	24.66%	25.98%	38.43%	28.78%	31.54%	27.99%	27.87%	38.67%	32.37%	29.67%	35.91%	30.78%	33.11%	35.73%	33.09%	34.43%	37.54%	31.85%	36.33%	31.26%	35.09%	29.02%	33.63%	34.05%	33.70%	26.71%	34.67%	32.69%	29.90%	31.94%	33.66%	32.79%	29.04%	35.02%	34.08%	30.08%	31.67%	31.08%	35.81%	32.04%	35.94%	34.24%	48.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	696	21	11	14	14	15	17	20	22	14	12	12	8	15	14	17	7	12	10	7	26	9	15	21	19	11	13	17	13	14	16	17	15	18	9	29	20	12	21	15	16	21	27	19	18	3									
		2.09%	3.37%	1.62%	2.38%	1.96%	1.96%	1.92%	2.56%	2.56%	2.01%	1.81%	1.58%	1.19%	1.87%	1.68%	2.25%	1.62%	1.76%	1.65%	1.23%	2.82%	1.17%	2.74%	2.85%	2.23%	1.63%	1.65%	2.36%	1.65%	1.94%	1.92%	2.06%	1.89%	2.23%	1.13%	3.97%	1.95%	1.50%	2.63%	1.97%	2.12%	2.73%	2.98%	2.28%	2.22%	2.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	99	4	2	1	0	3	3	1	1	3	1	3	2	2	3	1	1	3	1	1	1	2	2	3	1	3	1	5	3	2	2	0	3	5	6	4	1	2	5	4	0	3	0	3	1	1									
		0.30%	0.64%	0.29%	0.17%	0.00%	0.39%	0.34%	0.13%	0.12%	0.43%	0.15%	0.39%	0.30%	0.25%	0.36%	0.13%	0.23%	0.44%	0.16%	0.18%	0.11%	0.26%	0.37%	0.41%	0.12%	0.44%	0.13%	0.69%	0.38%	0.28%	0.24%	0.00%	0.38%	0.62%	0.75%	0.55%	0.10%	0.25%	0.63%	0.53%	0.00%	0.39%	0.00%	0.36%	0.12%	0.85%									
