Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Шатурская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356	УИК №3357	УИК №3358	УИК №3359	УИК №3360	УИК №3361	УИК №3362	УИК №3363	УИК №3364	УИК №3365	УИК №3585									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	55531	2394	1322	1459	2031	2928	1843	1440	2818	1708	1798	1641	1975	984	358	1766	295	488	1582	1108	1705	1406	1479	1634	310	358	1818	478	396	668	2427	390	854	1948	2072	345	967	307	146	271	329	1035	545	284	1123	1733	565									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	54030	2350	1300	1400	2000	2900	1800	1450	2800	1700	1750	1650	1950	950	300	1700	250	450	1550	1100	1700	1400	1450	1600	300	300	1800	450	350	650	2400	350	850	1950	1950	300	950	300	140	250	240	1000	500	250	1000	1750	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17578	790	406	537	690	962	654	501	1008	614	626	536	622	308	139	472	43	146	496	339	522	392	402	485	129	137	462	165	129	200	749	79	274	523	735	42	283	40	41	67	54	398	155	61	471	567	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1616	10	59	19	11	19	11	7	15	6	1	4	6	5	3	16	2	15	32	18	15	56	33	82	16	8	16	17	23	36	10	49	68	31	150	75	41	49	24	69	106	51	58	45	38	158	33									
6	Число погашенных избирательных бюллетеней	34836	1550	835	844	1299	1919	1135	942	1777	1080	1123	1110	1322	637	158	1212	205	289	1022	743	1163	952	1015	1033	155	155	1322	268	198	414	1641	222	508	1396	1065	183	626	211	75	114	80	551	287	144	491	1025	340									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1616	10	59	19	11	19	11	7	15	6	1	4	6	5	3	16	2	15	32	18	15	56	33	82	16	8	16	17	23	36	10	49	68	31	150	75	41	49	24	69	106	51	58	45	38	158	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17566	790	406	537	687	962	653	501	1008	614	626	536	614	308	139	472	43	146	496	339	522	392	402	485	129	137	462	165	129	200	749	79	274	523	735	42	283	40	41	67	54	398	155	61	471	567	127									
9	Число недействительных избирательных бюллетеней	600	8	14	22	24	30	16	14	45	12	30	8	25	13	3	23	0	2	15	15	22	15	8	0	10	6	18	11	2	10	38	5	0	6	49	6	17	5	0	1	3	11	0	2	16	15	5									
10	Число действительных избирательных бюллетеней	18582	792	451	534	674	951	648	494	978	608	597	532	595	300	139	465	45	159	513	342	515	433	427	567	135	139	460	171	150	226	721	123	342	548	836	111	307	84	65	135	157	438	213	104	493	710	155									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	950	25	20	30	35	30	30	30	30	30	20	20	25	15	15	15	10	10	25	25	25	25	20	20	10	10	20	15	20	20	35	10	15	20	30	10	20	15	10	15	15	25	25	15	25	25	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	550	18	9	11	23	25	14	8	21	12	9	19	9	5	5	12	1	3	10	12	24	25	12	18	5	7	13	15	3	3	35	8	8	20	21	0	6	9	5	0	6	15	10	1	25	25	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	696	49	19	24	22	27	19	21	17	14	28	15	14	19	12	13	14	16	9	14	14	6	21	4	7	15	19	7	7	19	5	13	8	14	16	5	10	4	5	8	16	7	10	11	62	7	10									
14	Число погашенных неиспользованных открепительных удостоверений	400	7	11	19	12	5	16	22	9	18	11	1	16	10	10	3	9	7	15	13	1	0	8	2	5	3	7	0	17	17	0	2	7	0	9	10	14	6	5	15	9	10	15	14	0	0	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	368	30	10	12	15	26	8	19	23	5	17	16	14	8	3	16	5	1	10	19	13	1	5	5	4	2	11	2	2	2	13	4	5	6	4	2	2	1	1	2	0	2	0	3	1	15	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
