Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Первомайская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9357	437	449	153	124	491	239	428	208	234	289	520	310	213	213	311	489	176	971	1899	625	578									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9270	440	440	150	120	480	240	430	200	230	290	500	300	200	200	300	480	170	950	2000	600	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3619	220	246	61	68	78	92	172	62	63	115	186	87	37	44	105	163	15	415	921	282	187									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1261	52	54	19	15	150	32	55	62	66	51	89	58	78	60	47	126	58	50	75	23	41									
6	Число погашенных избирательных бюллетеней	4390	168	140	70	37	252	116	203	76	101	124	225	155	85	96	148	191	97	485	1004	295	322									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1261	52	54	19	15	150	32	55	62	66	51	89	58	78	60	47	126	58	50	75	23	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3619	220	246	61	68	78	92	172	62	63	115	186	87	37	44	105	163	15	415	921	282	187									
9	Число недействительных избирательных бюллетеней	81	4	5	1	1	0	1	4	3	2	0	3	0	2	6	3	5	2	8	21	5	5									
10	Число действительных избирательных бюллетеней	4799	268	295	79	82	228	123	223	121	127	166	272	145	113	98	149	284	71	457	975	300	223									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	143	7	7	5	3	6	5	7	5	5	5	8	5	5	5	5	7	3	10	26	7	7									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	7	7	5	0	0	2	7	5	0	3	1	0	5	5	1	2	1	5	25	7	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	0	6	1	3	7	1	2	3	0	1	1	4	0	1	2	2	1	3	5	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	54	0	0	0	3	6	3	0	0	5	2	7	5	0	0	4	5	2	5	1	0	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	88	3	1	1	0	2	2	5	2	2	4	3	6	1	2	3	5	0	8	15	11	12									
		1.80%	1.10%	0.33%	1.25%	0.00%	0.88%	1.61%	2.20%	1.61%	1.55%	2.41%	1.09%	4.14%	0.87%	1.92%	1.97%	1.73%	0.00%	1.72%	1.51%	3.61%	5.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	131	4	5	3	2	7	6	9	1	7	10	7	0	1	2	3	4	2	19	23	13	3									
		2.68%	1.47%	1.67%	3.75%	2.41%	3.07%	4.84%	3.96%	0.81%	5.43%	6.02%	2.55%	0.00%	0.87%	1.92%	1.97%	1.38%	2.74%	4.09%	2.31%	4.26%	1.32%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	108	5	4	4	2	9	6	2	2	2	4	6	4	2	4	5	10	4	8	18	5	2									
		2.21%	1.84%	1.33%	5.00%	2.41%	3.95%	4.84%	0.88%	1.61%	1.55%	2.41%	2.18%	2.76%	1.74%	3.85%	3.29%	3.46%	5.48%	1.72%	1.81%	1.64%	0.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2620	178	206	37	53	135	73	142	72	80	84	171	70	66	59	82	175	37	206	467	125	102									
		53.69%	65.44%	68.67%	46.25%	63.86%	59.21%	58.87%	62.56%	58.06%	62.02%	50.60%	62.18%	48.28%	57.39%	56.73%	53.95%	60.55%	50.68%	44.30%	46.89%	40.98%	44.74%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	27	3	3	1	1	0	0	2	1	1	0	0	1	0	0	4	0	0	4	3	2	1									
		0.55%	1.10%	1.00%	1.25%	1.20%	0.00%	0.00%	0.88%	0.81%	0.78%	0.00%	0.00%	0.69%	0.00%	0.00%	2.63%	0.00%	0.00%	0.86%	0.30%	0.66%	0.44%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	0	1	1	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	5	0	0									
		0.27%	0.00%	0.33%	1.25%	0.00%	0.00%	0.00%	0.00%	0.81%	0.78%	1.20%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	953	39	26	13	10	27	25	31	25	11	35	49	27	32	12	33	59	20	121	226	68	64									
		19.53%	14.34%	8.67%	16.25%	12.05%	11.84%	20.16%	13.66%	20.16%	8.53%	21.08%	17.82%	18.62%	27.83%	11.54%	21.71%	20.42%	27.40%	26.02%	22.69%	22.30%	28.07%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	17	0	1	1	1	1	1	1	0	1	0	0	0	0	1	0	2	0	2	2	2	1									
		0.35%	0.00%	0.33%	1.25%	1.20%	0.44%	0.81%	0.44%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.96%	0.00%	0.69%	0.00%	0.43%	0.20%	0.66%	0.44%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	2	0	0	0	2	0	0	1	0	0	0	3	0	3	0	3	1	2	6	1	1									
		0.51%	0.74%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.81%	0.00%	0.00%	0.00%	2.07%	0.00%	2.88%	0.00%	1.04%	1.37%	0.43%	0.60%	0.33%	0.44%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	0	1	0	0	1	2	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0									
		0.18%	0.00%	0.33%	0.00%	0.00%	0.44%	1.61%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.00%	0.66%	0.35%	0.00%	0.22%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	30	1	3	0	1	1	0	0	0	2	3	1	0	1	0	1	1	0	3	10	1	1									
		0.61%	0.37%	1.00%	0.00%	1.20%	0.44%	0.00%	0.00%	0.00%	1.55%	1.81%	0.36%	0.00%	0.87%	0.00%	0.66%	0.35%	0.00%	0.65%	1.00%	0.33%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	547	29	38	10	9	40	8	20	14	17	21	21	22	8	5	11	12	4	52	135	50	21									
		11.21%	10.66%	12.67%	12.50%	10.84%	17.54%	6.45%	8.81%	11.29%	13.18%	12.65%	7.64%	15.17%	6.96%	4.81%	7.24%	4.15%	5.48%	11.18%	13.55%	16.39%	9.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	2	0	0	0	1	0	0	0	0	0	0	0	0	1	1	2	1	2	3	1	2									
		0.33%	0.74%	0.00%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.96%	0.66%	0.69%	1.37%	0.43%	0.30%	0.33%	0.88%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	215	2	6	8	3	2	0	11	2	3	3	12	12	2	7	5	10	2	29	62	21	13									
		4.41%	0.74%	2.00%	10.00%	3.61%	0.88%	0.00%	4.85%	1.61%	2.33%	1.81%	4.36%	8.28%	1.74%	6.73%	3.29%	3.46%	2.74%	6.24%	6.22%	6.89%	5.70%									
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
