Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																					
Дата голосования: 02.12.2007																					
																					
Наименование Избирательной комиссии:    Медынская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500					
1	"Число избирателей, внесенных в списки избирателей"	9468	2902	2735	261	321	145	600	470	176	358	300	177	558	59	406					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9170	2700	2600	275	325	160	600	490	170	335	300	200	550	65	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5442	1695	1450	151	249	92	305	285	138	222	222	51	298	59	225					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1441	142	218	76	61	30	148	126	31	113	67	119	164	0	146					
6	Число погашенных избирательных бюллетеней	2287	863	932	48	15	38	147	79	1	0	11	30	88	6	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1441	142	218	76	61	30	148	126	31	113	67	119	164	0	146					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5442	1695	1450	151	249	92	305	285	138	222	222	51	298	59	225					
9	Число недействительных избирательных бюллетеней	49	17	7	1	2	1	1	1	3	0	2	0	6	7	1					
10	Число действительных избирательных бюллетеней	6834	1820	1661	226	308	121	452	410	166	335	287	170	456	52	370					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	111	12	17	5	5	17	5	5	8	1	5	11	5	0	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	106	12	17	5	5	17	5	5	8	0	2	11	4	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	68	19	14	2	6	1	4	0	4	5	4	1	4	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	5	0	0	0	0	0	0	0	0	1	3	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	1	0	0	2	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	1.Политическая партия «Аграрная партия России»	133	30	26	11	4	3	16	8	2	4	7	5	9	2	6					
		1.93%	1.63%	1.56%	4.85%	1.29%	2.46%	3.53%	1.95%	1.18%	1.19%	2.42%	2.94%	1.95%	3.39%	1.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	36	12	9	2	2	0	5	1	0	0	0	0	1	1	3					
		0.52%	0.65%	0.54%	0.88%	0.65%	0.00%	1.10%	0.24%	0.00%	0.00%	0.00%	0.00%	0.22%	1.69%	0.81%					
20	3.Политическая партия «Демократическая партия России»	7	1	2	0	1	0	2	0	0	0	0	0	0	0	1					
		0.10%	0.05%	0.12%	0.00%	0.32%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	417	146	91	20	11	9	35	10	11	37	13	7	11	4	12					
		6.06%	7.95%	5.46%	8.81%	3.55%	7.38%	7.73%	2.43%	6.51%	11.04%	4.50%	4.12%	2.38%	6.78%	3.23%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	27	5	4	0	4	0	4	2	0	2	1	0	1	0	4					
		0.39%	0.27%	0.24%	0.00%	1.29%	0.00%	0.88%	0.49%	0.00%	0.60%	0.35%	0.00%	0.22%	0.00%	1.08%					
23	6.Политическая партия «Партия социальной справедливости»	11	6	2	1	0	0	1	0	0	0	1	0	0	0	0					
		0.16%	0.33%	0.12%	0.44%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	531	181	136	17	13	13	32	27	13	23	11	4	31	5	25					
		7.71%	9.85%	8.15%	7.49%	4.19%	10.66%	7.06%	6.57%	7.69%	6.87%	3.81%	2.35%	6.71%	8.47%	6.74%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	322	103	102	5	13	4	27	18	4	9	13	2	9	4	9					
		4.68%	5.61%	6.12%	2.20%	4.19%	3.28%	5.96%	4.38%	2.37%	2.69%	4.50%	1.18%	1.95%	6.78%	2.43%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	54	17	11	2	5	0	3	4	1	2	2	1	3	0	3					
		0.78%	0.93%	0.66%	0.88%	1.61%	0.00%	0.66%	0.97%	0.59%	0.60%	0.69%	0.59%	0.65%	0.00%	0.81%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5256	1304	1267	168	254	92	325	339	135	257	238	150	389	33	305					
		76.36%	70.99%	75.96%	74.01%	81.94%	75.41%	71.74%	82.48%	79.88%	76.72%	82.35%	88.24%	84.20%	55.93%	82.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	40	15	11	0	1	0	2	1	0	1	1	1	2	3	2					
		0.58%	0.82%	0.66%	0.00%	0.32%	0.00%	0.44%	0.24%	0.00%	0.30%	0.35%	0.59%	0.43%	5.08%	0.54%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
