Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																					
Дата голосования: 04.12.2011																					
																					
Наименование Избирательной комиссии:    Медынская																					
																					
Сводная таблица результатов выборов																					
																					
		Сумма	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508					
1	"Число избирателей, внесенных в список избирателей"	9242	302	265	155	581	46	375	225	123	269	2864	2903	172	442	520					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9500	300	280	200	600	50	400	240	160	300	2900	2800	200	470	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	5515	221	193	54	320	46	247	152	84	208	1678	1583	140	254	335					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1503	76	71	100	200	0	127	69	19	60	189	314	32	107	139					
6	Число погашенных избирательных бюллетеней	2480	3	16	46	80	4	26	19	57	32	1033	903	28	109	124					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1503	76	71	100	200	0	127	69	19	60	189	314	32	107	139					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5515	221	193	54	320	46	247	152	84	208	1678	1583	140	254	335					
9	Число недействительных избирательных бюллетеней	139	3	2	1	13	0	10	4	1	3	49	44	1	6	2					
10	Число действительных избирательных бюллетеней	6879	294	262	153	507	46	364	217	102	265	1818	1853	171	355	472					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	308	1	8	15	45	1	45	10	28	20	24	25	18	27	41					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	308	1	8	15	45	1	45	10	28	20	24	25	18	27	41					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	179	5	9	6	10	1	19	4	4	5	33	53	6	15	9					
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	60	0	0	33	0	0	1	0	3	0	7	7	1	6	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	859	36	38	11	46	7	25	12	16	25	253	266	16	28	80					
		12.24%	12.12%	14.39%	7.14%	8.85%	15.22%	6.68%	5.43%	15.53%	9.33%	13.55%	14.02%	9.30%	7.76%	16.88%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1033	29	43	12	98	13	38	44	14	28	286	304	33	58	33					
		14.72%	9.76%	16.29%	7.79%	18.85%	28.26%	10.16%	19.91%	13.59%	10.45%	15.32%	16.03%	19.19%	16.07%	6.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	82	1	1	5	4	0	4	2	2	0	30	18	2	1	12					
		1.17%	0.34%	0.38%	3.25%	0.77%	0.00%	1.07%	0.90%	1.94%	0.00%	1.61%	0.95%	1.16%	0.28%	2.53%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1050	43	23	5	74	5	36	45	17	37	363	278	13	32	79					
		14.96%	14.48%	8.71%	3.25%	14.23%	10.87%	9.63%	20.36%	16.50%	13.81%	19.44%	14.65%	7.56%	8.86%	16.67%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	137	3	4	1	3	1	7	1	2	0	42	51	2	7	13					
		1.95%	1.01%	1.52%	0.65%	0.58%	2.17%	1.87%	0.45%	1.94%	0.00%	2.25%	2.69%	1.16%	1.94%	2.74%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3686	180	153	119	281	20	253	112	50	171	832	928	104	229	254					
		52.52%	60.61%	57.95%	77.27%	54.04%	43.48%	67.65%	50.68%	48.54%	63.81%	44.56%	48.92%	60.47%	63.43%	53.59%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	32	2	0	0	1	0	1	1	1	4	12	8	1	0	1					
		0.46%	0.67%	0.00%	0.00%	0.19%	0.00%	0.27%	0.45%	0.97%	1.49%	0.64%	0.42%	0.58%	0.00%	0.21%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
