Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Бокситогорская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37					
1	"Число избирателей, внесенных в список избирателей"	44182	2656	2213	977	2651	2745	2761	211	2136	2218	2230	2359	2247	2142	2435	2283	1256	340	1253	354	350	209	1121	495	1404	623	544	405	165	179	614	220	603	239	269	122	819	334					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42000	2600	2200	950	2600	2700	2700	200	2000	2000	2000	2000	2000	2000	2200	2000	1200	350	1200	350	350	200	1100	500	1400	600	560	400	160	200	600	200	600	250	300	130	850	350					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22172	1380	1277	483	1529	1393	1485	64	1150	1214	1221	1251	1224	1039	1271	1276	551	152	593	119	152	70	412	203	642	257	169	148	84	43	246	68	269	61	154	18	379	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2226	30	35	21	54	56	92	20	41	45	61	91	50	46	40	42	90	33	66	82	46	43	148	33	66	96	84	72	8	43	84	77	107	71	37	64	108	44					
6	Число погашенных избирательных бюллетеней	17602	1190	888	446	1017	1251	1123	116	809	741	718	658	726	915	889	682	559	165	541	149	152	87	540	264	692	247	307	180	68	114	270	55	224	118	109	48	363	181					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2226	30	35	21	54	56	92	20	41	45	61	91	50	46	40	42	90	33	66	82	46	43	148	33	66	96	84	72	8	43	84	77	107	71	37	64	108	44					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22161	1379	1277	483	1528	1393	1484	64	1150	1214	1220	1251	1223	1039	1269	1274	551	152	593	119	152	70	412	203	642	257	167	148	84	43	246	68	269	61	154	18	379	125					
9	Число недействительных избирательных бюллетеней	636	45	46	17	52	32	39	2	29	33	33	26	39	50	33	24	6	8	9	4	3	3	6	5	17	15	9	9	3	0	4	0	4	4	11	1	12	3					
10	Число действительных избирательных бюллетеней	23751	1364	1266	487	1530	1417	1537	82	1162	1226	1248	1316	1234	1035	1276	1292	635	177	650	197	195	110	554	231	691	338	242	211	89	86	326	145	372	128	180	81	475	166					
