Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
Наименование Избирательной комиссии:    Каменская																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46339	1266	1640	886	1393	865	642	1650	1552	1355	1430	1336	1431	1408	1402	1656	627	1618	1689	1729	992	1652	664	1095	527	826	494	297	747	229	362	263	239	299	334	211	486	148	557	1320	88	1159	536	141	1184	288	247	377	254	793	132	796	619	354	426	147	84	848	549									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	45355	1200	1440	850	1350	850	630	1600	1500	1320	1400	1300	1400	1400	1400	1630	600	1600	1630	1700	950	1600	650	1050	520	800	480	300	750	230	360	260	240	290	340	210	490	150	550	1300	85	1160	560	140	1200	280	250	380	250	780	135	800	620	350	420	145	80	850	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26967	671	545	438	792	392	282	675	514	454	905	854	759	693	849	883	340	615	710	1124	699	665	222	401	419	686	448	243	648	108	156	72	134	240	227	181	381	115	482	1070	73	927	453	114	1045	181	180	308	140	583	111	575	465	174	364	130	51	635	366									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3537	158	282	129	168	19	73	25	90	190	22	18	87	108	10	48	66	36	145	126	46	66	37	88	31	110	0	8	0	74	54	79	51	17	43	14	14	13	10	138	8	97	41	23	20	50	51	32	35	60	8	61	104	48	40	10	15	51	90									
6	Число погашенных избирательных бюллетеней	14851	371	613	283	390	439	275	900	896	676	473	428	554	599	541	699	194	949	775	450	205	869	391	561	70	4	32	49	102	48	150	109	55	33	70	15	95	22	58	92	4	136	66	3	135	49	19	40	75	137	16	164	51	128	16	5	14	164	94									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3537	158	282	129	168	19	73	25	90	190	22	18	87	108	10	48	66	36	145	126	46	66	37	88	31	110	0	8	0	74	54	79	51	17	43	14	14	13	10	138	8	97	41	23	20	50	51	32	35	60	8	61	104	48	40	10	15	51	90									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26955	671	545	438	792	392	282	675	514	454	903	854	759	693	840	883	340	615	710	1124	699	665	222	401	419	686	448	243	648	108	156	72	134	240	227	181	381	115	482	1070	73	927	453	114	1045	181	180	308	140	583	111	574	465	174	364	130	51	635	366									
9	Число недействительных избирательных бюллетеней	274	3	10	4	5	6	6	8	0	1	13	14	17	2	17	0	1	19	2	29	6	4	6	30	2	4	2	0	1	0	1	0	2	0	4	1	1	10	3	2	1	2	5	0	3	0	0	0	5	2	0	6	1	1	0	0	0	10	2									
10	Число действительных избирательных бюллетеней	30218	826	817	563	955	405	349	692	604	643	912	858	829	799	833	931	405	632	853	1221	739	727	253	459	448	792	446	251	647	182	209	151	183	257	266	194	394	118	489	1206	80	1022	489	137	1062	231	231	340	170	641	119	629	568	221	404	140	66	676	454									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	5	5	5	11	5	5	27	18	5	15	8	8	15	15	12	5	13	12	8	5	5	7	9	5	3	2	2	3	2	2	2	2	2	2	2	4	2	3	3	2	8	5	2	8	2	2	2	2	8	2	3	3	3	2	2	2	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	249	3	3	3	9	5	5	24	14	3	15	6	7	12	14	11	3	12	12	6	0	5	6	6	2	2	2	0	3	2	2	1	1	2	2	2	3	0	0	1	0	8	4	0	8	2	1	0	0	4	0	1	0	2	2	0	2	4	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	0	0	5	2	1	3	9	12	3	8	5	8	1	3	1	0	6	10	6	6	2	2	3	2	0	2	1	2	2	3	1	1	1	1	1	1	1	0	1	0	1	1	1	0	2	3	1	0	1	1	3	4	1	2	0	1	5	0									
14	Число погашенных неиспользованных открепительных удостоверений	79	2	2	2	2	0	0	3	4	2	0	2	1	3	1	1	2	1	0	2	5	0	1	3	3	1	0	2	0	0	0	1	1	0	0	0	1	2	3	2	2	0	1	2	0	0	1	2	2	4	2	2	3	1	0	2	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	68	0	4	0	2	0	2	5	1	3	1	1	1	0	4	2	1	4	1	3	4	0	0	2	0	0	0	0	0	1	0	0	0	1	3	0	0	0	1	1	0	6	2	1	1	0	1	0	0	0	3	3	1	0	1	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	215	12	7	3	8	2	2	15	4	5	8	4	4	8	5	2	2	4	4	9	7	3	3	5	4	1	4	0	16	3	4	1	2	0	1	1	0	0	1	14	0	11	1	0	0	0	1	0	2	5	0	4	3	2	0	0	0	5	3									
		0.71%	1.45%	0.85%	0.53%	0.83%	0.49%	0.56%	2.14%	0.66%	0.78%	0.86%	0.46%	0.47%	0.99%	0.59%	0.21%	0.49%	0.61%	0.47%	0.72%	0.94%	0.41%	1.16%	1.02%	0.89%	0.13%	0.89%	0.00%	2.47%	1.65%	1.90%	0.66%	1.08%	0.00%	0.37%	0.51%	0.00%	0.00%	0.20%	1.16%	0.00%	1.07%	0.20%	0.00%	0.00%	0.00%	0.43%	0.00%	1.14%	0.78%	0.00%	0.63%	0.53%	0.90%	0.00%	0.00%	0.00%	0.73%	0.66%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	745	16	19	7	15	10	5	19	7	20	27	13	14	20	19	35	14	37	14	21	17	14	14	16	8	4	6	3	21	1	8	4	2	9	6	3	13	6	8	12	0	86	21	4	20	4	3	7	9	10	0	5	40	8	0	0	1	11	9									
		2.44%	1.93%	2.30%	1.23%	1.56%	2.43%	1.41%	2.71%	1.16%	3.11%	2.92%	1.49%	1.65%	2.50%	2.24%	3.76%	3.45%	5.68%	1.64%	1.68%	2.28%	1.92%	5.41%	3.27%	1.78%	0.50%	1.34%	1.20%	3.24%	0.55%	3.81%	2.65%	1.08%	3.50%	2.22%	1.54%	3.29%	4.69%	1.63%	0.99%	0.00%	8.40%	4.25%	2.92%	1.88%	1.73%	1.30%	2.06%	5.14%	1.56%	0.00%	0.79%	7.03%	3.60%	0.00%	0.00%	1.52%	1.60%	1.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	481	7	10	11	9	11	2	17	4	25	33	23	13	43	18	47	7	21	18	21	12	16	6	10	5	0	0	5	7	3	1	0	1	0	1	1	0	4	2	5	0	6	6	0	0	3	0	2	0	9	0	7	12	2	0	0	2	9	4									
		1.58%	0.84%	1.21%	1.94%	0.94%	2.68%	0.56%	2.43%	0.66%	3.88%	3.57%	2.64%	1.54%	5.37%	2.12%	5.05%	1.72%	3.23%	2.11%	1.68%	1.61%	2.19%	2.32%	2.04%	1.11%	0.00%	0.00%	1.99%	1.08%	1.65%	0.48%	0.00%	0.54%	0.00%	0.37%	0.51%	0.00%	3.13%	0.41%	0.41%	0.00%	0.59%	1.21%	0.00%	0.00%	1.30%	0.00%	0.59%	0.00%	1.40%	0.00%	1.10%	2.11%	0.90%	0.00%	0.00%	3.03%	1.31%	0.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	20803	528	528	368	663	213	239	299	453	310	496	595	580	377	505	503	262	249	608	804	533	443	118	226	328	718	360	184	400	140	125	106	151	241	196	152	309	68	434	939	69	801	398	130	825	164	199	271	121	478	108	481	462	143	348	127	52	534	341									
