Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																					
Дата голосования: 07.12.2003 0:00:00																																																					
																																																					
Наименование Избирательной комиссии:    Агаповская																																																					
																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																					
																																																					
		Сумма	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564					
1	"Число избирателей, внесенных в списки"	25606	1733	1775	1333	433	301	1918	560	364	188	144	195	239	574	804	207	791	469	177	188	333	173	117	1334	298	994	518	261	381	1827	427	404	245	1711	248	546	201	197	140	158	209	176	126	638	183	955	413					
2	"Число бюллетеней, полученных участковыми комиссиями"	25495	1725	1785	1280	425	285	1790	570	370	180	140	200	230	540	800	205	770	440	155	190	340	175	120	1290	300	945	530	245	375	1940	430	405	220	1710	235	765	200	195	150	160	205	180	130	640	180	960	390					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	15397	1070	1094	899	267	236	937	257	237	129	118	122	165	305	360	117	439	263	124	117	166	86	96	875	169	655	327	171	167	1020	179	214	151	969	146	546	154	128	83	105	159	137	89	386	134	556	273					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	391	41	30	23	6	0	7	28	0	6	0	0	0	9	12	0	11	12	0	0	0	1	0	4	16	33	0	9	9	29	19	0	21	24	2	0	0	9	0	0	0	0	0	14	7	9	0					
6	Число погашенных бюллетеней	9707	614	661	358	152	49	846	285	133	45	22	78	65	226	428	88	320	165	31	73	174	88	24	411	115	257	203	65	199	891	232	191	48	717	87	219	46	58	67	55	46	43	41	240	39	395	117					
7	Число бюллетеней в переносных ящиках для голосования	391	41	30	23	6	0	7	28	0	6	0	0	0	9	12	0	11	12	0	0	0	1	0	4	16	33	0	9	9	29	19	0	21	24	2	0	0	9	0	0	0	0	0	14	7	9	0					
8	Число бюллетеней в стационарных ящиках для голосования	15391	1068	1094	899	267	236	937	257	237	129	118	122	165	305	360	117	439	263	124	117	166	86	96	873	169	655	327	171	167	1020	179	214	151	969	146	546	153	128	83	105	159	137	89	386	134	555	273					
9	Число недействительных бюллетеней	242	15	16	11	4	5	24	7	1	0	0	2	0	5	14	5	10	2	3	1	1	2	0	16	3	7	13	2	2	13	6	1	0	16	2	3	1	2	0	2	0	3	2	9	2	2	7					
10	Число действительных бюллетеней	15540	1094	1108	911	269	231	920	278	236	135	118	120	165	309	358	112	440	273	121	116	165	85	96	861	182	681	314	178	174	1036	192	213	172	977	146	543	152	135	83	103	159	134	87	391	139	562	266					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	163	10	8	8	2	2	8	2	3	1	1	1	2	2	8	1	8	3	1	1	2	1	1	8	3	8	3	1	3	8	3	3	3	8	1	8	1	1	1	1	2	1	1	8	1	8	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	47	5	6	5	0	0	7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	6	0	3	1	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	6	2	4	2	0	3	0	0	0	0	0	0	6	1	0	5	0	1	1	0	1	0	3	0	10	2	1	0	4	1	0	5	2	0	2	2	0	0	0	0	0	0	3	2	5	0					
14	Число погашенных открепительных удостоверений	116	5	2	3	2	2	1	2	3	1	1	1	2	1	8	1	8	3	0	1	2	1	1	2	3	5	2	1	3	8	3	3	3	1	1	5	1	1	1	1	2	1	1	6	1	8	2					
15	Число открепительных удостоверений выданных ТИК	36	2	2	2	0	0	4	1	0	1	0	0	0	1	1	1	3	0	0	0	0	0	2	4	1	1	0	0	0	4	2	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	"1. ""ЕДИНЕНИЕ"""	258	14	13	5	6	7	19	2	9	4	0	5	0	4	10	0	14	6	0	0	1	4	0	12	3	11	5	4	1	11	4	5	2	14	3	3	4	7	3	4	7	3	3	9	2	10	5					
		1.63%	1.26%	1.15%	0.54%	2.19%	2.96%	2.01%	0.70%	3.79%	2.96%	0.0%	4.09%	0.0%	1.27%	2.68%	0.0%	3.11%	2.18%	0.0%	0.0%	0.60%	4.59%	0.0%	1.36%	1.62%	1.59%	1.52%	2.22%	0.56%	1.04%	2.02%	2.33%	1.16%	1.40%	2.02%	0.54%	2.61%	5.10%	3.61%	3.80%	4.40%	2.18%	3.37%	2.25%	1.41%	1.77%	1.83%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	261	12	27	17	3	2	19	4	2	2	0	2	1	5	2	0	6	3	4	0	1	0	3	13	3	6	8	1	6	25	3	4	1	19	10	16	0	4	1	0	2	2	1	9	0	8	4					
		1.65%	1.08%	2.40%	1.84%	1.09%	0.84%	2.01%	1.40%	0.84%	1.48%	0.0%	1.63%	0.60%	1.59%	0.53%	0.0%	1.33%	1.09%	3.22%	0.0%	0.60%	0.0%	3.12%	1.48%	1.62%	0.87%	2.44%	0.55%	3.40%	2.38%	1.51%	1.86%	0.58%	1.91%	6.75%	2.93%	0.0%	2.91%	1.20%	0.0%	1.25%	1.45%	1.12%	2.25%	0.0%	1.41%	1.46%					
