Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Ленинская																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	86708	1166	1115	2331	2266	2142	2159	2243	2017	872	3010	641	1566	1839	2173	2342	1837	1069	1282	2394	2463	2402	2392	2024	1660	1102	1211	1000	1958	744	2181	1292	2221	2301	2137	2343	2437	2138	1749	1960	396	339	1458	779	2081	2688	2888	1854	1896	150									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	77050	1000	1000	2000	2000	2000	2000	2000	1800	800	2500	2000	1500	1500	2000	2000	1500	1000	1000	2000	2000	2000	2000	2000	1500	1000	1000	1000	1600	500	2000	1000	2000	2000	2000	2000	2000	2000	1500	1600	350	300	1200	700	2000	2200	2500	1500	1500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28406	349	434	834	765	765	771	767	611	308	777	641	416	731	756	790	666	367	405	781	772	920	813	673	570	311	428	446	580	259	445	609	659	527	595	373	825	725	428	761	110	114	373	233	663	845	891	619	838	67									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	630	78	9	86	8	6	16	10	7	1	3	0	0	2	4	7	5	2	3	13	7	3	7	10	7	3	8	2	20	10	17	2	37	2	2	25	19	7	0	3	56	12	17	5	9	2	9	6	8	55									
6	Число погашенных избирательных бюллетеней	48014	573	557	1080	1227	1229	1213	1223	1182	491	1720	1359	1084	767	1240	1203	829	631	592	1206	1221	1077	1180	1317	923	686	564	552	1000	231	1538	389	1304	1471	1403	1602	1156	1268	1072	836	184	174	810	462	1328	1353	1600	875	654	378									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	630	78	9	86	8	6	16	10	7	1	3	0	0	2	4	7	5	2	3	13	7	3	7	10	7	3	8	2	20	10	17	2	37	2	2	25	19	7	0	3	56	12	17	5	9	2	9	6	8	55									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28338	349	434	811	764	765	768	765	611	307	777	641	416	731	756	789	666	367	404	781	772	917	804	673	569	311	428	446	580	258	445	608	659	527	595	373	825	723	428	761	110	114	373	233	663	845	880	619	830	67									
9	Число недействительных избирательных бюллетеней	893	18	13	20	25	26	31	37	35	15	14	9	18	18	21	18	16	3	11	24	31	30	32	25	15	5	16	11	17	6	11	14	27	8	14	9	28	18	14	24	4	4	12	11	28	31	30	20	19	7									
10	Число действительных избирательных бюллетеней	28075	409	430	877	747	745	753	738	583	293	766	632	398	715	739	778	655	366	396	770	748	890	779	658	561	309	420	437	583	262	451	596	669	521	583	389	816	712	414	740	162	122	378	227	644	816	859	605	819	115									
