Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва														
Дата голосования: 04.12.2011														
														
Наименование Избирательной комиссии:    Суетская														
														
Сводная таблица результатов выборов														
														
		Сумма	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479					
1	"Число избирателей, внесенных в список избирателей"	4348	568	365	1913	140	1022	173	167					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4850	650	450	1900	200	1150	250	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	2039	314	188	817	95	457	87	81					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	193	19	25	53	11	61	9	15					
6	Число погашенных избирательных бюллетеней	2618	317	237	1030	94	632	154	154					
7	Число избирательных бюллетеней в переносных ящиках для голосования	193	19	25	53	11	61	9	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	2039	314	188	817	95	457	87	81					
9	Число недействительных избирательных бюллетеней	49	4	3	28	0	11	2	1					
10	Число действительных избирательных бюллетеней	2183	329	210	842	106	507	94	95					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	95	10	10	28	10	17	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	37	6	1	24	0	6	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	28	5	5	4	3	4	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	58	4	9	4	10	11	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	0	4	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0					
														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	403	39	25	176	32	93	12	26					
		18.06%	11.71%	11.74%	20.23%	30.19%	17.95%	12.50%	27.08%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	232	57	13	89	22	38	3	10					
		10.39%	17.12%	6.10%	10.23%	20.75%	7.34%	3.13%	10.42%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	12	2	0	4	2	3	1	0					
		0.54%	0.60%	0.00%	0.46%	1.89%	0.58%	1.04%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	470	48	29	205	14	143	10	21					
		21.06%	14.41%	13.62%	23.56%	13.21%	27.61%	10.42%	21.88%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	0	0	11	1	2	0	0					
		0.63%	0.00%	0.00%	1.26%	0.94%	0.39%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1048	183	142	354	35	228	68	38					
		46.95%	54.95%	66.67%	40.69%	33.02%	44.02%	70.83%	39.58%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	4	0	1	3	0	0	0	0					
		0.18%	0.00%	0.47%	0.34%	0.00%	0.00%	0.00%	0.00%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
