Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																															
Дата голосования: 02.12.2007																																																															
																																																															
"Наименование Избирательной комиссии:    Чебоксары, Калининская"																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680					
1	"Число избирателей, внесенных в списки избирателей"	118307	1963	1219	1600	1766	1268	2333	2172	2755	2066	2118	2313	1565	2326	2508	1715	1402	1775	2143	2653	2194	2293	2567	2459	973	2456	2690	2488	2055	2695	2795	2822	1765	2023	2432	2133	2609	2780	2718	2242	2446	2100	2040	1785	1940	2588	2309	2053	2382	2194	2573	2773	2524	877	1857	209	808					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	105760	1800	1000	1400	1600	1000	2100	1900	2400	1900	1800	2100	1400	2100	2300	1500	1200	1400	1800	2500	2000	2100	2300	1800	800	2200	2500	2100	1900	2500	2500	2600	1500	1700	2200	1900	2400	2500	2600	2000	2200	1900	1900	1600	1700	2400	2100	1900	2100	1800	2300	2650	2300	700	1700	210	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	70929	1060	758	976	884	677	1243	1225	1712	1266	1221	1402	929	1428	1522	1016	831	973	1104	1678	1316	1426	1388	1465	588	1531	1694	1443	1296	1796	1793	1802	1165	1306	1499	1385	1560	1774	1679	1411	1509	1195	1289	1091	1170	1600	1346	1223	1219	1213	1336	1692	1245	543	1043	188	805					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1494	46	21	41	24	14	34	20	42	33	24	29	16	38	42	13	23	17	22	29	21	14	14	35	15	19	27	137	19	20	36	37	23	15	36	15	15	10	16	12	17	17	25	14	13	20	25	36	7	81	42	40	31	16	22	21	3					
6	Число погашенных избирательных бюллетеней	33337	694	221	383	692	309	823	655	646	601	555	669	455	634	736	471	346	410	674	793	663	660	898	300	197	650	779	520	585	684	671	761	312	379	665	500	825	716	905	577	674	688	586	495	517	780	729	641	874	506	922	918	1024	141	635	1	192					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1494	46	21	41	24	14	34	20	42	33	24	29	16	38	42	13	23	17	22	29	21	14	14	35	15	19	27	137	19	20	36	37	23	15	36	15	15	10	16	12	17	17	25	14	13	20	25	36	7	81	42	40	31	16	22	21	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	70897	1060	758	976	884	677	1242	1225	1712	1266	1221	1402	929	1427	1522	1016	831	973	1103	1678	1316	1426	1388	1465	588	1531	1693	1443	1296	1774	1793	1802	1165	1305	1499	1385	1560	1774	1679	1411	1508	1195	1287	1091	1170	1599	1346	1223	1219	1213	1336	1692	1245	543	1043	188	804					
9	Число недействительных избирательных бюллетеней	867	13	14	16	5	15	14	17	25	16	27	25	15	22	19	19	1	8	13	15	17	21	17	18	4	27	16	20	13	7	27	33	12	12	24	14	13	19	17	18	11	9	8	8	12	17	17	14	15	22	22	23	11	2	9	4	15					
10	Число действительных избирательных бюллетеней	71524	1093	765	1001	903	676	1262	1228	1729	1283	1218	1406	930	1443	1545	1010	853	982	1112	1692	1320	1419	1385	1482	599	1523	1704	1560	1302	1787	1802	1806	1176	1308	1511	1386	1562	1765	1678	1405	1514	1203	1304	1097	1171	1602	1354	1245	1211	1272	1356	1709	1265	557	1056	205	792					
