Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Заринская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	37984	1977	1927	1848	1867	2006	1885	2283	1678	1866	1866	1862	1873	1704	1704	1677	2159	1939	1953	2831	1079									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37300	1900	1900	1800	1900	2000	1900	2300	1600	1800	1800	1800	1900	1700	1700	1600	2100	1900	1900	2800	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15011	781	785	738	810	877	576	877	789	847	792	817	755	744	725	560	762	691	690	997	398									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	998	93	44	26	35	41	41	47	24	24	34	33	37	36	27	69	74	88	67	91	67									
6	Число погашенных избирательных бюллетеней	21291	1026	1071	1036	1055	1082	1283	1376	787	929	974	950	1108	920	948	971	1264	1121	1143	1712	535									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	996	93	44	26	35	41	41	47	24	24	34	31	37	36	27	69	74	88	67	91	67									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15002	781	785	738	809	876	576	877	788	847	792	817	755	743	724	560	760	691	690	995	398									
9	Число недействительных избирательных бюллетеней	399	17	17	20	24	19	16	17	20	8	15	20	17	25	22	22	30	23	17	31	19									
10	Число действительных избирательных бюллетеней	15599	857	812	744	820	898	601	907	792	863	811	828	775	754	729	607	804	756	740	1055	446									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	433	19	24	18	30	20	19	23	22	18	26	26	19	18	18	17	20	20	29	30	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	350	17	22	18	27	15	14	15	18	18	24	22	14	16	13	8	13	12	24	30	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	10	10	7	9	9	6	11	12	8	10	11	8	3	8	15	9	8	6	12	11									
14	Число погашенных неиспользованных открепительных удостоверений	83	2	2	0	3	5	5	8	4	0	2	4	5	2	5	9	7	8	5	0	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	1	0	1	1	0	2	0	1	1	2	1	0	1	0	0	2	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	184	11	10	8	16	8	6	14	12	10	6	12	8	8	13	6	11	9	8	7	1									
