Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Зеленодольская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605					
1	"Число избирателей, внесенных в список избирателей"	47052	611	353	2679	2315	2453	617	482	956	1865	881	624	1463	553	173	201	447	533	401	2265	1697	834	984	932	1063	1605	1556	903	1018	980	908	1124	202	1691	1255	1387	498	302	92	350	135	264	683	1920	483	249	770	192	177	179	191	378	459	392	89	547	252	136	303					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47128	616	354	2679	2341	2499	612	468	958	1893	882	615	1473	559	175	202	451	535	405	2244	1713	841	994	942	991	1622	1569	908	1026	970	921	1037	201	1706	1264	1384	504	305	91	352	138	264	689	1935	482	253	766	192	176	182	194	377	455	394	89	552	251	135	302					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	39233	536	300	2211	1913	2023	435	382	859	1457	634	490	1123	480	156	194	434	529	335	2097	1288	708	881	663	895	1365	1308	745	923	882	745	905	195	1345	1061	990	385	222	81	275	129	249	580	1419	437	238	609	183	173	176	184	359	436	356	78	499	251	131	296					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2652	2	16	5	21	66	144	53	36	54	70	41	162	46	17	7	8	1	63	32	156	49	19	200	91	41	43	49	69	56	37	70	0	73	44	146	94	74	10	67	5	10	76	137	21	7	86	0	0	0	7	10	5	16	6	34	0	0	0					
6	Число погашенных избирательных бюллетеней	5243	78	38	463	407	410	33	33	63	382	178	84	188	33	2	1	9	5	7	115	269	84	94	79	5	216	218	114	34	32	139	62	6	288	159	248	25	9	0	10	4	5	33	379	24	8	71	9	3	6	3	8	14	22	5	19	0	4	6					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2652	2	16	5	21	66	144	53	36	54	70	41	162	46	17	7	8	1	63	32	156	49	19	200	91	41	43	49	69	56	37	70	0	73	44	146	94	74	10	67	5	10	76	137	21	7	86	0	0	0	7	10	5	16	6	34	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39233	536	300	2211	1913	2023	435	382	859	1457	634	490	1123	480	156	194	434	529	335	2097	1288	708	881	663	895	1365	1308	745	923	882	745	905	195	1345	1061	990	385	222	81	275	129	249	580	1419	437	238	609	183	173	176	184	359	436	356	78	499	251	131	296					
9	Число недействительных избирательных бюллетеней	334	0	4	0	3	32	0	15	7	6	7	7	12	0	0	0	0	0	0	0	18	0	18	0	5	0	13	6	5	0	6	7	0	21	5	36	0	0	3	0	0	0	3	82	0	0	9	0	0	0	0	0	4	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	41551	538	312	2216	1931	2057	579	420	888	1505	697	524	1273	526	173	201	442	530	398	2129	1426	757	882	863	981	1406	1338	788	987	938	776	968	195	1397	1100	1100	479	296	88	342	134	259	653	1474	458	245	686	183	173	176	191	369	437	372	84	533	251	131	296					
