Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																				
Дата голосования: 02.12.2007																																																																				
																																																																				
Наименование Избирательной комиссии:    Зеленодольская																																																																				
																																																																				
Сводная таблица результатов выборов																																																																				
																																																																				
		Сумма	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609					
1	"Число избирателей, внесенных в списки избирателей"	45782	582	278	338	2037	1711	1351	1032	523	490	648	2125	534	917	1472	553	173	194	440	546	395	2194	1672	737	811	972	1003	1644	901	971	1764	940	998	1064	194	1267	1683	1463	110	355	288	111	324	287	150	727	469	1871	252	798	162	221	177	203	393	458	390	100	579	282	313	145					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	44562	571	286	323	1886	1670	1306	1007	525	478	654	2048	617	900	1470	560	174	194	440	556	394	2093	1581	716	803	965	898	1598	890	958	1598	910	945	1020	195	1198	1617	1360	100	370	294	110	325	287	151	726	466	1900	244	799	160	220	179	205	386	446	392	92	577	277	311	141					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38040	432	228	261	1843	1428	1008	889	392	343	480	1606	495	798	1053	529	144	183	417	520	339	1990	1264	668	755	858	853	1319	737	778	1507	607	789	835	174	594	1451	1237	73	251	230	94	251	287	140	673	441	1722	218	579	157	216	177	203	366	443	364	84	538	277	311	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2031	5	0	17	11	14	27	18	99	41	33	14	39	36	104	14	28	11	22	23	53	30	72	48	40	67	28	59	53	25	84	63	34	16	10	70	38	59	27	104	58	16	63	0	10	53	20	109	26	63	0	0	0	0	18	3	12	8	36	0	0	0					
6	Число погашенных избирательных бюллетеней	4491	134	58	45	32	228	271	100	34	94	141	428	83	66	313	17	2	0	1	13	2	73	245	0	8	40	17	220	100	155	7	240	122	169	11	534	128	64	0	15	6	0	11	0	1	0	5	69	0	157	3	4	2	2	2	0	16	0	3	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2031	5	0	17	11	14	27	18	99	41	33	14	39	36	104	14	28	11	22	23	53	30	72	48	40	67	28	59	53	25	84	63	34	16	10	70	38	59	27	104	58	16	63	0	10	53	20	109	26	63	0	0	0	0	18	3	12	8	36	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38030	432	228	261	1843	1428	1008	889	392	343	480	1606	495	798	1052	529	144	183	417	520	339	1987	1264	668	755	858	853	1317	737	778	1507	607	789	835	174	593	1451	1236	73	251	230	94	251	287	140	673	441	1722	218	577	157	216	177	203	366	443	364	84	538	277	311	141					
9	Число недействительных избирательных бюллетеней	774	5	0	0	0	8	66	14	0	9	26	74	2	6	10	9	1	0	0	2	3	25	82	8	9	3	4	56	5	9	15	8	183	9	16	17	43	5	1	0	0	0	0	0	0	0	5	0	0	21	0	0	0	0	0	4	5	0	5	1	0	0					
10	Число действительных избирательных бюллетеней	39287	432	228	278	1854	1434	969	893	491	375	487	1546	532	828	1146	534	171	194	439	541	389	1992	1254	708	786	922	877	1320	785	794	1576	662	640	842	168	646	1446	1290	99	355	288	110	314	287	150	726	456	1831	244	619	157	216	177	203	384	442	371	92	569	276	311	141					
