Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Пряжинская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13130	2003	1189	100	2299	331	108	109	867	677	163	376	2410	191	170	380	198	176	948	190	147	98									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11720	1800	1050	90	2050	290	95	100	720	620	140	340	2180	180	150	340	175	160	850	170	130	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4886	824	491	53	730	117	30	51	236	275	73	150	934	90	68	128	49	57	378	73	48	31									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	409	32	31	1	62	12	9	8	59	23	4	6	25	10	3	12	4	26	57	7	4	14									
6	Число погашенных избирательных бюллетеней	6422	941	528	36	1258	161	56	41	425	322	63	184	1221	80	79	200	122	77	415	90	78	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	409	32	31	1	62	12	9	8	59	23	4	6	25	10	3	12	4	26	57	7	4	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4885	824	490	53	730	117	30	51	236	275	73	150	934	90	68	128	49	57	378	73	48	31									
9	Число недействительных избирательных бюллетеней	173	23	9	3	27	3	2	0	13	14	2	6	45	1	2	3	1	7	3	4	2	3									
10	Число действительных избирательных бюллетеней	5121	833	512	51	765	126	37	59	282	284	75	150	914	99	69	137	52	76	432	76	50	42									
