Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Дмитровская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269					
1	"Число избирателей, внесенных в списки"	11880	406	231	355	176	329	130	490	414	158	326	249	632	489	330	132	253	178	490	531	385	147	2279	2770					
2	"Число бюллетеней, полученных участковыми комиссиями"	12088	417	221	360	182	340	140	487	406	158	317	248	639	487	349	134	262	183	481	571	412	168	2343	2783					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6764	206	162	182	143	222	107	283	198	91	179	115	298	274	130	94	117	113	220	261	224	114	1367	1664					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1988	94	0	119	17	68	0	155	107	49	93	91	211	80	79	17	62	30	123	164	136	27	134	132					
6	Число погашенных бюллетеней	3336	117	59	59	22	50	33	49	101	18	45	42	130	133	140	23	83	40	138	146	52	27	842	987					
7	Число бюллетеней в переносных ящиках для голосования	1988	94	0	119	17	68	0	155	107	49	93	91	211	80	79	17	62	30	123	164	136	27	134	132					
8	Число бюллетеней в стационарных ящиках для голосования	6762	206	162	182	143	222	107	283	198	91	179	115	298	274	130	94	117	113	220	261	224	114	1367	1662					
9	Число недействительных бюллетеней	77	0	5	2	3	3	2	7	0	1	2	5	3	6	7	0	1	0	1	5	4	0	12	8					
10	Число действительных бюллетеней	8673	300	157	299	157	287	105	431	305	139	270	201	506	348	202	111	178	143	342	420	356	141	1489	1786					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	37	37					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	0	2	2	0	0	0	5	3	0	0	2	2	6	1	1	0	0	4	0	6	0	23	29					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	1	1	0	1	3	1	0	2	1	1	3	0	0	2	1	2	0	4	0	3	0	9	7					
14	Число погашенных открепительных удостоверений	114	6	4	4	6	6	6	1	3	6	6	4	4	0	5	5	6	6	2	6	0	6	14	8					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	60	2	0	1	4	1	0	5	3	3	0	0	8	4	1	0	2	2	7	4	4	0	2	7					
		0.68%	0.66%	0.0%	0.33%	2.5%	0.34%	0.0%	1.14%	0.98%	2.14%	0.0%	0.0%	1.57%	1.12%	0.47%	0.0%	1.11%	1.39%	2.04%	0.94%	1.11%	0.0%	0.13%	0.39%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	57	1	0	1	1	0	0	4	1	0	0	0	2	5	2	1	0	3	1	3	1	1	13	17					
		0.65%	0.33%	0.0%	0.33%	0.62%	0.0%	0.0%	0.91%	0.32%	0.0%	0.0%	0.0%	0.39%	1.41%	0.95%	0.90%	0.0%	2.09%	0.29%	0.70%	0.27%	0.70%	0.86%	0.94%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	80	0	1	2	0	0	3	5	2	1	8	0	2	2	3	1	3	1	1	3	2	1	17	22					
		0.91%	0.0%	0.61%	0.66%	0.0%	0.0%	2.80%	1.14%	0.65%	0.71%	2.94%	0.0%	0.39%	0.56%	1.43%	0.90%	1.67%	0.69%	0.29%	0.70%	0.55%	0.70%	1.13%	1.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	53	0	0	2	0	1	0	0	1	0	4	0	2	1	0	0	1	0	1	4	1	0	18	17					
		0.60%	0.0%	0.0%	0.66%	0.0%	0.34%	0.0%	0.0%	0.32%	0.0%	1.47%	0.0%	0.39%	0.28%	0.0%	0.0%	0.55%	0.0%	0.29%	0.94%	0.27%	0.0%	1.19%	0.94%					
22	"5. ""За Русь Святую"""	61	2	0	1	0	0	3	5	3	0	2	0	0	0	1	0	1	2	1	3	16	2	12	7					
		0.69%	0.66%	0.0%	0.33%	0.0%	0.0%	2.80%	1.14%	0.98%	0.0%	0.73%	0.0%	0.0%	0.0%	0.47%	0.0%	0.55%	1.39%	0.29%	0.70%	4.44%	1.41%	0.79%	0.39%					
23	"6. ""Объединенная Российская партия ""Русь"""	13	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	5	2					
		0.14%	0.0%	0.0%	0.0%	0.62%	0.34%	0.0%	0.22%	0.0%	0.0%	0.0%	0.48%	0.19%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.11%					
24	"7. ""Новый курс - Автомобильная Россия"""	34	1	1	0	0	1	0	2	0	1	0	0	0	3	0	0	0	0	2	2	0	1	5	15					
		0.38%	0.33%	0.61%	0.0%	0.0%	0.34%	0.0%	0.45%	0.0%	0.71%	0.0%	0.0%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.58%	0.47%	0.0%	0.70%	0.33%	0.83%					
25	"8. ""Народно-республиканская партия России"""	9	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	2	2					
		0.10%	0.0%	0.0%	0.0%	0.62%	0.0%	0.0%	0.22%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.23%	0.0%	0.0%	0.13%	0.11%					
26	"9. ""Российская экологическая партия ""Зеленые"""	9	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	3	2					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.19%	0.11%					
27	"10. ""Аграрная партия России"""	243	8	3	10	1	13	7	6	7	2	5	1	25	16	13	3	1	8	15	18	0	0	33	48					
		2.77%	2.66%	1.85%	3.32%	0.62%	4.48%	6.54%	1.36%	2.29%	1.42%	1.83%	0.48%	4.91%	4.51%	6.22%	2.70%	0.55%	5.59%	4.37%	4.23%	0.0%	0.0%	2.19%	2.67%					
28	"11. ""Истинные патриоты России"""	18	0	1	1	0	2	0	0	0	1	3	0	2	0	0	0	1	0	0	1	0	2	0	4					
		0.20%	0.0%	0.61%	0.33%	0.0%	0.68%	0.0%	0.0%	0.0%	0.71%	1.10%	0.0%	0.39%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.23%	0.0%	1.41%	0.0%	0.22%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	74	5	2	0	0	2	0	1	4	2	3	0	1	1	3	1	2	2	0	10	4	0	11	20					
		0.84%	1.66%	1.23%	0.0%	0.0%	0.68%	0.0%	0.22%	1.31%	1.42%	1.10%	0.0%	0.19%	0.28%	1.43%	0.90%	1.11%	1.39%	0.0%	2.35%	1.11%	0.0%	0.73%	1.11%					
30	"13. ""Демократическая партия России"""	11	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	1	4					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.47%	0.0%	0.0%	0.69%	0.0%	0.47%	0.0%	0.0%	0.06%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0					
