Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
"Наименование Избирательной комиссии:    Волгоград, Центральная"																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №8051	УИК №8350									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56396	1702	1892	2124	2092	1872	1371	2462	2647	2298	2603	1799	2788	2571	451	2379	2708	1449	1913	1799	1585	1649	783	1998	2045	2238	2583	1171	1595	78	901	850									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61301	1100	1400	1500	1500	1300	900	1800	1900	1600	1900	1300	1950	1800	451	1600	1900	1000	1400	1200	1200	1200	1200	1400	1500	1600	1800	800	1100	1100	5700	15200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25282	536	901	974	789	698	754	1133	1124	1033	1136	829	1049	1052	432	853	884	578	715	702	757	692	749	896	974	974	1201	594	698	78	647	850									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	833	21	4	29	26	20	5	20	42	21	23	26	30	20	0	34	83	12	17	98	33	14	17	28	20	28	33	15	114	0	0	0									
6	Число погашенных избирательных бюллетеней	34932	543	495	497	685	582	141	647	734	546	741	445	871	728	19	713	933	410	668	400	410	494	434	476	506	598	566	191	288	1022	4799	14350									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1087	21	4	29	26	20	5	20	42	21	23	26	30	20	0	34	83	12	17	98	33	14	17	28	20	28	33	15	114	0	254	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25280	536	901	974	789	698	754	1133	1124	1033	1136	829	1049	1052	432	853	883	578	715	702	757	692	749	896	974	974	1201	593	698	78	647	850									
9	Число недействительных избирательных бюллетеней	431	9	20	10	22	17	21	17	29	18	14	9	14	19	5	15	20	13	10	19	11	13	10	8	17	16	20	10	11	2	8	4									
10	Число действительных избирательных бюллетеней	25936	548	885	993	793	701	738	1136	1137	1036	1145	846	1065	1053	427	872	946	577	722	781	779	693	756	916	977	986	1214	598	801	76	893	846									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1250	45	45	45	45	45	45	45	45	45	45	45	45	45	0	45	45	45	45	45	45	45	45	45	45	45	45	45	45	0	15	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	628	19	34	28	35	25	15	40	31	24	31	25	22	36	0	16	19	13	17	25	13	10	14	29	21	19	29	17	21	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	875	33	18	73	11	14	12	16	27	20	20	52	47	25	58	23	17	30	23	22	12	29	15	28	19	26	43	24	22	78	35	3									
14	Число погашенных неиспользованных открепительных удостоверений	622	26	11	17	10	20	30	5	14	21	14	20	23	9	0	29	26	32	28	20	32	35	31	16	24	26	16	28	24	0	15	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	124	3	7	1	2	0	3	4	7	3	2	4	9	11	0	4	8	0	7	6	7	4	7	7	4	4	2	3	5	0	0	0									
