Выборы Президента Российской Федерации																																																																																
																																																																																
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																
																																																																																
Итоги голосования 																																																																																
																																																																																
		Сумма	УИК  1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666					
1	"Число избирателей, внесенных в список"	139117	2425	2258	1974	1821	1380	1838	1945	1492	1690	1635	1735	1215	2036	1856	1964	2123	2293	2093	2134	2544	2515	2310	2069	2577	2345	2197	2018	1942	1957	2280	2607	1567	2210	1704	1826	2023	2338	1944	1698	1445	1304	2414	2137	2370	2011	2118	1638	1927	1770	1994	2456	2681	1567	1283	2217	1800	1907	2047	1620	1762	508	2578	1710	1776	1714	2027	2417	1432	1656	1730	1999	340	184					
2	Число полученных избирательных бюллетеней	136650	2400	2200	1900	1800	1200	1800	1900	1500	1700	1600	1700	1200	2000	1800	1900	2100	2300	2100	2100	2500	2500	2300	2000	2500	2300	2200	1900	1900	1900	2200	2600	1500	2100	1700	1800	2000	2300	1900	1700	1400	1300	2400	2100	2400	2000	2100	1600	1900	1800	2000	2400	2600	1500	1200	2100	1800	1800	2000	1600	1700	450	2600	1700	1800	1700	2000	2400	1400	1600	1700	1900	400	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	81669	1394	1446	1115	1167	658	1120	1062	886	947	982	957	691	1243	1153	1235	1395	1429	1266	1146	1519	1558	1431	1313	1454	1323	1428	1157	1234	1121	1341	1500	922	1276	1123	1050	1197	1362	1047	1014	909	755	1368	1176	1535	1208	1265	993	1201	1013	939	1485	1648	885	664	1172	1000	1021	1021	876	855	309	1548	985	974	887	1284	1445	854	978	1026	1212	339	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	3631	43	26	47	22	206	111	125	35	14	58	44	12	68	68	40	55	70	65	105	62	86	37	95	46	48	22	21	46	31	43	53	70	65	39	55	35	34	46	7	49	27	18	42	40	39	49	32	35	46	35	36	38	24	40	56	47	31	64	49	83	10	39	57	43	37	45	80	92	86	73	34	0	0					
6	Число погашенных избирательных бюллетеней	51350	963	728	738	611	336	569	713	579	739	560	699	497	689	579	625	650	801	769	849	919	856	832	592	1000	929	750	722	620	748	816	1047	508	759	538	695	768	904	807	679	442	518	1014	882	825	753	786	575	664	741	1026	879	914	591	496	872	753	748	915	675	762	131	1013	658	783	776	671	875	454	536	601	654	61	123					
7	Число избирательных бюллетеней в переносных ящиках	3631	43	26	47	22	206	111	125	35	14	58	44	12	68	68	40	55	70	65	105	62	86	37	95	46	48	22	21	46	31	43	53	70	65	39	55	35	34	46	7	49	27	18	42	40	39	49	32	35	46	35	36	38	24	40	56	47	31	64	49	83	10	39	57	43	37	45	80	92	86	73	34	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	81649	1393	1446	1115	1167	658	1120	1062	886	946	982	957	690	1243	1153	1235	1394	1427	1266	1146	1519	1558	1430	1313	1454	1322	1428	1153	1234	1121	1341	1500	922	1276	1123	1050	1197	1362	1047	1014	909	755	1367	1176	1535	1208	1265	993	1201	1012	939	1485	1648	884	664	1172	1000	1021	1021	876	855	309	1545	985	974	887	1284	1445	853	978	1026	1211	339	177					
9	Число недействительных избирательных бюллетеней	560	17	8	10	6	4	4	7	2	7	6	7	5	8	7	7	8	11	8	11	8	12	7	4	7	13	8	14	6	4	10	17	7	3	12	21	7	11	5	5	3	9	4	1	6	12	2	5	12	6	1	10	13	1	13	8	5	11	8	7	5	7	9	5	5	11	4	18	8	3	4	13	2	5					
10	Число действительных избирательных бюллетеней	84720	1419	1464	1152	1183	860	1227	1180	919	953	1034	994	697	1303	1214	1268	1441	1486	1323	1240	1573	1632	1460	1404	1493	1357	1442	1160	1274	1148	1374	1536	985	1338	1150	1084	1225	1385	1088	1016	955	773	1381	1217	1569	1235	1312	1020	1224	1052	973	1511	1673	907	691	1220	1042	1041	1077	918	933	312	1575	1037	1012	913	1325	1507	937	1061	1095	1232	337	172					
11	Число полученных открепительных  удостоверений	2980	40	40	60	60	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	50	40	40	40	40	50	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	60	40	40	40	40	40	40	40	40	60	0	0					
12	Число выданных открепительных удостоверений	1737	24	29	55	39	16	19	24	14	50	20	26	10	17	24	19	26	24	22	21	32	24	14	23	30	30	39	9	18	13	28	42	21	22	12	15	19	23	26	17	16	12	35	35	43	29	35	14	19	23	23	25	24	22	16	25	15	24	20	12	18	4	47	24	28	27	28	35	18	31	32	42	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1339	25	13	29	10	15	24	22	18	20	22	10	8	19	15	19	20	19	16	20	10	12	15	15	18	20	19	6	5	9	14	12	22	26	10	17	21	16	13	9	8	13	14	10	11	17	11	4	22	8	15	23	18	9	20	23	11	12	11	7	11	40	20	20	6	21	27	59	29	8	10	25	135	28					
14	Число неиспользованных открепительных удостоверений	1243	16	11	5	21	24	21	16	26	10	20	14	30	23	16	21	14	16	18	19	8	16	26	17	10	10	11	31	22	27	12	8	19	18	28	25	21	17	14	23	24	28	5	5	17	11	5	26	21	17	17	15	16	18	24	15	25	16	20	28	22	36	13	16	12	13	12	5	22	9	8	18	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	10	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																
18	. Глазьев Сергей Юрьевич	4274	82	117	47	90	50	55	54	47	38	43	39	47	60	60	65	67	50	63	63	91	90	104	86	73	71	68	34	61	34	61	77	27	57	52	56	65	57	57	65	46	45	80	70	96	80	70	55	57	58	30	100	69	31	44	48	47	44	55	34	31	11	108	57	51	33	70	68	43	71	58	74	13	4					
