Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Моршанская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №8318									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	31705	1402	1940	2041	1868	1390	1904	2211	1106	1366	582	1913	2011	1198	1728	2004	1585	990	1168	1369	1516	413									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67600	1100	1550	1600	1500	1100	1500	1750	850	1100	450	1500	1550	950	1400	1450	1200	800	900	1100	1150	43100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11254	498	641	679	619	506	719	702	449	416	138	514	677	418	596	644	489	288	695	562	592	412									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1256	38	62	81	36	46	65	68	43	36	20	51	57	116	144	118	115	59	19	42	39	1									
6	Число погашенных избирательных бюллетеней	55090	564	847	840	845	548	716	980	358	648	292	935	816	416	660	688	596	453	186	496	519	42687									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1256	38	62	81	36	46	65	68	43	36	20	51	57	116	144	118	115	59	19	42	39	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11252	498	641	679	619	506	719	702	449	416	138	514	676	418	596	644	489	288	695	562	592	411									
9	Число недействительных избирательных бюллетеней	199	10	3	7	22	13	12	21	12	5	1	8	18	1	7	17	0	3	0	9	28	2									
10	Число действительных избирательных бюллетеней	12309	526	700	753	633	539	772	749	480	447	157	557	715	533	733	745	604	344	714	595	603	410									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	261	10	10	17	17	10	10	17	10	10	10	10	17	10	10	10	17	11	10	10	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	6	5	10	12	5	10	10	2	5	1	7	13	4	7	7	12	11	6	2	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	63	3	1	3	1	9	2	0	2	3	4	6	5	0	4	1	4	4	2	6	0	3									
14	Число погашенных неиспользованных открепительных удостоверений	123	4	5	7	5	5	0	7	8	5	9	3	4	6	3	3	5	0	4	8	7	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	112	8	5	9	2	9	6	9	6	9	4	6	9	2	5	5	2	3	4	4	5	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
