Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
"Наименование Избирательной комиссии:    Ульяновск, Ленинская"																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №3901	УИК №3902	УИК №3903	УИК №3904	УИК №3905	УИК №3906	УИК №3907	УИК №3908	УИК №3909	УИК №3910	УИК №3911	УИК №3912	УИК №3913	УИК №3914	УИК №3915	УИК №3916	УИК №3917	УИК №3918	УИК №3919	УИК №3920	УИК №3921	УИК №3922	УИК №3923	УИК №3924	УИК №3925	УИК №3926	УИК №3927	УИК №3928	УИК №3929	УИК №3930	УИК №3931	УИК №3932	УИК №3933	УИК №3934	УИК №3935	УИК №3936	УИК №3937	УИК №3938	УИК №3939	УИК №3940	УИК №3941	УИК №3942	УИК №3943	УИК №3944	УИК №3945	УИК №3946	УИК №3947	УИК №3948	УИК №3949	УИК №3950									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	93333	2039	1237	1844	1223	979	699	2213	1783	1979	2164	2062	1647	1425	1312	2227	2474	2969	2791	1989	1966	1590	1395	1746	2556	1481	2126	2108	2297	1619	2315	2062	2351	2061	2000	1976	1105	1295	2183	2659	2364	2144	2418	1059	1510	1981	2157	1867	1598	1892	396									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70800	1500	1000	1500	1000	700	500	2000	1300	1400	1600	1500	1200	1000	1000	1600	1800	2100	2000	1400	1400	1200	1000	1300	2000	1100	1500	1500	1700	1200	1700	1800	1700	1500	1500	1400	1000	1000	1600	2600	2300	1600	1700	800	1000	1400	1500	1400	1100	1400	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	43012	994	516	860	492	374	339	1077	817	798	971	848	708	635	645	1130	1270	1338	1294	788	650	558	536	705	1006	588	988	1155	847	742	1310	1011	1006	1028	770	961	477	668	863	1651	1375	1043	1102	494	710	916	1205	863	786	856	248									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1158	37	15	22	35	48	7	13	19	23	6	24	16	22	25	26	4	6	5	22	27	21	15	10	15	19	11	28	15	6	16	20	11	24	7	22	7	12	7	43	15	8	9	25	108	37	25	35	18	19	148									
6	Число погашенных избирательных бюллетеней	26630	469	469	618	473	278	154	910	464	579	623	628	476	343	330	444	526	756	701	590	723	621	449	585	979	493	501	317	838	452	374	769	683	448	723	417	516	320	730	906	910	549	589	281	182	447	270	502	296	525	404									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1158	37	15	22	35	48	7	13	19	23	6	24	16	22	25	26	4	6	5	22	27	21	15	10	15	19	11	28	15	6	16	20	11	24	7	22	7	12	7	43	15	8	9	25	108	37	25	35	18	19	148									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42977	994	516	860	492	374	339	1074	817	798	971	843	705	635	642	1129	1270	1335	1294	788	650	558	536	705	1006	588	983	1153	847	742	1310	1008	1006	1028	770	961	477	668	862	1648	1375	1043	1102	494	710	915	1205	861	786	856	248									
9	Число недействительных избирательных бюллетеней	889	21	11	22	4	5	3	24	10	18	17	16	16	18	15	18	32	26	19	22	11	16	12	17	28	11	27	19	29	10	36	21	23	21	28	28	7	12	15	25	39	25	12	9	13	19	20	15	7	14	3									
10	Число действительных избирательных бюллетеней	43246	1010	520	860	523	417	343	1063	826	803	960	851	705	639	652	1137	1242	1315	1280	788	666	563	539	698	993	596	967	1162	833	738	1290	1007	994	1031	749	955	477	668	854	1666	1351	1026	1099	510	805	933	1210	881	797	861	393									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1710	40	25	35	25	20	10	40	30	35	40	40	30	25	25	40	50	55	50	40	40	30	25	30	50	25	40	40	40	35	45	40	45	40	40	35	20	30	40	30	35	40	40	20	25	35	40	35	30	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	918	19	11	21	13	6	7	31	16	16	32	13	14	9	12	23	38	38	37	16	18	19	6	10	15	10	15	16	20	29	28	16	23	21	16	14	14	24	12	22	31	24	22	9	13	23	23	14	24	15	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1303	12	9	13	12	12	1	12	23	18	9	18	28	11	12	41	15	22	23	26	12	6	5	7	11	16	27	16	27	13	15	25	10	26	21	24	19	7	17	13	25	15	108	33	126	57	127	21	21	49	87									
14	Число погашенных неиспользованных открепительных удостоверений	792	21	14	14	12	14	3	9	14	19	8	27	16	16	13	17	12	17	13	24	22	11	19	20	35	15	25	24	20	6	17	24	22	19	24	21	6	6	28	8	4	16	18	11	12	12	17	21	6	20	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	114	1	1	5	1	5	0	10	3	6	13	3	3	0	1	1	3	6	3	1	0	4	4	0	3	1	1	0	4	2	1	1	1	2	1	3	0	1	1	4	3	1	3	0	0	6	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	686	10	11	15	10	11	2	22	12	10	15	18	12	10	9	20	25	17	17	10	7	12	8	3	25	7	14	14	16	19	22	12	13	15	16	14	7	5	13	16	24	23	26	16	21	17	17	12	10	4	2									
		1.55%	0.97%	2.07%	1.70%	1.90%	2.61%	0.58%	2.02%	1.44%	1.22%	1.54%	2.08%	1.66%	1.52%	1.35%	1.73%	1.96%	1.27%	1.31%	1.23%	1.03%	2.07%	1.45%	0.42%	2.45%	1.15%	1.41%	1.19%	1.86%	2.54%	1.66%	1.17%	1.28%	1.43%	2.06%	1.42%	1.45%	0.74%	1.50%	0.95%	1.73%	2.19%	2.34%	3.08%	2.57%	1.79%	1.38%	1.34%	1.24%	0.46%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1378	29	21	40	24	11	12	39	24	20	39	31	29	15	27	44	41	41	36	37	24	17	16	32	49	19	39	37	19	25	36	29	40	23	28	29	15	25	34	40	32	25	18	12	22	23	34	19	26	19	12									
		3.12%	2.81%	3.95%	4.54%	4.55%	2.61%	3.47%	3.59%	2.87%	2.44%	3.99%	3.58%	4.02%	2.28%	4.05%	3.81%	3.22%	3.06%	2.77%	4.57%	3.55%	2.94%	2.90%	4.48%	4.80%	3.13%	3.92%	3.13%	2.20%	3.34%	2.71%	2.82%	3.93%	2.19%	3.60%	2.95%	3.10%	3.68%	3.91%	2.37%	2.30%	2.38%	1.62%	2.31%	2.69%	2.42%	2.76%	2.12%	3.23%	2.17%	3.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	894	19	8	14	10	12	5	25	14	25	18	24	19	13	9	24	32	17	20	15	15	8	11	17	15	6	15	31	16	25	25	22	22	26	12	21	11	15	12	10	34	22	30	8	21	19	27	28	16	19	12									
		2.03%	1.84%	1.51%	1.59%	1.90%	2.84%	1.45%	2.30%	1.67%	3.05%	1.84%	2.77%	2.64%	1.98%	1.35%	2.08%	2.51%	1.27%	1.54%	1.85%	2.22%	1.38%	1.99%	2.38%	1.47%	0.99%	1.51%	2.62%	1.86%	3.34%	1.89%	2.14%	2.16%	2.47%	1.54%	2.14%	2.27%	2.21%	1.38%	0.59%	2.45%	2.09%	2.70%	1.54%	2.57%	1.99%	2.20%	3.13%	1.99%	2.17%	3.03%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16901	550	210	366	226	191	173	352	343	326	362	328	255	266	203	438	436	544	553	310	264	224	224	289	446	251	343	397	355	310	426	347	338	362	311	365	168	220	332	982	530	392	423	183	295	331	402	284	194	318	163									
		38.29%	53.35%	39.55%	41.50%	42.88%	45.26%	50.00%	32.38%	41.03%	39.71%	37.05%	37.83%	35.37%	40.49%	30.43%	37.92%	34.22%	40.57%	42.57%	38.27%	38.99%	38.69%	40.65%	40.42%	43.68%	41.35%	34.51%	33.62%	41.18%	41.44%	32.13%	33.75%	33.24%	34.41%	40.03%	37.13%	34.71%	32.35%	38.20%	58.07%	38.13%	37.30%	38.07%	35.26%	36.06%	34.77%	32.68%	31.70%	24.13%	36.34%	41.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	396	5	3	7	6	7	1	9	3	3	15	5	5	6	11	10	11	15	7	4	10	1	2	5	7	2	7	13	6	1	13	8	10	19	2	9	3	6	5	16	16	8	20	5	10	13	12	13	8	11	2									
		0.90%	0.48%	0.56%	0.79%	1.14%	1.66%	0.29%	0.83%	0.36%	0.37%	1.54%	0.58%	0.69%	0.91%	1.65%	0.87%	0.86%	1.12%	0.54%	0.49%	1.48%	0.17%	0.36%	0.70%	0.69%	0.33%	0.70%	1.10%	0.70%	0.13%	0.98%	0.78%	0.98%	1.81%	0.26%	0.92%	0.62%	0.88%	0.58%	0.95%	1.15%	0.76%	1.80%	0.96%	1.22%	1.37%	0.98%	1.45%	0.99%	1.26%	0.51%									
24	"6. Политическая партия ""Гражданская Платформа"""	143	2	2	4	2	2	0	3	3	4	4	6	3	2	3	4	5	4	1	0	1	0	3	1	5	1	2	1	1	3	4	3	1	1	2	1	5	0	4	8	10	6	4	4	3	3	6	4	2	0	0									
		0.32%	0.19%	0.38%	0.45%	0.38%	0.47%	0.00%	0.28%	0.36%	0.49%	0.41%	0.69%	0.42%	0.30%	0.45%	0.35%	0.39%	0.30%	0.08%	0.00%	0.15%	0.00%	0.54%	0.14%	0.49%	0.16%	0.20%	0.08%	0.12%	0.40%	0.30%	0.29%	0.10%	0.10%	0.26%	0.10%	1.03%	0.00%	0.46%	0.47%	0.72%	0.57%	0.36%	0.77%	0.37%	0.32%	0.49%	0.45%	0.25%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6981	159	94	147	79	66	62	182	157	135	145	145	109	116	113	175	213	231	198	135	107	109	99	128	157	106	177	179	145	97	225	167	145	142	136	156	74	93	151	265	241	163	179	68	83	138	133	109	126	145	77									
		15.82%	15.42%	17.70%	16.67%	14.99%	15.64%	17.92%	16.74%	18.78%	16.44%	14.84%	16.72%	15.12%	17.66%	16.94%	15.15%	16.72%	17.23%	15.24%	16.67%	15.81%	18.83%	17.97%	17.90%	15.38%	17.46%	17.81%	15.16%	16.82%	12.97%	16.97%	16.25%	14.26%	13.50%	17.50%	15.87%	15.29%	13.68%	17.38%	15.67%	17.34%	15.51%	16.11%	13.10%	10.15%	14.50%	10.81%	12.17%	15.67%	16.57%	19.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	501	3	5	6	1	2	2	9	6	10	17	10	8	1	6	5	7	13	27	5	10	3	8	4	6	6	6	16	18	8	28	16	17	16	5	10	10	13	12	19	24	13	17	10	14	8	11	5	14	10	1									
		1.14%	0.29%	0.94%	0.68%	0.19%	0.47%	0.58%	0.83%	0.72%	1.22%	1.74%	1.15%	1.11%	0.15%	0.90%	0.43%	0.55%	0.97%	2.08%	0.62%	1.48%	0.52%	1.45%	0.56%	0.59%	0.99%	0.60%	1.35%	2.09%	1.07%	2.11%	1.56%	1.67%	1.52%	0.64%	1.02%	2.07%	1.91%	1.38%	1.12%	1.73%	1.24%	1.53%	1.93%	1.71%	0.84%	0.89%	0.56%	1.74%	1.14%	0.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1556	14	13	12	10	9	3	33	17	29	59	32	29	18	24	23	44	57	61	23	16	15	13	17	31	12	34	28	22	31	65	28	55	62	19	39	17	23	48	30	41	48	82	33	36	36	47	28	43	38	9									
		3.53%	1.36%	2.45%	1.36%	1.90%	2.13%	0.87%	3.04%	2.03%	3.53%	6.04%	3.69%	4.02%	2.74%	3.60%	1.99%	3.45%	4.25%	4.70%	2.84%	2.36%	2.59%	2.36%	2.38%	3.04%	1.98%	3.42%	2.37%	2.55%	4.14%	4.90%	2.72%	5.41%	5.89%	2.45%	3.97%	3.51%	3.38%	5.52%	1.77%	2.95%	4.57%	7.38%	6.36%	4.40%	3.78%	3.82%	3.13%	5.35%	4.34%	2.27%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	52	2	1	1	0	3	2	0	4	1	1	1	2	0	2	0	2	1	2	0	0	0	0	0	2	0	1	1	1	1	0	1	4	0	0	1	1	0	0	1	4	1	1	1	0	0	1	1	2	2	0									
		0.12%	0.19%	0.19%	0.11%	0.00%	0.71%	0.58%	0.00%	0.48%	0.12%	0.10%	0.12%	0.28%	0.00%	0.30%	0.00%	0.16%	0.07%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.10%	0.08%	0.12%	0.13%	0.00%	0.10%	0.39%	0.00%	0.00%	0.10%	0.21%	0.00%	0.00%	0.06%	0.29%	0.10%	0.09%	0.19%	0.00%	0.00%	0.08%	0.11%	0.25%	0.23%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1102	11	11	20	8	8	1	31	17	13	20	19	21	5	17	19	29	25	18	10	20	12	8	8	22	12	14	25	11	19	29	25	34	39	13	23	30	21	21	28	43	53	43	30	51	30	48	28	30	20	9									
		2.50%	1.07%	2.07%	2.27%	1.52%	1.90%	0.29%	2.85%	2.03%	1.58%	2.05%	2.19%	2.91%	0.76%	2.55%	1.65%	2.28%	1.86%	1.39%	1.23%	2.95%	2.07%	1.45%	1.12%	2.15%	1.98%	1.41%	2.12%	1.28%	2.54%	2.19%	2.43%	3.34%	3.71%	1.67%	2.34%	6.20%	3.09%	2.42%	1.66%	3.09%	5.04%	3.87%	5.78%	6.23%	3.15%	3.90%	3.13%	3.73%	2.29%	2.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10781	178	119	200	129	81	65	288	190	189	224	198	183	168	210	324	324	291	280	204	171	139	126	159	192	150	260	371	188	154	367	284	265	272	171	252	122	202	188	218	304	218	213	128	213	282	424	301	278	233	91									
		24.43%	17.26%	22.41%	22.68%	24.48%	19.19%	18.79%	26.49%	22.73%	23.02%	22.93%	22.84%	25.38%	25.57%	31.48%	28.05%	25.43%	21.70%	21.56%	25.19%	25.26%	24.01%	22.87%	22.24%	18.81%	24.71%	26.16%	31.41%	21.81%	20.59%	27.68%	27.63%	26.06%	25.86%	22.01%	25.64%	25.21%	29.71%	21.63%	12.89%	21.87%	20.74%	19.17%	24.66%	26.04%	29.62%	34.47%	33.59%	34.58%	26.63%	22.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	273	5	3	3	7	1	1	8	4	3	7	5	2	4	2	9	22	5	11	4	5	3	2	2	8	2	6	14	6	6	10	8	12	7	2	5	2	2	3	8	9	8	2	2	10	6	2	3	7	3	2									
		0.62%	0.48%	0.56%	0.34%	1.33%	0.24%	0.29%	0.74%	0.48%	0.37%	0.72%	0.58%	0.28%	0.61%	0.30%	0.78%	1.73%	0.37%	0.85%	0.49%	0.74%	0.52%	0.36%	0.28%	0.78%	0.33%	0.60%	1.19%	0.70%	0.80%	0.75%	0.78%	1.18%	0.67%	0.26%	0.51%	0.41%	0.29%	0.35%	0.47%	0.65%	0.76%	0.18%	0.39%	1.22%	0.63%	0.16%	0.33%	0.87%	0.34%	0.51%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1602	23	19	25	11	13	14	62	32	35	34	29	28	15	16	42	51	54	49	31	16	20	19	33	28	22	49	35	29	39	40	57	38	47	32	30	12	43	31	25	39	46	41	10	26	27	46	46	41	39	13									
		3.63%	2.23%	3.58%	2.83%	2.09%	3.08%	4.05%	5.70%	3.83%	4.26%	3.48%	3.34%	3.88%	2.28%	2.40%	3.64%	4.00%	4.03%	3.77%	3.83%	2.36%	3.45%	3.45%	4.62%	2.74%	3.62%	4.93%	2.96%	3.36%	5.21%	3.02%	5.54%	3.74%	4.47%	4.12%	3.05%	2.48%	6.32%	3.57%	1.48%	2.81%	4.38%	3.69%	1.93%	3.18%	2.84%	3.74%	5.13%	5.10%	4.46%	3.28%									
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
																																																													
