Выборы Президента Российской Федерации																																																																																											
Дата голосования: 02.03.2008																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																											
																																																																																											
Сводная таблица результатов выборов																																																																																											
																																																																																											
	Число участковых избирательных комиссий	84																																																																																									
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	84																																																																																									
																																																																																											
		Сумма	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605					
1	"Число избирателей, включенных в списки избирателей"	165104	2543	2729	2612	2760	2869	1959	1703	1909	2297	2134	1704	2262	2218	2022	1841	2700	2726	2714	2427	1854	1955	1552	1417	2104	2167	2550	1088	2782	1697	1138	2050	2576	2346	2263	2611	2457	2461	2532	2763	2492	2771	2259	2277	2678	2890	2790	2418	2173	2124	1658	1909	1904	2548	2622	202	2575	1823	1891	2153	2418	2368	2641	2314	1998	2649	2007	2418	1467	1339	998	474	1627	1261	872	1121	2793	202	120	539	275	1297	532	342	383					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	166980	2600	2800	2700	2800	2900	2000	1700	1900	2300	2100	1600	2200	2100	2000	1800	2800	2800	2800	2400	1850	2000	1600	1400	2100	2100	2600	1100	2900	1700	1200	2050	2600	2400	2300	2700	2700	2500	2500	2650	2500	2800	2300	2300	2600	2750	2700	2500	2200	2200	1700	1900	1900	2600	2700	520	2700	1800	1900	2200	2500	2500	2700	2100	2000	2700	2050	2500	1400	1400	950	450	1650	1200	900	1100	2950	200	160	600	300	1300	550	350	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	127883	1881	2085	2064	2038	2237	1538	1296	1393	1780	1594	1275	1579	1583	1548	1398	2177	2079	2061	1908	1484	1600	1210	1069	1667	1640	1982	997	2041	1231	880	1659	1965	1849	1794	2024	2062	1999	2011	2113	1958	2182	1851	1911	2080	2164	2150	1818	1705	1594	1345	1431	1454	1952	2046	159	1993	1362	1488	1716	1920	1938	2003	1612	1499	2027	1593	1822	1046	1112	717	314	1200	892	702	865	2575	158	98	509	181	916	416	235	383					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1837	26	22	15	241	25	20	11	10	5	12	15	19	11	17	11	18	13	22	24	80	8	15	42	11	21	15	7	35	46	6	44	10	12	5	8	25	18	12	36	18	8	14	15	11	7	57	15	57	6	9	6	20	15	23	0	26	19	14	141	25	22	25	68	13	10	17	11	8	7	12	2	10	5	12	13	11	0	15	4	0	1	3	69	0					
6	Число погашенных избирательных бюллетеней	37260	693	693	621	521	638	442	393	497	515	494	310	602	506	435	391	605	708	717	468	286	392	375	289	422	439	603	96	824	423	314	347	625	539	501	668	613	483	477	501	524	610	435	374	509	579	493	667	438	600	346	463	426	633	631	361	681	419	398	343	555	540	672	420	488	663	440	667	346	281	221	134	440	303	186	222	364	42	47	87	119	383	131	46	67					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1837	26	22	15	241	25	20	11	10	5	12	15	19	11	17	11	18	13	22	24	80	8	15	42	11	21	15	7	35	46	6	44	10	12	5	8	25	18	12	36	18	8	14	15	11	7	57	15	57	6	9	6	20	15	23	0	26	19	14	141	25	22	25	68	13	10	17	11	8	7	12	2	10	5	12	13	11	0	15	4	0	1	3	69	0					
