Выборы Президента Российской Федерации																																																																																																			
Дата голосования: 04.03.2012																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																																			
																																																																																																			
Сводная таблица итогов голосования																																																																																																			
																																																																																																			
	Число участковых избирательных комиссий	88																																																																																																	
	Число участковых избирательных комиссий, приступивших к передаче сведений	88																																																																																																	
																																																																																																			
		Сумма	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657									
1	Число избирателей, включенных в список избирателей	175277	2568	2788	2557	1760	1712	2247	1840	1745	1915	2267	2001	1618	2192	2125	1958	1820	2486	1916	1914	1946	2394	1864	2005	1697	2137	2080	2140	2653	2463	2222	1972	1653	2154	2677	2380	2245	2511	2615	2815	2242	2630	2598	2665	2547	2597	2594	2406	1808	2130	2442	2257	2125	1713	1856	1915	2579	2725	2627	1347	2551	1912	2034	2370	2560	2580	2397	2360	1986	2552	529	1974	2094	1715	1597	1168	1607	1278	1071	1643	2096	2070	196	410	294	1345	578	241	214									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	170400	2500	2700	2500	1800	1650	2100	1800	1600	1800	2200	2000	1500	2100	2100	1900	1700	2400	1900	1900	1900	2300	1700	1900	1600	2000	2100	2100	2700	2400	2100	1850	1200	2100	2700	2400	2200	2500	2600	2800	2250	2600	2550	2600	2500	2500	2600	2300	1800	2000	2400	2250	2100	1700	1800	1900	2500	2700	2200	1250	2600	1800	1950	2150	2600	2500	2200	2400	1950	2500	500	1950	2300	1650	1500	1050	1650	1250	950	1700	2150	2000	200	350	200	1250	500	300	500									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	103640	1511	1609	1491	970	982	1304	1035	989	1064	1149	1092	1014	1263	1277	1167	1077	1528	1156	1151	1149	1407	1096	1112	932	1127	1347	1223	1507	1408	1261	1115	1104	1257	1603	1494	1349	1633	1576	1752	1659	1644	1639	1652	1612	1524	1546	1433	1089	1234	1364	1288	1180	1027	1303	1076	1441	1601	1391	911	1557	1002	1200	1348	1560	1476	1378	1430	1179	1582	333	1216	1398	1156	825	569	860	631	554	990	1382	1243	119	190	165	756	289	143	214									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	1647	20	14	3	152	5	17	14	9	16	8	10	8	15	10	19	8	15	17	14	12	10	35	9	6	15	3	11	12	15	21	21	5	17	6	21	14	4	18	9	9	38	23	6	11	15	15	12	7	66	27	8	13	12	13	15	14	20	5	6	22	12	10	116	19	17	24	188	19	24	0	17	11	8	4	5	5	4	7	17	24	23	0	25	0	0	1	72	0									
6	Число погашенных избирательных бюллетеней	65113	969	1077	1006	678	663	779	751	602	720	1043	898	478	822	813	714	615	857	727	735	739	883	569	779	662	858	750	866	1181	977	818	714	91	826	1091	885	837	863	1006	1039	582	918	888	942	877	961	1039	855	704	700	1009	954	907	661	484	809	1045	1079	804	333	1021	786	740	686	1021	1007	798	782	752	894	167	717	891	486	671	476	785	615	389	693	744	734	81	135	35	494	210	85	286									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1646	20	14	3	152	5	17	14	9	16	8	10	8	15	10	19	8	15	17	14	12	10	35	9	6	15	3	11	12	15	21	21	5	17	6	21	14	4	18	9	9	38	23	6	11	15	15	12	7	66	27	8	13	12	13	15	14	20	5	6	22	12	10	116	19	17	24	187	19	24	0	17	11	8	4	5	5	4	7	17	24	23	0	25	0	0	1	72	0									
8	Число бюллетеней в стационарных ящиках для голосования	103590	1510	1609	1491	970	980	1303	1034	988	1064	1149	1091	1014	1258	1277	1167	1077	1527	1156	1151	1149	1406	1096	1112	931	1127	1347	1222	1507	1408	1260	1094	1103	1257	1603	1494	1349	1629	1575	1752	1659	1644	1639	1652	1612	1524	1546	1433	1089	1234	1362	1288	1180	1027	1303	1076	1441	1601	1391	911	1557	1002	1200	1348	1560	1476	1378	1429	1179	1582	333	1216	1395	1156	825	569	860	631	554	990	1382	1243	119	190	165	756	289	143	214									
9	Число недействительных избирательных бюллетеней	1484	17	29	10	14	11	19	25	23	11	21	9	12	10	15	15	12	25	18	22	16	17	18	22	8	20	13	18	27	27	13	17	13	22	14	25	18	23	24	23	25	11	26	18	18	20	32	15	14	19	23	17	22	25	21	14	21	12	17	7	24	15	17	21	24	21	15	17	12	17	6	17	19	14	21	9	15	5	16	14	29	25	1	2	2	18	2	1	12									
10	Число действительных избирательных бюллетеней	103752	1513	1594	1484	1108	974	1301	1023	974	1069	1136	1092	1010	1263	1272	1171	1073	1517	1155	1143	1145	1399	1113	1099	929	1122	1337	1215	1492	1396	1268	1098	1095	1252	1595	1490	1345	1610	1569	1738	1643	1671	1636	1640	1605	1519	1529	1430	1082	1281	1366	1279	1171	1014	1295	1077	1434	1609	1379	910	1555	999	1193	1443	1555	1472	1387	1599	1186	1589	327	1216	1387	1150	808	565	850	630	545	993	1377	1241	118	213	163	738	288	214	202									
11	Число полученных открепительных  удостоверений	2222	30	30	30	20	20	37	27	20	27	30	20	20	32	37	27	20	33	29	20	20	20	20	23	27	20	30	30	34	27	30	24	26	23	41	20	32	30	30	40	30	20	54	30	20	38	38	27	20	27	20	20	20	20	27	27	28	26	21	20	30	20	20	30	37	37	35	35	20	30	17	27	25	30	20	20	20	20	20	20	30	20	10	10	10	20	10	10	0									
12	Число открепительных удостоверений, выданных избирателям на избирательном участке	1955	29	30	30	20	18	36	26	13	25	30	19	17	30	34	23	19	32	22	15	11	20	20	23	19	19	25	20	33	27	30	23	24	22	32	20	32	30	28	40	30	19	47	27	20	35	35	26	15	25	20	15	18	20	23	21	27	24	20	17	30	13	20	28	33	34	34	35	20	30	11	25	25	29	15	13	15	7	3	11	30	18	1	0	1	11	3	10	0									
