Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Маревская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3626	380	355	822	755	258	319	305	99	79	188	66									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3340	300	300	800	700	200	300	300	100	80	200	60									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1499	137	152	347	310	122	138	126	49	43	72	3									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	440	51	26	92	35	66	49	28	15	7	28	43									
6	Число погашенных избирательных бюллетеней	1401	112	122	361	355	12	113	146	36	30	100	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	440	51	26	92	35	66	49	28	15	7	28	43									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1499	137	152	347	310	122	138	126	49	43	72	3									
9	Число недействительных избирательных бюллетеней	69	12	5	14	12	3	9	7	0	3	2	2									
10	Число действительных избирательных бюллетеней	1870	176	173	425	333	185	178	147	64	47	98	44									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	141	10	10	30	30	10	20	5	10	5	10	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	92	2	9	16	11	10	16	2	10	5	10	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	5	2	3	1	4	0	1	3	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	49	8	1	14	19	0	4	3	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	1	3	9	13	1	15	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	3	3	6	8	2	2	2	0	3	1	1									
		1.60%	1.60%	1.69%	1.37%	2.32%	1.06%	1.07%	1.30%	0.00%	6.00%	1.00%	2.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	62	3	8	18	11	6	5	4	2	1	3	1									
		3.20%	1.60%	4.49%	4.10%	3.19%	3.19%	2.67%	2.60%	3.13%	2.00%	3.00%	2.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	1	4	11	13	1	3	4	1	1	5	2									
		2.37%	0.53%	2.25%	2.51%	3.77%	0.53%	1.60%	2.60%	1.56%	2.00%	5.00%	4.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	800	101	77	140	115	96	74	75	41	17	29	35									
		41.26%	53.72%	43.26%	31.89%	33.33%	51.06%	39.57%	48.70%	64.06%	34.00%	29.00%	76.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	0	0	7	2	0	1	0	1	3	0	0									
		0.72%	0.00%	0.00%	1.59%	0.58%	0.00%	0.53%	0.00%	1.56%	6.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	3	0	0	0	0	1	1	0	1									
		0.36%	0.53%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	1.56%	2.00%	0.00%	2.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	351	31	25	92	67	39	44	19	10	4	20	0									
		18.10%	16.49%	14.04%	20.96%	19.42%	20.74%	23.53%	12.34%	15.63%	8.00%	20.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	1	5	4	0	1	1	0	0	2	0									
		0.72%	0.00%	0.56%	1.14%	1.16%	0.00%	0.53%	0.65%	0.00%	0.00%	2.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	2	2	6	3	1	1	4	1	1	3	0									
		1.24%	1.06%	1.12%	1.37%	0.87%	0.53%	0.53%	2.60%	1.56%	2.00%	3.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	1	0	0	0	1	0	0	1	0									
		0.15%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	1.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	0	0	5	2	4	2	2	1	2	2	0									
		1.03%	0.00%	0.00%	1.14%	0.58%	2.13%	1.07%	1.30%	1.56%	4.00%	2.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	294	22	25	83	60	23	23	27	5	12	12	2									
		15.16%	11.70%	14.04%	18.91%	17.39%	12.23%	12.30%	17.53%	7.81%	24.00%	12.00%	4.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	17	1	2	3	1	1	4	2	0	0	1	2									
