Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
"Наименование Избирательной комиссии:    Сочи, Адлерская"																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №4301	УИК №4302	УИК №4303	УИК №4304	УИК №4305	УИК №4306	УИК №4307	УИК №4308	УИК №4309	УИК №4310	УИК №4311	УИК №4312	УИК №4313	УИК №4314	УИК №4315	УИК №4316	УИК №4317	УИК №4318	УИК №4319	УИК №4320	УИК №4321	УИК №4322	УИК №4323	УИК №4324	УИК №4325	УИК №4326	УИК №4327	УИК №4328	УИК №4329	УИК №4330	УИК №4331	УИК №4332	УИК №4333	УИК №4334	УИК №4335	УИК №4336	УИК №4337	УИК №4338	УИК №4339	УИК №4340	УИК №4341	УИК №4342	УИК №4343	УИК №4344	УИК №4345	УИК №4346	УИК №4347	УИК №4348	УИК №4349	УИК №4350	УИК №4351	УИК №4352	УИК №4353	УИК №4354	УИК №4355	УИК №4356	УИК №4357	УИК №4358	УИК №4359	УИК №4360	УИК №4361									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	92181	101	174	111	2422	2104	521	1976	2609	2480	2282	2242	3074	776	2632	767	1043	2417	1222	1552	1025	1606	1012	1344	2180	1490	585	1745	2561	872	595	1782	2688	2205	1581	2372	2182	2143	1933	896	2190	493	851	689	1113	706	2414	1853	1699	2699	865	500	237	1661	1037	246	1052	382	1624	3001	2123	1444									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82950	100	150	100	2300	2000	500	1800	2500	2300	2200	2100	2500	700	2300	600	850	2000	900	1400	900	1400	950	1200	2000	1400	500	1550	2400	800	500	1600	2400	2000	1350	2200	2100	2000	1700	700	1750	350	750	600	1000	600	2200	1750	1550	2500	800	450	200	1500	900	250	900	350	1500	2800	2000	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32874	66	113	49	1169	517	214	788	721	464	651	843	1279	438	1150	346	315	965	724	537	523	597	362	535	783	550	192	620	856	207	231	503	791	695	475	587	819	859	442	237	744	232	224	220	316	299	799	675	412	1343	264	201	105	751	387	171	568	158	649	754	389	1000									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2981	0	0	0	106	195	84	279	45	49	21	83	32	20	20	7	39	13	72	6	17	13	9	3	15	7	55	87	17	21	25	6	11	31	95	74	16	21	3	13	10	6	88	72	76	23	13	31	42	103	38	119	65	95	52	24	35	13	60	39	67	300									
6	Число погашенных избирательных бюллетеней	47095	34	37	51	1025	1288	202	733	1734	1787	1528	1174	1189	242	1130	247	496	1022	104	857	360	790	579	662	1202	843	253	843	1527	572	244	1091	1598	1274	780	1539	1265	1120	1255	450	996	112	438	308	608	278	1388	1044	1096	1054	498	130	30	654	461	55	297	179	791	2007	1544	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2981	0	0	0	106	195	84	279	45	49	21	83	32	20	20	7	39	13	72	6	17	13	9	3	15	7	55	87	17	21	25	6	11	31	95	74	16	21	3	13	10	6	88	72	76	23	13	31	42	103	38	119	65	95	52	24	35	13	60	39	67	300									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32849	66	113	49	1167	517	214	788	721	464	651	843	1279	438	1150	346	315	965	724	537	523	597	362	535	770	550	192	618	856	207	229	503	791	695	475	584	819	859	442	237	744	232	224	220	316	299	799	675	412	1343	264	201	105	751	387	171	568	158	648	753	388	1000									
9	Число недействительных избирательных бюллетеней	733	4	10	6	15	15	3	7	20	11	8	10	19	5	26	1	13	35	9	0	1	17	13	9	17	12	4	64	16	1	5	17	14	15	6	18	25	14	8	9	14	3	1	4	19	5	10	27	19	16	0	5	0	27	13	0	27	3	6	14	13	5									
10	Число действительных избирательных бюллетеней	35097	62	103	43	1258	697	295	1060	746	502	664	916	1292	453	1144	352	341	943	787	543	539	593	358	529	768	545	243	641	857	227	249	492	788	711	564	640	810	866	437	241	740	235	311	288	373	317	802	679	435	1430	302	315	170	819	426	195	576	168	702	778	442	1295									
