Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																	
Дата голосования: 07.12.2003 0:00:00																	
																	
Наименование Избирательной комиссии:    Осипенковская																	
																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																	
																	
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в списки"	4492	109	80	44	525	615	171	1754	981	75	138					
2	"Число бюллетеней, полученных участковыми комиссиями"	4817	120	100	50	600	700	180	1795	1050	72	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	13	0	0	0	0	0	2	7	4	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	2121	84	68	37	264	257	102	689	470	56	94					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	296	5	0	0	29	36	3	115	88	6	14					
6	Число погашенных бюллетеней	2387	31	32	13	307	407	73	984	488	10	42					
7	Число бюллетеней в переносных ящиках для голосования	309	5	0	0	29	36	5	122	92	6	14					
8	Число бюллетеней в стационарных ящиках для голосования	2121	84	68	37	264	257	102	689	470	56	94					
9	Число недействительных бюллетеней	30	1	1	0	2	1	1	14	7	2	1					
10	Число действительных бюллетеней	2400	88	67	37	291	292	106	797	555	60	107					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	118	5	5	3	15	20	10	30	20	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	30	0	0	0	0	5	1	23	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	2	1	2	1	5	2	3	2	0	0					
14	Число погашенных открепительных удостоверений	88	5	5	3	15	15	9	7	19	5	5					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
																	
18	"1. ""ЕДИНЕНИЕ"""	31	2	3	1	3	2	4	7	7	1	1					
		1.27%	2.24%	4.41%	2.70%	1.02%	0.68%	3.73%	0.86%	1.24%	1.61%	0.92%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	50	0	1	0	3	9	6	17	10	2	2					
		2.05%	0.0%	1.47%	0.0%	1.02%	3.07%	5.60%	2.09%	1.77%	3.22%	1.85%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	81	3	1	2	9	6	4	30	17	1	8					
		3.33%	3.37%	1.47%	5.40%	3.07%	2.04%	3.73%	3.69%	3.02%	1.61%	7.40%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	54	1	1	1	2	16	1	22	6	3	1					
		2.22%	1.12%	1.47%	2.70%	0.68%	5.46%	0.93%	2.71%	1.06%	4.83%	0.92%					
22	"5. ""За Русь Святую"""	11	0	0	0	2	2	0	4	3	0	0					
		0.45%	0.0%	0.0%	0.0%	0.68%	0.68%	0.0%	0.49%	0.53%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	6	0	0	0	0	1	0	2	3	0	0					
		0.24%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.24%	0.53%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	0	0	0	0	0	2	4	5	1	0					
		0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	1.86%	0.49%	0.88%	1.61%	0.0%					
25	"8. ""Народно-республиканская партия России"""	0	0	0	0	0	0	0	0	0	0	0					
		0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	6	0	0	0	0	2	0	2	2	0	0					
		0.24%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.24%	0.35%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	28	1	0	1	2	7	0	9	3	5	0					
		1.15%	1.12%	0.0%	2.70%	0.68%	2.38%	0.0%	1.10%	0.53%	8.06%	0.0%					
28	"11. ""Истинные патриоты России"""	2	1	0	0	0	0	0	0	1	0	0					
		0.08%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%					
