Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Базарносызганская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21					
1	"Число избирателей, внесенных в списки"	8828	1407	1316	1382	308	389	121	303	73	357	453	163	235	560	185	101	439	111	257	125	109	434					
2	"Число бюллетеней, полученных участковыми комиссиями"	8785	1369	1306	1366	309	385	120	305	73	368	453	166	231	562	193	91	449	111	251	128	109	440					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5303	740	724	688	166	209	88	195	43	224	288	112	152	371	141	70	295	79	180	99	65	374					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	297	41	20	36	7	35	0	8	5	28	20	0	18	22	3	6	9	5	9	5	20	0					
6	Число погашенных бюллетеней	3185	588	562	642	136	141	32	102	25	116	145	54	61	169	49	15	145	27	62	24	24	66					
7	Число бюллетеней в переносных ящиках для голосования	297	41	20	36	7	35	0	8	5	28	20	0	18	22	3	6	9	5	9	5	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	5303	740	724	688	166	209	88	195	43	224	288	112	152	371	141	70	295	79	180	99	65	374					
9	Число недействительных бюллетеней	163	18	22	24	5	3	0	0	0	22	4	7	1	16	0	6	23	0	0	7	1	4					
10	Число действительных бюллетеней	5437	763	722	700	168	241	88	203	48	230	304	105	169	377	144	70	281	84	189	97	84	370					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	195	20	20	20	10	10	5	10	5	10	10	5	5	10	5	5	10	5	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	28	6	6	6	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	10	0	3	0	2	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	0					
14	Число погашенных открепительных удостоверений	167	14	14	14	10	10	4	10	5	10	9	5	5	10	5	5	8	5	10	5	5	4					
15	Число открепительных удостоверений выданных ТИК	6	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1					
