Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Приморская N28																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1807	УИК №1808	УИК №1809					
1	"Число избирателей, внесенных в списки избирателей"	149623	2887	2797	2798	2731	2224	2167	2751	3090	1988	2147	2403	2617	2838	2762	2716	2812	2718	2637	2765	2771	2776	2873	2651	2135	2388	2207	2258	2322	2162	2583	2894	2731	2894	2834	2140	2527	2332	2586	2220	2637	2608	2378	2515	1997	2622	2477	2518	2884	2472	2093	1341	216	2991	2953	2580	2363	2258	2515	2124	2219	429	301					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	138500	2500	2600	2600	2500	2000	2000	2500	3000	1900	2000	2300	2500	2700	2500	2500	2700	2500	2500	2500	2500	2600	2500	2500	2000	2200	2000	2000	2000	2000	2500	2700	2500	2700	2600	2000	2500	2100	2400	2000	2500	2500	2200	2400	2000	2500	2200	2300	2600	2300	1800	1200	200	2700	2700	2500	2100	2000	2300	2100	2000	400	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	74162	1453	1434	1575	1362	1145	1164	1473	1329	997	1166	1378	1282	1482	1384	1418	1360	1323	1280	1427	1299	1443	1412	1325	1038	1114	851	1111	1168	1038	1224	1402	1424	1445	1455	1022	1223	1262	1294	1122	1293	1278	1125	1239	1069	1299	1156	1155	1405	1238	974	450	131	1391	1453	1306	1207	1084	1227	1074	1091	208	205					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1148	18	31	21	27	26	23	25	26	18	17	20	21	15	18	16	9	24	22	8	19	18	21	15	9	9	6	6	5	13	4	23	7	20	10	6	3	7	19	10	11	13	18	17	7	6	12	8	19	25	26	16	8	21	12	9	7	6	8	20	7	161	96					
6	Число погашенных избирательных бюллетеней	59357	1029	932	903	1011	729	813	1002	1645	885	717	700	1097	1103	999	966	1331	971	1087	1065	1182	1139	966	1060	853	1077	1043	883	827	949	1172	1275	886	1235	1135	972	1274	569	1087	868	1196	1209	947	965	824	1095	932	1137	1075	937	800	734	61	1188	1235	1081	786	714	1065	1006	803	31	99					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1148	18	31	21	27	26	23	25	26	18	17	20	21	15	18	16	9	24	22	8	19	18	21	15	9	9	6	6	5	13	4	23	7	20	10	6	3	7	19	10	11	13	18	17	7	6	12	8	19	25	26	16	8	21	12	9	7	6	8	20	7	161	96					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	74020	1447	1433	1568	1357	1145	1161	1468	1323	997	1166	1378	1282	1479	1377	1418	1357	1315	1279	1427	1294	1441	1408	1325	1038	1114	849	1106	1167	1034	1218	1396	1422	1445	1455	1022	1223	1259	1294	1114	1293	1278	1124	1226	1069	1299	1155	1149	1405	1235	974	450	131	1388	1451	1306	1207	1082	1227	1073	1084	208	205					
9	Число недействительных избирательных бюллетеней	657	9	13	12	14	10	8	16	15	15	13	13	12	12	10	8	9	10	10	10	7	12	12	10	12	6	7	11	13	9	8	16	13	17	18	9	8	10	11	8	20	12	18	5	14	13	9	10	13	14	12	1	2	11	15	10	11	9	0	9	4	8	1					
10	Число действительных избирательных бюллетеней	74511	1456	1451	1577	1370	1161	1176	1477	1334	1000	1170	1385	1291	1482	1385	1426	1357	1329	1291	1425	1306	1447	1417	1330	1035	1117	848	1101	1159	1038	1214	1403	1416	1448	1447	1019	1218	1256	1302	1116	1284	1279	1124	1238	1062	1292	1158	1147	1411	1246	988	465	137	1398	1448	1305	1203	1079	1235	1084	1087	361	300					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2917	55	55	55	55	55	50	55	70	35	45	55	35	55	55	55	35	55	55	35	55	50	45	55	55	35	45	45	65	35	55	55	35	55	35	35	35	35	45	55	50	70	35	52	55	45	35	45	55	35	35	35	35	70	85	55	55	55	35	55	35	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2172	32	38	43	40	35	36	41	45	27	26	33	28	49	35	47	35	31	48	31	41	35	36	45	48	29	35	34	58	22	36	47	28	46	31	25	23	22	35	37	38	54	23	38	34	36	28	30	55	23	35	14	2	52	59	41	54	39	30	45	29	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1875	35	32	27	67	99	90	58	31	27	1	19	20	17	17	24	13	17	5	23	29	55	61	41	41	20	20	21	47	18	23	31	30	13	30	33	7	44	20	9	11	25	15	18	9	22	26	23	33	37	47	13	14	44	27	37	41	36	13	63	54	19	33					
14	Число погашенных неиспользованных открепительных удостоверений	745	23	17	12	15	20	14	14	25	8	19	22	7	6	20	8	0	24	7	4	14	15	9	10	7	6	10	11	7	13	19	8	7	9	4	10	12	13	10	18	12	16	12	14	21	9	7	15	0	12	0	21	33	18	26	14	1	16	5	10	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	160	2	3	5	0	0	1	1	3	2	0	2	1	4	1	4	2	5	3	11	1	2	1	3	1	8	8	4	2	6	3	4	6	3	4	0	2	2	5	1	1	3	4	0	0	3	5	0	7	0	2	2	0	2	5	5	3	0	0	2	0	0	0					
16	Число утраченных избирательных бюллетеней	3833	0	203	101	100	100	0	0	0	0	100	202	100	100	99	100	0	182	111	0	0	0	101	100	100	0	100	0	0	0	100	0	183	0	0	0	0	262	0	0	0	0	110	179	100	100	100	0	101	100	0	0	0	100	0	104	100	196	0	0	99	0	0					
