Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Калининская-180																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №265	УИК №279	УИК №280	УИК №281	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №307	УИК №308	УИК №309	УИК №316									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18473	1962	1691	1516	963	1006	278	342	340	559	1532	1041	769	311	1149	1333	781	724	292	1884									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17165	1800	1600	1450	900	950	250	300	300	500	1400	1000	700	300	1000	1200	750	690	275	1800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5872	761	652	440	275	316	98	129	92	124	442	340	287	81	365	452	181	272	67	498									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	503	36	11	30	20	35	34	22	17	40	9	7	33	12	28	102	25	12	12	18									
6	Число погашенных избирательных бюллетеней	10790	1003	937	980	605	599	118	149	191	336	949	653	380	207	607	646	544	406	196	1284									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	503	36	11	30	20	35	34	22	17	40	9	7	33	12	28	102	25	12	12	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5865	761	652	440	275	316	98	129	92	124	442	338	287	81	365	452	181	267	67	498									
9	Число недействительных избирательных бюллетеней	128	7	17	7	7	7	0	1	2	4	9	13	8	1	8	6	5	4	1	21									
10	Число действительных избирательных бюллетеней	6240	790	646	463	288	344	132	150	107	160	442	332	312	92	385	548	201	275	78	495									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	271	20	40	15	5	15	5	11	5	5	20	10	10	5	10	20	10	20	5	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	13	12	10	2	8	0	9	1	1	6	4	3	3	4	11	7	5	2	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	377	103	46	3	15	15	14	22	10	5	25	5	0	2	44	20	12	27	2	7									
14	Число погашенных неиспользованных открепительных удостоверений	166	7	28	5	3	7	5	2	4	4	14	6	7	2	6	9	3	15	3	36									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	5	1	2	2	2	0	0	1	0	1	1	1	0	2	0	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	109	11	11	13	5	5	0	5	3	3	8	6	5	0	3	13	4	3	4	7									
		1.71%	1.38%	1.66%	2.77%	1.69%	1.42%	0.00%	3.31%	2.75%	1.83%	1.77%	1.74%	1.56%	0.00%	0.76%	2.35%	1.94%	1.08%	5.06%	1.36%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	114	10	12	8	7	11	2	2	1	4	6	12	5	1	4	9	4	5	0	11									
		1.79%	1.25%	1.81%	1.70%	2.37%	3.13%	1.52%	1.32%	0.92%	2.44%	1.33%	3.48%	1.56%	1.08%	1.02%	1.62%	1.94%	1.79%	0.00%	2.13%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	160	23	15	12	5	7	1	2	5	2	19	13	7	3	4	10	4	7	6	15									
		2.51%	2.89%	2.26%	2.55%	1.69%	1.99%	0.76%	1.32%	4.59%	1.22%	4.21%	3.77%	2.19%	3.23%	1.02%	1.81%	1.94%	2.51%	7.59%	2.91%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3022	390	321	215	133	149	89	63	50	69	191	143	201	50	223	282	98	142	24	189									
		47.46%	48.93%	48.42%	45.74%	45.08%	42.45%	67.42%	41.72%	45.87%	42.07%	42.35%	41.45%	62.81%	53.76%	56.74%	50.90%	47.57%	50.90%	30.38%	36.63%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	3	9	6	2	3	1	4	1	1	2	2	1	0	1	1	1	0	1	3									
		0.66%	0.38%	1.36%	1.28%	0.68%	0.85%	0.76%	2.65%	0.92%	0.61%	0.44%	0.58%	0.31%	0.00%	0.25%	0.18%	0.49%	0.00%	1.27%	0.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	1	2	2	0	0	0	1	0	0	1	1	1	0	0	0	1	1	0	0									
		0.17%	0.13%	0.30%	0.43%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.22%	0.29%	0.31%	0.00%	0.00%	0.00%	0.49%	0.36%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1131	119	105	87	64	72	24	43	18	38	89	65	48	16	70	87	34	39	16	97									
