Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																	
Дата голосования: 04.12.2011																																																	
																																																	
Наименование Избирательной комиссии:    Дзержинская																																																	
																																																	
Сводная таблица результатов выборов																																																	
																																																	
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114					
1	"Число избирателей, внесенных в список избирателей"	44863	240	259	295	293	262	511	379	94	589	1480	1408	1106	194	260	371	280	816	2331	2249	2189	2020	1684	745	1537	1043	1528	1926	1990	773	1375	1901	1923	2268	1036	1171	600	225	482	179	127	2479	2245					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42340	250	250	290	270	250	500	360	90	580	1500	1400	1000	200	250	360	270	800	2200	2200	1850	1800	1600	700	1500	1000	1500	1750	1800	750	1300	1800	1800	2100	1000	1000	560	200	470	210	130	2300	2200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22410	151	179	104	149	138	343	219	42	285	678	718	555	56	124	199	147	332	1263	1178	999	1068	775	323	682	540	739	903	934	400	678	935	1023	1176	566	533	250	126	287	86	77	1236	1214					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2531	42	18	110	35	64	52	46	23	84	69	13	72	71	44	51	24	167	31	120	131	60	25	42	47	48	29	179	122	42	37	32	25	68	20	41	237	54	47	25	18	32	34					
6	Число погашенных избирательных бюллетеней	17399	57	53	76	86	48	105	95	25	211	753	669	373	73	82	110	99	301	906	902	720	672	800	335	771	412	732	668	744	308	585	833	752	856	414	426	73	20	136	99	35	1032	952					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2531	42	18	110	35	64	52	46	23	84	69	13	72	71	44	51	24	167	31	120	131	60	25	42	47	48	29	179	122	42	37	32	25	68	20	41	237	54	47	25	18	32	34					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22381	151	179	104	149	138	343	219	42	285	678	718	555	56	124	199	147	332	1263	1173	995	1068	774	321	682	540	738	901	923	400	678	935	1023	1176	566	533	249	126	287	86	77	1234	1214					
9	Число недействительных избирательных бюллетеней	581	0	6	1	0	1	6	5	1	3	19	12	15	1	2	2	4	5	16	26	16	18	19	6	7	8	11	196	18	8	13	17	17	21	13	16	6	0	2	3	3	22	16					
10	Число действительных избирательных бюллетеней	24331	193	191	213	184	201	389	260	64	366	728	719	612	126	166	248	167	494	1278	1267	1110	1110	780	357	722	580	756	884	1027	434	702	950	1031	1223	573	558	480	180	332	108	92	1244	1232					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	567	37	5	5	0	5	6	12	5	10	15	10	10	25	9	15	5	10	22	26	12	20	18	10	17	8	11	13	14	6	18	25	20	24	15	10	15	0	10	30	8	15	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	550	37	5	4	0	5	6	12	5	7	15	10	6	25	9	15	5	10	22	24	12	20	18	10	16	7	11	12	14	6	18	25	20	24	13	8	15	0	10	30	8	15	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	462	7	8	10	5	6	5	13	2	14	8	7	6	10	11	6	5	13	16	25	32	22	12	9	6	12	14	27	15	11	6	10	15	14	23	3	7	5	10	3	6	14	9					
14	Число погашенных неиспользованных открепительных удостоверений	17	0	0	1	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	66	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	39	3	3	0	1	2	3	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3673	23	25	29	30	31	32	27	5	44	130	108	109	23	10	30	31	52	137	177	151	189	130	44	124	110	144	148	148	73	133	220	236	170	104	75	41	17	34	4	10	168	147					
		14.74%	11.92%	12.69%	13.55%	16.30%	15.35%	8.10%	10.19%	7.69%	11.92%	17.40%	14.77%	17.38%	18.11%	5.95%	12.00%	18.13%	10.42%	10.59%	13.69%	13.41%	16.76%	16.27%	12.12%	17.01%	18.71%	18.77%	13.70%	14.16%	16.52%	18.60%	22.75%	22.52%	13.67%	17.75%	13.07%	8.44%	9.44%	10.18%	3.60%	10.53%	13.27%	11.78%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3452	21	35	23	21	32	41	37	10	40	95	94	100	8	32	33	24	79	184	178	153	121	104	53	111	63	102	138	168	87	116	147	158	182	111	82	40	12	40	16	9	161	191					
		13.86%	10.88%	17.77%	10.75%	11.41%	15.84%	10.38%	13.96%	15.38%	10.84%	12.72%	12.86%	15.95%	6.30%	19.05%	13.20%	14.04%	15.83%	14.22%	13.77%	13.59%	10.73%	13.02%	14.60%	15.23%	10.71%	13.30%	12.78%	16.08%	19.68%	16.22%	15.20%	15.08%	14.63%	18.94%	14.29%	8.23%	6.67%	11.98%	14.41%	9.47%	12.72%	15.30%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	317	1	3	4	1	3	5	5	1	4	9	4	6	1	4	0	2	11	18	13	21	13	14	6	4	3	11	21	15	0	10	16	14	17	7	4	7	3	3	2	0	14	17					
		1.27%	0.52%	1.52%	1.87%	0.54%	1.49%	1.27%	1.89%	1.54%	1.08%	1.20%	0.55%	0.96%	0.79%	2.38%	0.00%	1.17%	2.20%	1.39%	1.01%	1.87%	1.15%	1.75%	1.65%	0.55%	0.51%	1.43%	1.94%	1.44%	0.00%	1.40%	1.65%	1.34%	1.37%	1.19%	0.70%	1.44%	1.67%	0.90%	1.80%	0.00%	1.11%	1.36%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4742	19	32	27	28	28	83	48	4	49	164	147	132	26	36	36	25	85	220	248	252	209	169	84	125	114	172	202	235	85	140	195	232	235	112	153	59	21	47	8	10	217	229					
		19.04%	9.84%	16.24%	12.62%	15.22%	13.86%	21.01%	18.11%	6.15%	13.28%	21.95%	20.11%	21.05%	20.47%	21.43%	14.40%	14.62%	17.03%	17.00%	19.18%	22.38%	18.53%	21.15%	23.14%	17.15%	19.39%	22.43%	18.70%	22.49%	19.23%	19.58%	20.17%	22.14%	18.89%	19.11%	26.66%	12.14%	11.67%	14.07%	7.21%	10.53%	17.14%	18.35%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	675	1	2	2	0	9	3	2	1	7	30	20	21	5	3	4	1	13	38	51	44	44	21	7	12	24	19	31	35	13	26	23	19	47	17	16	1	3	6	4	0	19	31					
		2.71%	0.52%	1.02%	0.93%	0.00%	4.46%	0.76%	0.75%	1.54%	1.90%	4.02%	2.74%	3.35%	3.94%	1.79%	1.60%	0.58%	2.61%	2.94%	3.94%	3.91%	3.90%	2.63%	1.93%	1.65%	4.08%	2.48%	2.87%	3.35%	2.94%	3.64%	2.38%	1.81%	3.78%	2.90%	2.79%	0.21%	1.67%	1.80%	3.60%	0.00%	1.50%	2.48%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11349	128	93	128	103	98	224	138	43	221	298	340	241	62	81	145	83	252	674	587	482	527	339	161	341	263	303	339	424	172	274	344	369	565	220	227	332	123	202	74	63	660	606					
		45.56%	66.32%	47.21%	59.81%	55.98%	48.51%	56.71%	52.08%	66.15%	59.89%	39.89%	46.51%	38.44%	48.82%	48.21%	58.00%	48.54%	50.50%	52.09%	45.40%	42.81%	46.72%	42.43%	44.35%	46.78%	44.73%	39.50%	31.39%	40.57%	38.91%	38.32%	35.57%	35.21%	45.42%	37.54%	39.55%	68.31%	68.33%	60.48%	66.67%	66.32%	52.13%	48.56%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	123	0	1	0	1	0	1	3	0	1	2	6	3	1	0	0	1	2	7	13	7	7	3	2	5	3	5	5	2	4	3	5	3	7	2	1	0	1	0	0	0	5	11					
		0.49%	0.00%	0.51%	0.00%	0.54%	0.00%	0.25%	1.13%	0.00%	0.27%	0.27%	0.82%	0.48%	0.79%	0.00%	0.00%	0.58%	0.40%	0.54%	1.01%	0.62%	0.62%	0.38%	0.55%	0.69%	0.51%	0.65%	0.46%	0.19%	0.90%	0.42%	0.52%	0.29%	0.56%	0.34%	0.17%	0.00%	0.56%	0.00%	0.00%	0.00%	0.39%	0.88%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
