Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
"Наименование Избирательной комиссии:    Ростов-на-Дону, Кировская"																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №8086	УИК №8087	УИК №8093									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	48510	2318	2183	2031	2030	1449	2007	1498	1252	2108	2397	2279	2269	2018	1584	2164	2210	1603	1493	2244	2449	2057	1979	1385	2003	670	282	251	297									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80782	2000	1500	1500	1500	1100	1500	1100	1000	1600	1800	1600	2000	1500	1600	1600	1500	1200	1100	1800	2000	1500	1500	1000	1500	682	20000	12000	12100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21234	645	906	745	845	822	1216	812	737	761	1158	863	1363	986	573	781	842	451	613	1087	1040	659	753	439	727	670	279	206	255									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3345	157	207	193	142	112	144	136	27	67	208	206	168	128	18	214	80	183	40	191	49	46	178	153	208	0	3	45	42									
6	Число погашенных избирательных бюллетеней	56203	1198	387	562	513	166	140	152	236	772	434	531	469	386	1009	605	578	566	447	522	911	795	569	408	565	12	19718	11749	11803									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3344	157	207	193	142	112	144	136	27	67	208	206	168	128	18	214	80	183	40	190	49	46	178	153	208	0	3	45	42									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21129	644	902	745	845	735	1216	812	737	761	1158	854	1363	986	573	781	842	451	613	1084	1040	659	753	439	727	670	279	206	254									
9	Число недействительных избирательных бюллетеней	308	8	21	2	11	7	4	9	0	0	1	29	9	5	19	26	42	10	14	18	13	5	0	1	0	27	11	4	12									
10	Число действительных избирательных бюллетеней	24165	793	1088	936	976	840	1356	939	764	828	1365	1031	1522	1109	572	969	880	624	639	1256	1076	700	931	591	935	643	271	247	284									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1770	70	70	70	70	60	70	60	80	60	70	70	160	70	70	70	70	70	60	70	70	70	90	60	70	0	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	623	26	30	20	21	14	16	11	19	21	26	34	93	19	19	25	20	30	17	22	45	23	27	22	23	0	0	0	0									
