Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Усть-Майская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6069	139	225	84	683	725	713	609	227	1094	394	48	670	158	175	125									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5820	130	230	95	600	600	600	600	320	1100	410	50	690	110	165	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	131	5	0	0	0	19	0	0	0	0	0	0	44	0	0	63									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3048	87	117	51	401	336	313	261	191	421	198	25	399	73	147	28									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	288	4	21	16	24	16	44	15	4	92	16	0	20	13	3	0									
6	Число погашенных избирательных бюллетеней	2353	34	92	28	175	229	243	324	125	587	196	25	227	24	15	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	419	9	21	16	24	35	44	15	4	92	16	0	64	13	3	63									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3048	87	117	51	401	336	313	261	191	421	198	25	399	73	147	28									
9	Число недействительных избирательных бюллетеней	68	1	4	0	5	5	9	8	1	19	4	1	6	2	3	0									
10	Число действительных избирательных бюллетеней	3399	95	134	67	420	366	348	268	194	494	210	24	457	84	147	91									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	148	7	8	5	15	10	5	18	15	15	10	5	15	10	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	88	0	1	5	15	7	1	13	15	11	10	2	6	1	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	36	1	2	2	3	6	6	5	3	2	1	2	3	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	60	7	7	0	0	3	4	5	0	4	0	3	9	9	4	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	52	0	2	4	11	3	5	2	7	14	0	0	4	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	62	1	1	2	8	5	6	2	2	13	0	1	19	0	1	1									
		1.79%	1.04%	0.72%	2.99%	1.88%	1.35%	1.68%	0.72%	1.03%	2.53%	0.00%	4.00%	4.10%	0.00%	0.67%	1.10%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	105	1	4	2	13	7	16	10	14	18	2	1	12	1	3	1									
		3.03%	1.04%	2.90%	2.99%	3.06%	1.89%	4.48%	3.62%	7.18%	3.51%	0.93%	4.00%	2.59%	1.16%	2.00%	1.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	1	1	1	14	10	4	6	1	22	0	0	7	0	5	1									
		2.11%	1.04%	0.72%	1.49%	3.29%	2.70%	1.12%	2.17%	0.51%	4.29%	0.00%	0.00%	1.51%	0.00%	3.33%	1.10%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1660	54	67	22	181	154	174	118	77	254	125	10	229	60	94	41									
		47.88%	56.25%	48.55%	32.84%	42.59%	41.51%	48.74%	42.75%	39.49%	49.51%	58.41%	40.00%	49.46%	69.77%	62.67%	45.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	0	0	0	1	2	2	1	0	1	0	1	2	1	0	0									
		0.32%	0.00%	0.00%	0.00%	0.24%	0.54%	0.56%	0.36%	0.00%	0.19%	0.00%	4.00%	0.43%	1.16%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	19	0	1	0	4	2	1	0	0	1	8	0	1	0	1	0									
		0.55%	0.00%	0.72%	0.00%	0.94%	0.54%	0.28%	0.00%	0.00%	0.19%	3.74%	0.00%	0.22%	0.00%	0.67%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	496	22	24	3	26	58	58	47	4	111	9	0	88	10	16	20									
		14.31%	22.92%	17.39%	4.48%	6.12%	15.63%	16.25%	17.03%	2.05%	21.64%	4.21%	0.00%	19.01%	11.63%	10.67%	21.98%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	0	0	0	2	1	0	0	0	0	1	0	1	0	2	0									
		0.20%	0.00%	0.00%	0.00%	0.47%	0.27%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.22%	0.00%	1.33%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	0	0	0	2	1	0	2	0	6	0	0	2	0	0	1									
		0.40%	0.00%	0.00%	0.00%	0.47%	0.27%	0.00%	0.72%	0.00%	1.17%	0.00%	0.00%	0.43%	0.00%	0.00%	1.10%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0									
		0.12%	0.00%	0.00%	0.00%	0.24%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	0	0	0	1	4	2	1	1	3	0	0	3	0	2	0									
		0.49%	0.00%	0.00%	0.00%	0.24%	1.08%	0.56%	0.36%	0.51%	0.58%	0.00%	0.00%	0.65%	0.00%	1.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	410	1	28	19	66	51	39	40	8	50	9	2	54	8	19	16									
		11.83%	1.04%	20.29%	28.36%	15.53%	13.75%	10.92%	14.49%	4.10%	9.75%	4.21%	8.00%	11.66%	9.30%	12.67%	17.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	0	0	0	2	0	0	1	2	0	0	0	1	2	0	1									
		0.26%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.36%	1.03%	0.00%	0.00%	0.00%	0.22%	2.33%	0.00%	1.10%									
