Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Южская																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827					
1	"Число избирателей, внесенных в списки избирателей"	18567	1668	1511	1676	2097	2075	1740	1348	800	478	689	1709	474	181	469	406	187	174	268	206	411					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18280	1650	1480	1650	2050	2050	1700	1350	790	480	680	1700	480	170	450	400	180	170	250	200	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9305	795	703	742	1054	1044	820	674	441	262	365	1043	198	94	212	149	114	73	162	108	252					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1420	96	83	88	104	126	57	73	46	52	71	65	134	18	122	134	32	51	6	31	31					
6	Число погашенных избирательных бюллетеней	7555	759	694	820	892	880	823	603	303	166	244	592	148	58	116	117	34	46	82	61	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1420	96	83	88	104	126	57	73	46	52	71	65	134	18	122	134	32	51	6	31	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9302	794	701	742	1054	1044	820	674	441	262	365	1043	198	94	212	149	114	73	162	108	252					
9	Число недействительных избирательных бюллетеней	109	8	10	11	14	9	14	6	5	5	0	11	3	0	0	5	3	0	1	0	4					
10	Число действительных избирательных бюллетеней	10613	882	774	819	1144	1161	863	741	482	309	436	1097	329	112	334	278	143	124	167	139	279					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	275	30	20	20	25	20	25	20	10	10	10	20	10	5	10	10	5	5	5	5	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	155	26	7	13	21	18	21	5	5	6	9	10	4	0	2	2	1	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	151	14	14	18	15	24	7	5	11	0	6	18	3	0	1	0	6	2	3	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	120	4	13	7	4	2	4	15	5	4	1	10	6	5	8	8	4	5	5	0	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	323	19	18	10	37	31	17	14	20	13	10	27	12	11	11	8	4	1	19	16	25					
		3.01%	2.13%	2.30%	1.20%	3.20%	2.65%	1.94%	1.87%	4.11%	4.14%	2.29%	2.44%	3.61%	9.82%	3.29%	2.83%	2.74%	0.81%	11.31%	11.51%	8.83%					
19	2.Всероссийская политическая партия «Гражданская Сила»	60	4	3	6	6	6	5	9	4	1	1	3	1	0	4	4	1	2	0	0	0					
		0.56%	0.45%	0.38%	0.72%	0.52%	0.51%	0.57%	1.20%	0.82%	0.32%	0.23%	0.27%	0.30%	0.00%	1.20%	1.41%	0.68%	1.61%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	1	0	2	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1					
		0.08%	0.11%	0.00%	0.24%	0.17%	0.00%	0.11%	0.13%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	851	68	67	67	98	105	72	60	32	29	56	94	21	7	16	22	5	4	4	11	13					
		7.94%	7.64%	8.55%	8.07%	8.46%	8.97%	8.21%	8.03%	6.57%	9.24%	12.84%	8.48%	6.33%	6.25%	4.79%	7.77%	3.42%	3.23%	2.38%	7.91%	4.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	70	10	4	12	4	13	5	6	1	0	1	3	0	0	4	6	0	0	1	0	0					
		0.65%	1.12%	0.51%	1.45%	0.35%	1.11%	0.57%	0.80%	0.21%	0.00%	0.23%	0.27%	0.00%	0.00%	1.20%	2.12%	0.00%	0.00%	0.60%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	21	0	2	1	4	4	3	1	1	3	1	1	0	0	0	0	0	0	0	0	0					
		0.20%	0.00%	0.26%	0.12%	0.35%	0.34%	0.34%	0.13%	0.21%	0.96%	0.23%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	1234	99	105	107	119	128	101	99	63	33	55	126	28	11	38	36	19	14	14	11	28					
		11.51%	11.12%	13.39%	12.89%	10.28%	10.94%	11.52%	13.25%	12.94%	10.51%	12.61%	11.37%	8.43%	9.82%	11.38%	12.72%	13.01%	11.29%	8.33%	7.91%	9.89%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	973	89	70	70	115	135	98	61	46	8	68	86	25	3	35	16	4	3	17	4	20					
		9.07%	10.00%	8.93%	8.43%	9.93%	11.54%	11.17%	8.17%	9.45%	2.55%	15.60%	7.76%	7.53%	2.68%	10.48%	5.65%	2.74%	2.42%	10.12%	2.88%	7.07%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	85	2	9	6	12	8	5	7	4	2	3	11	0	0	5	3	1	0	1	2	4					
		0.79%	0.22%	1.15%	0.72%	1.04%	0.68%	0.57%	0.94%	0.82%	0.64%	0.69%	0.99%	0.00%	0.00%	1.50%	1.06%	0.68%	0.00%	0.60%	1.44%	1.41%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6942	585	494	532	741	726	553	481	307	219	240	743	239	80	220	183	109	98	110	95	187					
		64.75%	65.73%	63.01%	64.10%	63.99%	62.05%	63.06%	64.39%	63.04%	69.75%	55.05%	67.06%	71.99%	71.43%	65.87%	64.66%	74.66%	79.03%	65.48%	68.35%	66.08%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	45	5	2	6	6	5	3	2	4	1	1	3	2	0	1	0	0	2	1	0	1					
		0.42%	0.56%	0.26%	0.72%	0.52%	0.43%	0.34%	0.27%	0.82%	0.32%	0.23%	0.27%	0.60%	0.00%	0.30%	0.00%	0.00%	1.61%	0.60%	0.00%	0.35%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
