Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Ершовская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498					
1	"Число избирателей, внесенных в списки избирателей"	36552	1578	1010	1471	413	274	1208	1020	1296	1344	1204	933	257	864	1395	1315	1126	535	2034	1053	639	328	338	503	318	328	165	507	395	356	104	335	97	624	809	382	81	486	270	134	66	381	345	294	896	235	134	107	635	106	894	411	578	136	614	619	393	241	53	363	217	870	274	161					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	37440	1430	990	1500	420	270	1250	1070	1340	1370	1250	970	260	910	1390	1340	1170	540	2050	1030	1160	330	340	510	320	310	240	520	400	360	110	340	100	580	830	380	90	490	270	140	70	360	320	350	930	230	130	110	650	110	860	430	570	140	610	610	390	230	60	360	230	880	270	170					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23690	692	607	724	317	200	513	476	769	683	613	702	179	497	767	725	719	298	1409	662	518	191	289	483	176	198	152	358	304	232	76	265	80	554	527	269	70	436	262	127	66	325	262	184	568	193	108	95	490	75	532	236	445	103	508	565	356	195	48	310	175	434	173	125					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2189	219	49	74	8	12	123	41	46	92	79	71	24	64	42	51	31	38	127	69	121	14	36	0	45	24	13	21	20	28	12	12	6	26	41	38	0	8	0	5	0	13	11	29	50	0	0	2	69	23	30	58	60	26	0	0	0	3	0	24	4	23	20	14					
6	Число погашенных избирательных бюллетеней	11561	519	334	702	95	58	614	553	525	595	558	197	57	349	581	564	420	204	514	299	521	125	15	27	99	88	75	141	76	100	22	63	14	0	262	73	20	46	8	8	4	22	47	137	312	37	22	13	91	12	298	136	65	11	102	45	34	32	12	26	51	423	77	31					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2189	219	49	74	8	12	123	41	46	92	79	71	24	64	42	51	31	38	127	69	121	14	36	0	45	24	13	21	20	28	12	12	6	26	41	38	0	8	0	5	0	13	11	29	50	0	0	2	69	23	30	58	60	26	0	0	0	3	0	24	4	23	20	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23563	692	607	724	317	200	513	476	769	683	613	702	179	497	767	725	719	298	1282	662	518	191	289	483	176	198	152	358	304	232	76	265	80	554	527	269	70	436	262	127	66	325	262	184	568	193	108	95	490	75	532	236	445	103	508	565	356	195	48	310	175	434	173	125					
9	Число недействительных избирательных бюллетеней	311	29	6	0	5	6	5	12	6	10	17	7	3	11	24	10	10	2	28	13	0	1	0	0	3	4	4	2	0	6	0	0	0	3	7	0	0	0	0	1	0	3	3	4	5	4	0	0	0	0	0	9	10	0	0	11	0	2	0	3	1	20	0	1					
10	Число действительных избирательных бюллетеней	25441	882	650	798	320	206	631	505	809	765	675	766	200	550	785	766	740	334	1381	718	639	204	325	483	218	218	161	377	324	254	88	277	86	577	561	307	70	444	262	131	66	335	270	209	613	189	108	97	559	98	562	285	495	129	508	554	356	196	48	331	178	437	193	138					
