Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Ковровская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23154	638	266	241	1668	1174	2234	269	153	395	824	398	392	571	884	141	264	781	295	1100	334	409	606	373	651	857	473	886	545	394	426	1544	1502	1466									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21560	600	250	200	1600	1000	2000	250	120	400	800	400	350	500	850	120	250	750	270	1000	300	400	550	350	600	700	450	850	500	350	400	1500	1500	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9409	267	97	87	631	387	1578	55	96	154	292	113	139	192	334	89	43	305	86	457	55	155	182	153	216	403	128	376	295	124	135	563	594	628									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1740	25	42	12	51	107	136	63	13	70	58	30	39	55	65	2	24	44	66	54	54	52	92	49	59	7	125	29	41	92	66	30	56	32									
6	Число погашенных избирательных бюллетеней	10411	308	111	101	918	506	286	132	11	176	450	257	172	253	451	29	183	401	118	489	191	193	276	148	325	290	197	445	164	134	199	907	850	740									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1740	25	42	12	51	107	136	63	13	70	58	30	39	55	65	2	24	44	66	54	54	52	92	49	59	7	125	29	41	92	66	30	56	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9408	267	97	87	631	387	1577	55	96	154	292	113	139	192	334	89	43	305	86	457	55	155	182	153	216	403	128	376	295	124	135	563	594	628									
9	Число недействительных избирательных бюллетеней	248	9	0	3	12	10	20	2	2	5	5	6	1	1	18	3	1	9	1	15	5	6	10	3	4	8	8	6	4	3	2	22	18	26									
10	Число действительных избирательных бюллетеней	10900	283	139	96	670	484	1693	116	107	219	345	137	177	246	381	88	66	340	151	496	104	201	264	199	271	402	245	399	332	213	199	571	632	634									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	289	4	5	10	10	10	50	5	5	5	10	5	5	10	10	5	5	10	5	10	5	5	5	5	10	15	5	10	10	5	5	14	6	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	118	0	3	1	4	1	45	0	2	5	3	0	1	0	1	0	1	2	3	4	0	1	1	2	1	1	0	1	10	0	5	13	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	100	1	4	1	4	1	3	0	4	3	1	2	2	27	2	1	5	3	1	0	2	2	2	1	4	1	4	0	3	2	2	3	3	6									
14	Число погашенных неиспользованных открепительных удостоверений	171	4	2	9	6	9	5	5	3	0	7	5	4	10	9	5	4	8	2	6	5	4	4	3	9	14	5	9	0	5	0	1	1	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	3	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
