Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Калачинская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767					
1	"Число избирателей, внесенных в список избирателей"	36293	1615	393	169	97	232	1125	181	123	752	172	584	78	54	431	232	970	62	370	83	551	221	529	49	1127	168	347	189	1205	609	617	74	591	132	257	423	738	99	629	1005	1103	1305	1205	967	1105	666	1123	1060	1060	1296	1298	1515	1433	1242	1121	1282	229					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33926	1300	407	166	96	230	1000	185	131	860	162	590	80	53	430	232	960	64	380	83	565	221	545	50	1100	170	337	196	1100	627	633	73	600	137	265	421	750	98	700	1100	1100	1000	1100	900	1100	600	1100	1000	900	1000	1100	1200	1200	1100	1100	1100	229					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20200	928	234	99	37	107	585	101	76	437	106	271	51	32	243	129	447	35	230	58	316	118	296	29	622	110	211	121	618	333	389	52	331	87	166	226	404	58	366	628	588	718	629	557	562	353	581	647	608	690	816	913	790	679	586	655	141					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1791	79	22	14	23	14	83	5	9	66	10	48	4	8	32	9	86	0	17	0	36	23	30	4	91	14	20	14	47	30	58	8	45	5	27	39	39	6	20	47	36	34	38	29	22	22	46	39	45	45	41	58	34	32	18	37	83					
6	Число погашенных избирательных бюллетеней	11935	293	151	53	36	109	332	79	46	357	46	271	25	13	155	94	427	29	133	25	213	80	219	17	387	46	106	61	435	264	186	13	224	45	72	156	307	34	314	425	476	248	433	314	516	225	473	314	247	265	243	229	376	389	496	408	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1791	79	22	14	23	14	83	5	9	66	10	48	4	8	32	9	86	0	17	0	36	23	30	4	91	14	20	14	47	30	58	8	45	5	27	39	39	6	20	47	36	34	38	29	22	22	46	39	45	45	41	58	34	32	18	37	83					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20197	928	234	99	37	107	585	101	76	437	106	271	51	32	243	129	447	35	230	58	316	118	296	29	622	110	211	121	618	333	389	52	331	87	166	226	404	58	366	628	587	718	629	556	562	353	581	647	608	690	816	912	790	679	586	655	141					
9	Число недействительных избирательных бюллетеней	414	14	6	1	0	1	13	3	0	13	2	3	2	0	10	3	9	3	2	1	9	3	3	0	11	3	3	1	14	6	10	0	9	1	8	2	6	5	7	9	11	11	24	7	6	4	13	14	3	14	21	12	15	13	16	21	13					
10	Число действительных избирательных бюллетеней	21574	993	250	112	60	120	655	103	85	490	114	316	53	40	265	135	524	32	245	57	343	138	323	33	702	121	228	134	651	357	437	60	367	91	185	263	437	59	379	666	612	741	643	578	578	371	614	672	650	721	836	958	809	698	588	671	211					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	733	40	13	5	5	5	20	5	5	10	5	13	5	5	10	5	20	5	5	5	10	7	10	5	30	5	5	5	20	10	15	5	10	5	5	5	10	5	20	20	20	20	20	20	20	20	20	20	20	20	20	40	20	20	20	20	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	479	29	12	1	0	1	18	1	1	10	0	8	4	0	10	0	8	0	1	0	7	5	8	5	26	0	1	4	10	7	15	0	5	4	2	0	4	0	5	14	18	19	16	14	12	10	11	18	17	16	19	37	9	13	12	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	449	6	3	2	3	4	6	3	5	7	8	3	4	2	8	4	14	2	4	0	5	4	7	4	7	4	4	3	8	5	7	3	3	4	2	3	9	3	9	7	11	10	9	5	5	6	7	8	11	6	120	33	8	5	4	5	7					
14	Число погашенных неиспользованных открепительных удостоверений	254	11	1	4	5	4	2	4	4	0	5	5	1	5	0	5	12	5	4	5	3	2	2	0	4	5	4	1	10	3	0	5	5	1	3	5	6	5	15	6	2	1	4	6	8	10	9	2	3	4	1	3	11	7	8	8	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	3	1	2	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
