Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Калачинская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765					
1	"Число избирателей, внесенных в списки избирателей"	34345	1468	370	166	105	202	1138	166	90	612	174	106	510	64	53	358	194	909	382	81	64	516	213	479	44	60	1000	152	359	195	1114	559	556	90	573	129	249	363	601	78	601	789	1262	1238	1230	904	1066	629	1029	1030	1097	1220	1130	1305	1310	1223	1116	1348	219	57					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	33046	1300	396	174	116	214	1000	180	106	600	180	107	480	67	53	400	218	1000	385	83	69	500	250	500	55	74	1000	160	368	214	1100	600	600	90	600	167	268	400	700	87	600	800	1100	1100	1100	900	1000	600	1000	1000	1000	1100	1100	1100	1200	1100	1000	1100	227	58					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	23152	934	245	114	53	125	735	115	86	433	119	87	297	57	44	290	174	564	301	74	42	439	155	349	35	45	710	112	245	131	767	442	431	73	418	112	191	247	471	69	425	550	828	748	835	604	644	388	651	737	700	700	824	892	887	822	671	770	88	57					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2119	68	32	17	40	10	91	11	4	53	18	5	49	5	8	35	13	137	21	0	0	29	41	45	5	10	86	17	26	22	77	32	62	3	53	7	23	45	24	4	39	33	63	56	28	19	34	26	46	29	40	50	48	52	66	53	23	55	131	0					
6	Число погашенных избирательных бюллетеней	7775	298	119	43	23	79	174	54	16	114	43	15	134	5	1	75	31	299	63	9	27	32	54	106	15	19	204	31	97	61	256	126	107	14	129	48	54	108	205	14	136	217	209	296	237	277	322	186	303	234	260	350	228	156	247	225	306	275	8	1					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2119	68	32	17	40	10	91	11	4	53	18	5	49	5	8	35	13	137	21	0	0	29	41	45	5	10	86	17	26	22	77	32	62	3	53	7	23	45	24	4	39	33	63	56	28	19	34	26	46	29	40	50	48	52	66	53	23	55	131	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	23150	934	245	114	53	125	735	115	86	433	119	87	297	57	44	290	174	564	301	74	42	439	155	349	35	45	710	112	245	131	767	442	431	73	418	112	191	247	471	69	425	550	828	748	835	604	642	388	651	737	700	700	824	892	887	822	671	770	88	57					
9	Число недействительных избирательных бюллетеней	377	18	7	2	1	2	8	0	1	16	1	1	2	1	0	5	1	6	4	0	0	3	0	6	2	0	1	4	5	3	5	0	23	1	4	4	3	0	8	0	13	6	20	8	9	14	20	4	7	9	14	11	9	12	13	8	34	15	3	0					
10	Число действительных избирательных бюллетеней	24892	984	270	129	92	133	818	126	89	470	136	91	344	61	52	320	186	695	318	74	42	465	196	388	38	55	795	125	266	150	839	474	470	75	467	115	211	292	487	73	451	577	871	796	854	609	656	410	690	757	726	739	863	932	940	867	660	810	216	57					
