Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Чкаловская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19071	1032	1151	2202	2191	2194	2162	692	1176	384	800	951	211	948	302	197	402	1181	386	509									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19122	1034	1118	2202	2216	2235	2179	677	1165	385	804	953	216	955	298	196	408	1180	394	507									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8891	523	561	1503	764	916	1271	376	438	182	371	201	48	414	141	127	197	486	188	184									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2176	31	195	38	140	50	148	80	107	90	158	381	111	115	42	43	70	138	130	109									
6	Число погашенных избирательных бюллетеней	8055	480	362	661	1312	1269	760	221	620	113	275	371	57	426	115	26	141	556	76	214									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2175	30	195	38	140	50	148	80	107	90	158	381	111	115	42	43	70	138	130	109									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8847	523	561	1503	740	896	1271	376	438	182	371	201	48	414	141	127	197	486	188	184									
9	Число недействительных избирательных бюллетеней	196	30	8	21	26	24	24	4	10	5	0	5	1	7	9	1	3	11	5	2									
10	Число действительных избирательных бюллетеней	10826	523	748	1520	854	922	1395	452	535	267	529	577	158	522	174	169	264	613	313	291									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	185	10	12	20	20	24	28	4	10	4	7	8	2	9	3	2	3	10	4	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	152	10	12	20	20	24	24	4	2	4	5	8	2	8	0	1	3	2	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	137	3	7	36	5	7	19	10	12	3	5	0	3	5	4	1	3	8	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	33	0	0	0	0	0	4	0	8	0	2	0	0	1	3	1	0	8	1	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	1	0	1	4	4	0	2	0	0	2	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	106	5	4	5	16	6	24	6	1	2	7	1	1	7	5	0	2	6	5	3									
		0.96%	0.90%	0.53%	0.32%	1.82%	0.63%	1.69%	1.32%	0.18%	0.74%	1.32%	0.17%	0.63%	1.32%	2.73%	0.00%	0.75%	0.96%	1.57%	1.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	146	11	6	9	16	8	20	4	3	6	6	9	0	11	8	2	4	13	2	8									
		1.32%	1.99%	0.79%	0.58%	1.82%	0.85%	1.41%	0.88%	0.55%	2.21%	1.13%	1.55%	0.00%	2.08%	4.37%	1.18%	1.50%	2.08%	0.63%	2.73%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	201	9	8	20	17	10	31	8	1	6	12	8	4	27	10	2	6	14	4	4									
		1.82%	1.63%	1.06%	1.30%	1.93%	1.06%	2.18%	1.75%	0.18%	2.21%	2.27%	1.37%	2.52%	5.10%	5.46%	1.18%	2.25%	2.24%	1.26%	1.37%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7343	256	529	1194	544	601	994	333	273	199	326	428	107	320	91	131	186	406	220	205									
		66.62%	46.29%	69.97%	77.48%	61.82%	63.53%	70.05%	73.03%	50.09%	73.16%	61.63%	73.54%	67.30%	60.49%	49.73%	77.06%	69.66%	65.06%	69.18%	69.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	36	2	3	2	4	6	2	1	0	2	3	1	1	3	1	1	0	2	1	1									
		0.33%	0.36%	0.40%	0.13%	0.45%	0.63%	0.14%	0.22%	0.00%	0.74%	0.57%	0.17%	0.63%	0.57%	0.55%	0.59%	0.00%	0.32%	0.31%	0.34%									
24	"6. Политическая партия ""Гражданская Платформа"""	13	1	1	0	1	0	1	0	2	2	0	2	0	0	1	0	0	2	0	0									
		0.12%	0.18%	0.13%	0.00%	0.11%	0.00%	0.07%	0.00%	0.37%	0.74%	0.00%	0.34%	0.00%	0.00%	0.55%	0.00%	0.00%	0.32%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1487	101	105	168	114	141	135	28	193	29	100	54	28	52	23	17	32	88	42	37									
		13.49%	18.26%	13.89%	10.90%	12.95%	14.90%	9.51%	6.14%	35.41%	10.66%	18.90%	9.28%	17.61%	9.83%	12.57%	10.00%	11.99%	14.10%	13.21%	12.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	34	1	3	2	5	5	7	1	0	1	0	0	1	3	3	0	0	0	0	2									
		0.31%	0.18%	0.40%	0.13%	0.57%	0.53%	0.49%	0.22%	0.00%	0.37%	0.00%	0.00%	0.63%	0.57%	1.64%	0.00%	0.00%	0.00%	0.00%	0.68%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	3	6	4	2	8	5	4	0	0	0	3	0	3	1	0	0	3	2	0									
		0.40%	0.54%	0.79%	0.26%	0.23%	0.85%	0.35%	0.88%	0.00%	0.00%	0.00%	0.52%	0.00%	0.57%	0.55%	0.00%	0.00%	0.48%	0.63%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	1									
		0.06%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.37%	0.00%	0.17%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.31%	0.34%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	66	4	7	7	9	1	7	1	2	2	2	4	1	6	0	1	2	8	2	0									
		0.60%	0.72%	0.93%	0.45%	1.02%	0.11%	0.49%	0.22%	0.37%	0.74%	0.38%	0.69%	0.63%	1.13%	0.00%	0.59%	0.75%	1.28%	0.63%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1009	59	54	82	101	95	153	50	53	15	65	46	7	65	20	10	27	54	30	23									
		9.15%	10.67%	7.14%	5.32%	11.48%	10.04%	10.78%	10.96%	9.72%	5.51%	12.29%	7.90%	4.40%	12.29%	10.93%	5.88%	10.11%	8.65%	9.43%	7.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	1	3	0	1	5	2	6	0	0	0	4	1	5	2	0	0	1	1	0									
		0.29%	0.18%	0.40%	0.00%	0.11%	0.53%	0.14%	1.32%	0.00%	0.00%	0.00%	0.69%	0.63%	0.95%	1.09%	0.00%	0.00%	0.16%	0.31%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	302	69	19	27	24	36	14	9	7	2	8	16	7	20	8	5	5	16	3	7									
		2.74%	12.48%	2.51%	1.75%	2.73%	3.81%	0.99%	1.97%	1.28%	0.74%	1.51%	2.75%	4.40%	3.78%	4.37%	2.94%	1.87%	2.56%	0.94%	2.39%									
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
