Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Лев-Толстовская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743					
1	"Число избирателей, внесенных в списки"	13323	1879	1347	1200	1315	1406	610	422	148	139	377	116	145	280	282	584	212	211	473	158	421	271	300	336	485	206					
2	"Число бюллетеней, полученных участковыми комиссиями"	13045	1879	1274	1179	1307	1371	601	419	143	135	376	123	139	268	273	553	203	204	453	145	419	263	295	327	490	206					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8257	1127	813	789	762	924	297	321	96	86	260	102	99	193	164	356	140	111	350	99	283	152	207	198	229	99					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1159	42	38	43	46	28	117	23	8	20	48	14	24	30	39	92	22	56	41	18	63	56	30	52	148	61					
6	Число погашенных бюллетеней	3629	710	423	347	499	419	187	75	39	29	68	7	16	45	70	105	41	37	62	28	73	55	58	77	113	46					
7	Число бюллетеней в переносных ящиках для голосования	1158	42	38	43	46	28	117	23	8	20	48	14	24	30	39	92	22	56	41	18	63	55	30	52	148	61					
8	Число бюллетеней в стационарных ящиках для голосования	8238	1117	803	789	762	924	298	321	96	86	260	102	99	193	164	356	140	111	350	99	283	152	207	198	229	99					
9	Число недействительных бюллетеней	422	35	15	13	9	38	82	18	6	6	8	2	0	2	13	13	15	57	32	9	5	12	9	8	10	5					
10	Число действительных бюллетеней	8974	1124	826	819	799	914	333	326	98	100	300	114	123	221	190	435	147	110	359	108	341	195	228	242	367	155					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	399	40	40	40	40	40	20	15	5	5	15	5	5	10	10	20	5	5	15	5	10	10	10	10	14	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	108	21	18	18	16	20	0	0	1	0	1	0	0	0	1	2	0	0	1	0	4	2	2	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	8	6	6	6	5	5	3	4	1	5	5	4	3	8	1	5	3	3	3	4	4	4	5	2	3					
14	Число погашенных открепительных удостоверений	291	19	22	22	24	20	20	15	4	5	14	5	5	10	9	18	5	5	14	5	6	8	8	10	14	4					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	302	30	12	23	21	25	10	12	4	10	16	8	1	6	6	19	5	2	23	4	12	11	4	8	20	10					
		3.21%	2.58%	1.42%	2.76%	2.59%	2.62%	2.40%	3.48%	3.84%	9.43%	5.19%	6.89%	0.81%	2.69%	2.95%	4.24%	3.08%	1.19%	5.88%	3.41%	3.46%	5.31%	1.68%	3.2%	5.30%	6.25%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	162	17	27	21	21	17	3	2	1	3	2	1	1	2	3	6	6	6	8	0	3	2	2	3	4	1					
		1.72%	1.46%	3.21%	2.52%	2.59%	1.78%	0.72%	0.58%	0.96%	2.83%	0.64%	0.86%	0.81%	0.89%	1.47%	1.33%	3.70%	3.59%	2.04%	0.0%	0.86%	0.96%	0.84%	1.2%	1.06%	0.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	195	27	15	17	13	15	13	5	5	4	4	4	6	2	2	10	1	4	10	1	6	1	7	6	11	6					
		2.07%	2.32%	1.78%	2.04%	1.60%	1.57%	3.13%	1.45%	4.80%	3.77%	1.29%	3.44%	4.87%	0.89%	0.98%	2.23%	0.61%	2.39%	2.55%	0.85%	1.73%	0.48%	2.95%	2.4%	2.91%	3.75%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	150	25	15	14	13	12	11	6	3	0	4	3	3	0	6	3	2	3	6	1	3	4	3	4	5	1					
		1.59%	2.15%	1.78%	1.68%	1.60%	1.26%	2.65%	1.74%	2.88%	0.0%	1.29%	2.58%	2.43%	0.0%	2.95%	0.66%	1.23%	1.79%	1.53%	0.85%	0.86%	1.93%	1.26%	1.6%	1.32%	0.62%					
22	"5. ""За Русь Святую"""	88	13	6	6	8	9	6	1	4	3	4	2	0	1	0	4	0	1	6	0	0	2	2	2	5	3					
		0.93%	1.12%	0.71%	0.72%	0.99%	0.94%	1.44%	0.29%	3.84%	2.83%	1.29%	1.72%	0.0%	0.44%	0.0%	0.89%	0.0%	0.59%	1.53%	0.0%	0.0%	0.96%	0.84%	0.8%	1.32%	1.87%					
23	"6. ""Объединенная Российская партия ""Русь"""	33	3	2	1	3	2	1	0	1	1	1	0	1	1	3	2	2	0	0	0	3	2	1	1	1	1					
		0.35%	0.25%	0.23%	0.12%	0.37%	0.21%	0.24%	0.0%	0.96%	0.94%	0.32%	0.0%	0.81%	0.44%	1.47%	0.44%	1.23%	0.0%	0.0%	0.0%	0.86%	0.96%	0.42%	0.4%	0.26%	0.62%					
24	"7. ""Новый курс - Автомобильная Россия"""	67	4	14	8	1	9	2	3	0	1	3	0	0	2	1	4	0	1	5	0	1	0	1	1	3	3					
		0.71%	0.34%	1.66%	0.96%	0.12%	0.94%	0.48%	0.87%	0.0%	0.94%	0.97%	0.0%	0.0%	0.89%	0.49%	0.89%	0.0%	0.59%	1.27%	0.0%	0.28%	0.0%	0.42%	0.4%	0.79%	1.87%					
25	"8. ""Народно-республиканская партия России"""	29	2	4	4	0	3	1	3	0	2	1	0	0	1	0	1	0	0	0	0	2	1	3	1	0	0					
		0.30%	0.17%	0.47%	0.48%	0.0%	0.31%	0.24%	0.87%	0.0%	1.88%	0.32%	0.0%	0.0%	0.44%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.57%	0.48%	1.26%	0.4%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	5	1	3	2	2	1	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0					
