Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Дебесская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10438	437	190	768	666	655	1284	1383	187	167	586	288	441	222	254	243	297	685	111	159	134	272	656	353									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10475	440	185	765	665	645	1285	1390	190	160	585	300	445	225	255	240	300	695	105	165	130	280	660	365									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5729	246	93	408	393	339	688	774	110	74	357	173	222	121	106	141	166	366	60	87	90	168	336	211									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	284	7	8	10	16	25	12	17	7	3	10	13	10	4	14	8	11	34	3	1	0	13	38	20									
6	Число погашенных избирательных бюллетеней	4462	187	84	347	256	281	585	599	73	83	218	114	213	100	135	91	123	295	42	77	40	99	286	134									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	284	7	8	10	16	25	12	17	7	3	10	13	10	4	14	8	11	34	3	1	0	13	38	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5727	245	93	408	392	339	688	774	110	74	357	173	222	121	106	141	166	366	60	87	90	168	336	211									
9	Число недействительных избирательных бюллетеней	166	5	5	15	10	11	19	25	2	3	5	4	7	5	1	5	4	8	0	1	3	3	8	17									
10	Число действительных избирательных бюллетеней	5845	247	96	403	398	353	681	766	115	74	362	182	225	120	119	144	173	392	63	87	87	178	366	214									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	282	15	10	15	15	10	20	20	10	5	15	15	15	10	10	12	10	15	5	10	5	10	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	9	0	12	3	2	7	14	3	0	0	14	7	5	1	7	5	15	0	8	0	7	10	9									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	88	4	2	4	7	8	4	7	3	3	3	1	1	2	3	3	4	10	2	3	4	4	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	144	6	10	3	12	8	13	6	7	5	15	1	8	5	9	5	5	0	5	2	5	3	5	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	1	0	1	1	0	2	2	1	0	1	0	0	0	1	2	0	0	0	0	0	1	1	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	56	4	3	1	6	1	5	7	3	0	2	0	5	1	2	2	2	6	0	1	0	1	3	1									
		0.93%	1.59%	2.97%	0.24%	1.47%	0.27%	0.71%	0.88%	2.56%	0.00%	0.54%	0.00%	2.16%	0.80%	1.67%	1.34%	1.13%	1.50%	0.00%	1.14%	0.00%	0.55%	0.80%	0.43%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	176	7	2	14	16	6	25	23	2	5	8	5	4	1	4	6	6	8	3	3	2	2	14	10									
		2.93%	2.78%	1.98%	3.35%	3.92%	1.65%	3.57%	2.91%	1.71%	6.49%	2.18%	2.69%	1.72%	0.80%	3.33%	4.03%	3.39%	2.00%	4.76%	3.41%	2.22%	1.10%	3.74%	4.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	6	2	4	5	6	16	7	0	1	3	0	2	2	0	3	5	3	0	0	1	2	10	2									
		1.33%	2.38%	1.98%	0.96%	1.23%	1.65%	2.29%	0.88%	0.00%	1.30%	0.82%	0.00%	0.86%	1.60%	0.00%	2.01%	2.82%	0.75%	0.00%	0.00%	1.11%	1.10%	2.67%	0.87%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3390	164	46	207	198	185	335	435	85	42	234	110	150	69	82	84	88	295	30	49	55	115	204	128									
