Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Парфеньевская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5294	185	257	239	104	1044	699	930	146	305	1385									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4339	186	205	190	106	835	560	750	147	240	1120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1672	71	101	93	29	300	276	305	76	88	333									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	275	7	7	14	13	81	10	30	7	42	64									
6	Число погашенных избирательных бюллетеней	2392	108	97	83	64	454	274	415	64	110	723									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	275	7	7	14	13	81	10	30	7	42	64									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1672	71	101	93	29	300	276	305	76	88	333									
9	Число недействительных избирательных бюллетеней	29	0	0	0	0	6	5	7	1	1	9									
10	Число действительных избирательных бюллетеней	1918	78	108	107	42	375	281	328	82	129	388									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	57	3	3	3	2	10	10	10	2	4	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	8	0	0	0	0	2	1	1	0	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	0	0	1	0	2	2	0	1	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	49	3	3	3	2	8	9	9	2	4	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	0	2	2	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	1	1	1	1	5	8	7	1	0	5									
		1.54%	1.28%	0.93%	0.93%	2.38%	1.31%	2.80%	2.09%	1.20%	0.00%	1.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	3	3	4	5	14	11	13	3	7	18									
		4.16%	3.85%	2.78%	3.74%	11.90%	3.67%	3.85%	3.88%	3.61%	5.38%	4.53%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	1	3	1	0	15	11	11	1	4	7									
		2.77%	1.28%	2.78%	0.93%	0.00%	3.94%	3.85%	3.28%	1.20%	3.08%	1.76%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	775	42	35	46	16	150	102	121	29	53	181									
		39.80%	53.85%	32.41%	42.99%	38.10%	39.37%	35.66%	36.12%	34.94%	40.77%	45.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	0	0	0	0	3	2	4	0	0	1									
		0.51%	0.00%	0.00%	0.00%	0.00%	0.79%	0.70%	1.19%	0.00%	0.00%	0.25%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	0	0	0	1	0	1	0	0	2									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.30%	0.00%	0.00%	0.50%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	466	14	44	14	10	93	64	79	27	27	94									
		23.93%	17.95%	40.74%	13.08%	23.81%	24.41%	22.38%	23.58%	32.53%	20.77%	23.68%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	1	1	0	0	2	1	0	0	0									
		0.31%	1.28%	0.93%	0.93%	0.00%	0.00%	0.70%	0.30%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	0	0	0	0	4	3	3	2	0	2									
		0.72%	0.00%	0.00%	0.00%	0.00%	1.05%	1.05%	0.90%	2.41%	0.00%	0.50%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	0	1	0	0	0	0	1	0	0	0									
		0.10%	0.00%	0.93%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	1	0	0	0	4	5	4	1	2	0									
		0.87%	1.28%	0.00%	0.00%	0.00%	1.05%	1.75%	1.19%	1.20%	1.54%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	395	10	18	32	9	72	62	68	17	34	73									
		20.29%	12.82%	16.67%	29.91%	21.43%	18.90%	21.68%	20.30%	20.48%	26.15%	18.39%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	0	1	0	0	1	0	2	0	0	1									
		0.26%	0.00%	0.93%	0.00%	0.00%	0.26%	0.00%	0.60%	0.00%	0.00%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	59	5	1	8	1	13	11	13	1	2	4									
		3.03%	6.41%	0.93%	7.48%	2.38%	3.41%	3.85%	3.88%	1.20%	1.54%	1.01%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
