Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																					
Дата голосования: 04.12.2011																																																																					
																																																																					
"Наименование Избирательной комиссии:    Челябинск, Советская"																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2229					
1	"Число избирателей, внесенных в список избирателей"	107605	1541	1343	1302	739	1183	1145	1629	1908	2273	2455	1577	1785	2329	2197	1711	1431	2391	2922	1943	1181	2050	1755	1472	1508	1556	1994	2651	2683	2528	1459	1895	1312	1067	792	933	979	359	1260	1283	1563	2303	1777	2649	1178	2419	1873	1946	2501	2097	978	2285	807	2469	596	2480	2400	2429	2371	2013	2925	788	237					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	80550	1300	1000	1000	500	1100	900	1300	1400	1800	2200	1250	1400	1700	1500	1300	1100	1700	2100	1400	1100	1300	1200	1000	1100	1200	1400	1900	1800	1800	1100	1400	1000	800	600	700	700	250	1100	1000	1100	1700	1400	1900	900	1750	1400	1500	1800	1600	750	1700	600	2000	500	1800	1750	1750	1700	1500	1850	600	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	61314	1069	966	706	398	966	791	1172	1233	1653	1584	1037	1210	1268	1399	1079	987	1475	1656	1254	825	1105	1152	708	828	1072	1095	1515	1647	1543	872	1088	506	603	359	637	493	167	728	669	826	1085	901	1569	559	1222	774	921	1342	1226	619	1144	359	1464	140	1209	1117	1259	1166	805	1522	333	237					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2142	29	24	26	91	13	15	46	29	25	21	27	22	12	37	27	18	23	42	53	25	26	32	88	41	47	10	88	34	91	21	39	21	7	35	19	43	14	35	22	37	53	19	52	25	40	47	46	30	24	12	32	28	78	11	63	17	35	39	21	82	33	0					
6	Число погашенных избирательных бюллетеней	17094	202	10	268	11	121	94	82	138	122	595	186	168	420	64	194	95	202	402	93	250	169	16	204	231	81	295	297	119	166	207	273	473	190	206	44	164	69	337	309	237	562	480	279	316	488	579	533	428	350	119	524	213	458	349	528	616	456	495	674	246	234	363					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2142	29	24	26	91	13	15	46	29	25	21	27	22	12	37	27	18	23	42	53	25	26	32	88	41	47	10	88	34	91	21	39	21	7	35	19	43	14	35	22	37	53	19	52	25	40	47	46	30	24	12	32	28	78	11	63	17	35	39	21	82	33	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	61200	1069	966	705	398	965	790	1167	1233	1650	1583	1036	1210	1266	1396	1079	986	1475	1649	1253	825	1100	1152	708	827	1072	1095	1514	1643	1543	872	1088	506	603	359	637	493	167	726	647	826	1085	901	1569	559	1218	774	921	1326	1226	619	1144	359	1461	140	1204	1114	1259	1166	784	1522	333	237					
9	Число недействительных избирательных бюллетеней	949	16	4	20	6	13	10	21	22	5	30	15	3	21	23	17	14	13	25	22	23	22	6	8	9	16	9	19	14	30	18	20	8	11	8	13	15	2	9	9	21	30	10	7	9	18	17	19	14	17	18	16	6	26	7	30	35	16	19	10	28	6	1					
10	Число действительных избирательных бюллетеней	62393	1082	986	711	483	965	795	1192	1240	1670	1574	1048	1229	1257	1410	1089	990	1485	1666	1284	827	1104	1178	788	859	1103	1096	1583	1663	1604	875	1107	519	599	386	643	521	179	752	660	842	1108	910	1614	575	1240	804	948	1342	1233	613	1160	381	1513	144	1237	1096	1278	1186	795	1576	360	236					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4037	80	75	60	0	20	40	70	65	100	80	55	70	100	55	70	55	105	95	90	65	90	80	65	65	85	80	100	115	120	75	110	50	40	40	15	45	20	45	47	45	110	80	100	65	100	90	85	100	55	45	85	25	70	20	50	70	45	45	25	75	15	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3787	75	70	57	0	19	37	66	60	100	78	46	68	95	53	64	45	96	90	87	63	85	71	55	65	82	80	100	107	117	73	98	49	39	40	14	41	9	42	44	43	106	79	100	63	94	74	85	89	53	40	79	19	70	11	46	67	43	40	25	69	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	6873	97	18	21	78	523	234	393	372	379	119	447	438	32	567	77	163	30	51	98	50	197	183	174	13	27	34	70	48	127	34	35	20	70	7	282	100	56	27	24	115	24	28	21	16	55	15	28	38	38	11	15	8	22	6	57	29	40	31	13	384	39	125					
14	Число погашенных неиспользованных открепительных удостоверений	250	5	5	3	0	1	3	4	5	0	2	9	2	5	2	6	10	9	5	3	2	5	9	10	0	3	0	0	8	3	2	12	1	1	0	1	4	11	3	3	2	4	1	0	2	6	16	0	11	2	5	6	6	0	9	4	3	2	5	0	6	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	923	28	22	20	0	5	18	18	17	30	26	18	18	19	14	16	11	22	23	15	10	21	17	8	24	18	15	22	21	15	16	23	13	8	9	6	9	7	14	5	12	20	15	19	20	20	11	18	24	22	8	18	10	8	6	13	5	6	15	7	23	2	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																					
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11605	207	190	164	110	155	151	234	255	309	307	193	215	282	298	191	171	229	391	243	156	228	242	154	187	189	204	338	297	286	150	213	84	106	54	91	118	29	136	94	128	271	202	293	109	250	166	187	237	209	125	164	40	241	22	240	182	175	205	135	287	44	42					
		18.32%	18.85%	19.19%	22.44%	22.49%	15.85%	18.76%	19.29%	20.21%	18.45%	19.14%	18.16%	17.45%	22.07%	20.80%	17.27%	17.03%	15.29%	23.12%	18.61%	18.35%	20.25%	20.44%	19.35%	21.54%	16.89%	18.46%	21.10%	17.71%	17.50%	16.80%	18.90%	15.94%	17.38%	13.71%	13.87%	22.01%	16.02%	17.87%	14.05%	14.83%	23.81%	21.96%	18.08%	18.66%	19.87%	20.22%	19.34%	17.48%	16.72%	19.81%	13.95%	10.34%	15.66%	14.57%	18.94%	16.09%	13.52%	17.01%	16.77%	17.89%	12.02%	17.72%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	7838	90	80	64	47	98	69	113	126	241	289	119	184	154	200	133	118	163	180	111	71	134	120	94	96	95	197	214	181	173	116	138	64	79	60	68	67	35	89	102	93	135	124	157	95	154	126	155	178	158	78	181	81	209	27	200	169	170	174	138	190	37	37					
		12.37%	8.20%	8.08%	8.76%	9.61%	10.02%	8.57%	9.32%	9.98%	14.39%	18.02%	11.19%	14.94%	12.05%	13.96%	12.03%	11.75%	10.88%	10.64%	8.50%	8.35%	11.90%	10.14%	11.81%	11.06%	8.49%	17.83%	13.36%	10.79%	10.59%	12.99%	12.24%	12.14%	12.95%	15.23%	10.37%	12.50%	19.34%	11.70%	15.25%	10.78%	11.86%	13.48%	9.69%	16.27%	12.24%	15.35%	16.03%	13.13%	12.64%	12.36%	15.39%	20.93%	13.58%	17.88%	15.79%	14.94%	13.14%	14.44%	17.14%	11.85%	10.11%	15.61%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	771	20	11	6	0	4	16	11	16	18	25	16	22	20	18	12	11	19	24	25	7	16	11	12	9	11	20	21	23	27	11	13	9	11	6	4	2	2	4	8	6	12	13	11	13	10	5	15	10	9	6	13	6	19	2	20	19	13	12	8	15	8	5					
		1.22%	1.82%	1.11%	0.82%	0.00%	0.41%	1.99%	0.91%	1.27%	1.07%	1.56%	1.51%	1.79%	1.56%	1.26%	1.08%	1.10%	1.27%	1.42%	1.91%	0.82%	1.42%	0.93%	1.51%	1.04%	0.98%	1.81%	1.31%	1.37%	1.65%	1.23%	1.15%	1.71%	1.80%	1.52%	0.61%	0.37%	1.10%	0.53%	1.20%	0.70%	1.05%	1.41%	0.68%	2.23%	0.79%	0.61%	1.55%	0.74%	0.72%	0.95%	1.11%	1.55%	1.23%	1.32%	1.58%	1.68%	1.00%	0.99%	0.99%	0.94%	2.19%	2.11%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11046	182	154	166	91	169	159	197	223	256	288	210	239	263	273	206	142	217	283	232	136	240	191	160	194	171	193	297	289	299	157	202	102	105	55	92	80	32	100	73	121	202	207	227	87	300	161	225	254	240	106	196	67	240	19	176	217	182	229	149	205	65	53					
		17.44%	16.58%	15.56%	22.71%	18.61%	17.28%	19.75%	16.24%	17.67%	15.28%	17.96%	19.76%	19.40%	20.58%	19.05%	18.63%	14.14%	14.49%	16.74%	17.76%	16.00%	21.31%	16.13%	20.10%	22.35%	15.28%	17.47%	18.54%	17.23%	18.30%	17.58%	17.92%	19.35%	17.21%	13.96%	14.02%	14.93%	17.68%	13.14%	10.91%	14.02%	17.75%	22.50%	14.00%	14.90%	23.85%	19.61%	23.27%	18.73%	19.20%	16.80%	16.67%	17.31%	15.59%	12.58%	13.89%	19.19%	14.06%	19.00%	18.51%	12.78%	17.76%	22.36%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	4504	147	96	137	15	85	86	104	109	142	146	94	86	141	124	77	74	96	84	130	70	117	112	65	110	69	95	128	102	137	59	84	37	40	20	44	43	6	22	29	35	87	67	86	40	89	41	51	67	75	23	38	13	33	3	58	57	48	64	48	75	14	30					
		7.11%	13.39%	9.70%	18.74%	3.07%	8.69%	10.68%	8.57%	8.64%	8.48%	9.10%	8.84%	6.98%	11.03%	8.65%	6.96%	7.37%	6.41%	4.97%	9.95%	8.24%	10.39%	9.46%	8.17%	12.67%	6.17%	8.60%	7.99%	6.08%	8.38%	6.61%	7.45%	7.02%	6.56%	5.08%	6.71%	8.02%	3.31%	2.89%	4.33%	4.06%	7.64%	7.28%	5.31%	6.85%	7.07%	4.99%	5.27%	4.94%	6.00%	3.65%	3.23%	3.36%	2.14%	1.99%	4.58%	5.04%	3.71%	5.31%	5.96%	4.68%	3.83%	12.66%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	26122	422	445	169	218	446	306	524	499	689	501	407	473	385	486	465	464	743	686	532	380	358	493	300	252	565	374	570	761	660	376	438	220	251	188	342	210	73	399	348	455	388	290	832	226	431	303	308	588	530	273	560	168	768	68	531	443	680	498	309	797	190	68					
		41.24%	38.43%	44.95%	23.12%	44.58%	45.60%	38.01%	43.20%	39.54%	41.13%	31.23%	38.29%	38.39%	30.13%	33.91%	42.04%	46.22%	49.60%	40.57%	40.74%	44.71%	31.79%	41.64%	37.69%	29.03%	50.49%	33.85%	35.58%	45.38%	40.39%	42.11%	38.86%	41.75%	41.15%	47.72%	52.13%	39.18%	40.33%	52.43%	52.02%	52.72%	34.09%	31.52%	51.33%	38.70%	34.26%	36.91%	31.85%	43.36%	42.40%	43.26%	47.62%	43.41%	49.90%	45.03%	41.91%	39.17%	52.55%	41.33%	38.39%	49.69%	51.91%	28.69%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	507	14	10	5	2	8	8	9	12	15	18	9	10	12	11	5	10	18	18	11	7	11	9	3	11	3	13	15	10	22	6	19	3	7	3	2	1	2	2	6	4	13	7	8	5	6	2	7	8	12	2	8	6	3	3	12	9	10	4	8	7	2	1					
		0.80%	1.28%	1.01%	0.68%	0.41%	0.82%	0.99%	0.74%	0.95%	0.90%	1.12%	0.85%	0.81%	0.94%	0.77%	0.45%	0.99%	1.20%	1.06%	0.84%	0.82%	0.98%	0.76%	0.38%	1.27%	0.27%	1.18%	0.94%	0.60%	1.35%	0.67%	1.69%	0.57%	1.15%	0.76%	0.30%	0.19%	1.10%	0.26%	0.90%	0.46%	1.14%	0.76%	0.49%	0.86%	0.48%	0.24%	0.72%	0.59%	0.96%	0.32%	0.68%	1.55%	0.19%	1.99%	0.95%	0.80%	0.77%	0.33%	0.99%	0.44%	0.55%	0.42%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
