Выборы Президента Российской Федерации																																																																												
																																																																												
"Наименование Избирательной комиссии:    Новосибирск, Кировская"																																																																												
																																																																												
Итоги голосования 																																																																												
																																																																												
		Сумма	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720					
1	"Число избирателей, внесенных в список"	132410	1277	2198	2259	2786	2338	835	2494	1524	1637	1817	1800	1759	1819	2412	606	1023	971	2736	1954	1786	505	2319	1815	1978	2023	2038	2413	1932	1238	2615	2139	2050	2384	2592	1778	1659	2038	2028	1284	1963	2029	1830	1584	2011	1968	1984	2022	1650	1742	1913	1915	2146	1917	2127	1853	2031	2340	2778	2686	2813	2305	1789	1651	1443	2083	2481	1823	2173	501					
2	Число полученных избирательных бюллетеней	128700	1200	2100	2200	2700	2300	1000	2400	1500	1600	1700	1700	1700	1700	2400	500	1000	900	2700	1900	1700	450	2300	1800	1900	2000	2000	2400	1900	1200	2600	2100	2000	2300	2500	1700	1600	2000	2000	1200	1900	2000	1800	1500	2000	1900	1900	2000	1600	1700	1900	1900	2000	1900	2000	1800	2000	2300	2700	2600	2700	2300	1700	1600	1400	2000	2400	1800	2100	450					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	73249	753	1212	1360	1629	1311	375	1483	935	991	1070	1056	990	980	1349	419	323	541	1529	905	1068	264	1061	868	1041	1232	1178	1328	1116	559	1422	1102	1170	1378	1481	901	808	1089	1139	563	1034	1145	1013	941	1133	1173	1120	1224	991	973	1021	1110	1225	1138	1218	1081	1165	1142	1369	1427	1544	1181	1027	997	822	1233	1483	1007	969	364					
5	"Число избирательных бюллетеней, выданных вне помещения"	2317	16	40	46	41	51	73	23	35	29	39	40	41	23	10	11	165	36	27	40	40	17	34	24	22	34	32	36	27	50	25	15	18	21	23	26	32	32	23	56	60	44	27	47	32	15	41	23	22	26	42	37	38	36	27	41	31	19	32	44	49	9	41	30	22	26	35	22	18	8					
6	Число погашенных избирательных бюллетеней	53134	431	848	794	1030	938	552	894	530	580	591	604	669	697	1041	70	512	323	1144	955	592	169	1205	908	837	734	790	1036	757	591	1153	983	812	901	996	773	760	879	838	581	806	811	760	512	835	712	739	753	587	701	837	753	737	726	755	678	804	1139	1299	1129	1107	1110	632	573	556	741	882	771	1113	78					
7	Число избирательных бюллетеней в переносных ящиках	2317	16	40	46	41	51	73	23	35	29	39	40	41	23	10	11	165	36	27	40	40	17	34	24	22	34	32	36	27	50	25	15	18	21	23	26	32	32	23	56	60	44	27	47	32	15	41	23	22	26	42	37	38	36	27	41	31	19	32	44	49	9	41	30	22	26	35	22	18	8					
8	Число бюллетеней в стационарных ящиках для голосования	73190	752	1212	1360	1628	1311	375	1483	935	989	1070	1055	990	979	1349	419	323	541	1529	905	1063	264	1060	867	1041	1232	1178	1326	1115	558	1422	1100	1169	1378	1481	901	804	1089	1139	560	1034	1145	1012	938	1131	1173	1118	1224	991	972	1021	1098	1225	1138	1216	1081	1165	1141	1369	1427	1537	1181	1027	996	822	1233	1483	1007	969	364					
9	Число недействительных избирательных бюллетеней	676	2	6	11	18	3	12	8	7	9	13	8	10	1	7	1	4	9	14	8	8	2	18	7	9	13	9	5	8	5	10	9	20	13	15	6	7	22	15	6	9	9	14	8	11	7	12	23	9	6	4	14	13	17	15	5	14	9	18	10	18	6	6	4	10	14	5	8	14	6					
10	Число действительных избирательных бюллетеней	74831	766	1246	1395	1651	1359	436	1498	963	1009	1096	1087	1021	1001	1352	429	484	568	1542	937	1095	279	1076	884	1054	1253	1201	1357	1134	603	1437	1106	1167	1386	1489	921	829	1099	1147	610	1085	1180	1025	977	1152	1181	1147	1224	1004	992	1059	1121	1250	1157	1228	1117	1182	1151	1383	1461	1568	1184	1062	1022	834	1245	1513	1021	973	366					
