Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва													
Дата голосования: 07.12.2003 0:00:00													
													
Наименование Избирательной комиссии:    Снежногорская													
													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)													
													
		Сумма	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474					
1	"Число избирателей, внесенных в списки"	10215	1269	1373	1267	2067	2030	2209					
2	"Число бюллетеней, полученных участковыми комиссиями"	9110	1110	1230	1120	1850	1820	1980					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5745	769	770	725	1114	1092	1275					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	60	8	13	13	15	7	4					
6	Число погашенных бюллетеней	3305	333	447	382	721	721	701					
7	Число бюллетеней в переносных ящиках для голосования	60	8	13	13	15	7	4					
8	Число бюллетеней в стационарных ящиках для голосования	5734	769	770	723	1114	1085	1273					
9	Число недействительных бюллетеней	31	5	5	4	7	2	8					
10	Число действительных бюллетеней	5763	772	778	732	1122	1090	1269					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	289	41	42	41	55	55	55					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	31	6	3	9	6	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	4	2	3	8	3	1					
14	Число погашенных открепительных удостоверений	210	35	39	32	49	0	55					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0					
													
18	"1. ""ЕДИНЕНИЕ"""	46	4	8	10	12	5	7					
		0.79%	0.51%	1.02%	1.35%	1.06%	0.45%	0.54%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	131	14	20	20	23	24	30					
		2.26%	1.80%	2.55%	2.71%	2.03%	2.19%	2.34%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	262	31	45	22	61	56	47					
		4.52%	3.98%	5.74%	2.98%	5.40%	5.12%	3.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	345	39	29	38	77	72	90					
		5.95%	5.01%	3.70%	5.16%	6.82%	6.59%	7.04%					
22	"5. ""За Русь Святую"""	14	4	1	3	2	2	2					
		0.24%	0.51%	0.12%	0.40%	0.17%	0.18%	0.15%					
23	"6. ""Объединенная Российская партия ""Русь"""	14	2	3	4	5	0	0					
		0.24%	0.25%	0.38%	0.54%	0.44%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	44	6	7	6	4	6	15					
		0.75%	0.77%	0.89%	0.81%	0.35%	0.54%	1.17%					
25	"8. ""Народно-республиканская партия России"""	17	4	1	3	1	3	5					
		0.29%	0.51%	0.12%	0.40%	0.08%	0.27%	0.39%					
26	"9. ""Российская экологическая партия ""Зеленые"""	30	4	3	5	4	4	10					
		0.51%	0.51%	0.38%	0.67%	0.35%	0.36%	0.78%					
27	"10. ""Аграрная партия России"""	64	5	10	11	10	17	11					
		1.10%	0.64%	1.27%	1.49%	0.88%	1.55%	0.86%					
28	"11. ""Истинные патриоты России"""	6	1	0	2	2	0	1					
		0.10%	0.12%	0.0%	0.27%	0.17%	0.0%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	63	9	7	10	19	9	9					
		1.08%	1.15%	0.89%	1.35%	1.68%	0.82%	0.70%					
30	"13. ""Демократическая партия России"""	15	2	2	2	1	5	3					
		0.25%	0.25%	0.25%	0.27%	0.08%	0.45%	0.23%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	1	1	3	3					
		0.13%	0.0%	0.0%	0.13%	0.08%	0.27%	0.23%					
32	"15. ""Партия СЛОН"""	3	0	1	0	1	1	0					
		0.05%	0.0%	0.12%	0.0%	0.08%	0.09%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	369	53	50	38	77	61	90					
		6.36%	6.82%	6.38%	5.16%	6.82%	5.58%	7.04%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	11	2	1	3	2	1	2					
		0.18%	0.25%	0.12%	0.40%	0.17%	0.09%	0.15%					
35	"18. ""ЛДПР"""	933	107	126	110	187	172	231					
		16.10%	13.77%	16.09%	14.94%	16.56%	15.75%	18.08%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	61	7	5	11	8	17	13					
		1.05%	0.90%	0.63%	1.49%	0.70%	1.55%	1.01%					
37	"20. ""Политическая партия ""Единая Россия"""	2637	389	374	323	508	495	548					
		45.51%	50.06%	47.76%	43.88%	44.99%	45.32%	42.91%					
38	"21. ""Российская Конституционно-демократическая партия"""	5	0	1	0	3	0	1					
		0.08%	0.0%	0.12%	0.0%	0.26%	0.0%	0.07%					
39	"22. ""Развитие предпринимательства"""	10	1	1	1	1	3	3					
		0.17%	0.12%	0.12%	0.13%	0.08%	0.27%	0.23%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	333	40	46	60	48	71	68					
		5.74%	5.14%	5.87%	8.15%	4.25%	6.50%	5.32%					
													
41	Против всех	342	48	37	49	65	63	80					
		5.90%	6.17%	4.72%	6.65%	5.75%	5.76%	6.26%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
