Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																		
																																																																		
Наименование Избирательной комиссии:    Кунгурская																																																																		
																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																		
																																																																		
		Сумма	УИК №4601	УИК №4602	УИК №4603	УИК №4604	УИК №4605	УИК №4606	УИК №4607	УИК №4608	УИК №4609	УИК №4610	УИК №4611	УИК №4612	УИК №4613	УИК №4614	УИК №4615	УИК №4616	УИК №4617	УИК №4618	УИК №4619	УИК №4620	УИК №4621	УИК №4622	УИК №4623	УИК №4624	УИК №4625	УИК №4626	УИК №4627	УИК №4628	УИК №4629	УИК №4630	УИК №4631	УИК №4632	УИК №4633	УИК №4634	УИК №4635	УИК №4636	УИК №4637	УИК №4638	УИК №4639	УИК №4640	УИК №4641	УИК №4642	УИК №4643	УИК №4644	УИК №4645	УИК №4646	УИК №4647	УИК №4648	УИК №4649	УИК №4650	УИК №4651	УИК №4652	УИК №4653	УИК №4654	УИК №4655	УИК №4656	УИК №4657	УИК №4658	УИК №4659					
1	"Число избирателей, внесенных в списки"	31789	191	141	392	71	112	153	1606	235	453	351	576	179	869	1096	1222	1259	220	1024	457	641	1440	207	332	1127	195	276	695	1044	444	1194	119	91	83	219	242	935	158	207	196	423	243	1287	857	484	497	932	213	146	653	829	1045	274	178	916	586	267	294	587	626					
2	"Число бюллетеней, полученных участковыми комиссиями"	34380	188	148	500	88	112	153	1720	260	500	400	640	185	940	1070	1200	1250	235	1080	480	1100	1570	245	450	1200	315	285	725	1120	475	1230	123	96	96	255	260	1015	165	250	238	470	310	1300	900	540	515	955	253	154	700	815	1055	300	186	1005	620	300	300	670	670					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	113	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18350	143	88	285	65	0	76	762	155	277	191	273	101	547	609	872	933	138	571	197	518	694	68	226	654	158	151	367	555	212	621	52	40	45	79	89	448	81	88	99	250	232	611	370	340	290	503	70	81	491	736	606	187	115	472	301	163	212	372	420					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3896	19	25	42	6	0	37	161	46	70	41	158	67	82	39	20	18	21	41	76	123	184	91	106	133	37	14	103	90	88	238	35	24	15	42	74	153	51	49	22	27	11	156	131	33	56	114	62	25	43	44	95	37	16	190	45	35	8	88	39					
6	Число погашенных бюллетеней	12021	26	35	173	17	38	40	797	59	153	168	209	17	311	422	308	299	76	468	207	459	692	86	118	413	120	120	255	475	175	371	36	32	36	134	97	414	33	102	108	193	67	533	399	167	169	338	102	48	166	35	354	76	55	343	274	102	80	210	211					
7	Число бюллетеней в переносных ящиках для голосования	3935	19	25	42	6	0	37	161	46	70	41	158	67	82	39	20	18	21	41	76	123	184	91	106	133	37	14	103	90	88	238	35	24	15	42	74	153	51	60	31	27	11	156	131	33	56	114	81	25	43	44	95	37	16	190	45	35	8	88	39					
8	Число бюллетеней в стационарных ящиках для голосования	18427	143	88	285	65	74	76	762	155	277	191	273	101	547	609	872	933	138	571	197	518	694	68	226	654	158	151	367	555	212	621	52	40	45	79	89	448	81	88	99	250	232	611	370	340	290	503	70	81	491	737	607	187	115	472	301	164	212	372	420					
9	Число недействительных бюллетеней	445	9	2	9	0	0	6	12	0	2	2	9	2	18	13	35	9	8	5	4	14	17	5	2	9	6	7	7	23	5	15	0	2	1	3	2	14	7	4	2	5	4	6	11	8	11	14	4	0	15	14	29	5	1	1	9	1	6	4	7					
10	Число действительных бюллетеней	21917	153	111	318	71	74	107	911	201	345	230	422	166	611	635	857	942	151	607	269	627	861	154	330	778	189	158	463	622	295	844	87	62	59	118	161	587	125	144	128	272	239	761	490	365	335	603	147	106	519	767	673	219	130	661	337	198	214	456	452					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	405	0	3	15	2	0	3	12	12	28	8	3	0	6	12	14	12	4	7	9	13	12	7	5	11	0	2	14	12	0	24	0	0	0	0	3	9	0	3	1	0	6	8	5	16	12	15	3	6	4	13	6	5	3	13	4	5	2	9	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	386	0	2	15	0	0	3	12	12	28	8	3	0	6	12	14	12	2	7	9	13	12	5	5	10	0	2	13	12	0	24	0	0	0	0	3	9	0	3	1	0	6	8	5	13	12	15	3	6	2	13	6	5	1	13	3	4	1	9	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	256	3	3	3	0	0	1	12	2	3	4	4	0	3	4	11	10	6	7	2	6	8	2	2	2	3	1	6	6	9	15	3	1	1	2	3	7	1	3	2	3	4	11	2	4	6	6	2	3	4	8	24	1	1	1	5	3	1	2	4					
14	Число погашенных открепительных удостоверений	19	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	2	0	1	1	1	0	0					
15	Число открепительных удостоверений выданных ТИК	26	0	0	0	0	0	0	4	0	0	1	0	0	0	2	3	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	0	1	0	0	1	1	1	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
18	"1. ""ЕДИНЕНИЕ"""	489	9	4	8	0	1	4	13	6	9	5	3	14	12	10	19	20	3	11	3	9	16	2	5	11	5	6	6	17	11	11	2	0	3	1	11	5	2	5	1	9	5	15	11	6	9	13	4	2	17	41	20	5	1	17	6	3	3	9	10					
		2.18%	5.55%	3.53%	2.44%	0.0%	1.35%	3.53%	1.40%	2.98%	2.59%	2.15%	0.69%	8.33%	1.90%	1.54%	2.13%	2.10%	1.88%	1.79%	1.09%	1.40%	1.82%	1.25%	1.50%	1.39%	2.56%	3.63%	1.27%	2.63%	3.66%	1.28%	2.29%	0.0%	5.0%	0.82%	6.74%	0.83%	1.51%	3.37%	0.76%	3.24%	2.05%	1.95%	2.19%	1.60%	2.60%	2.10%	2.64%	1.88%	3.18%	5.24%	2.84%	2.23%	0.76%	2.56%	1.73%	1.50%	1.36%	1.95%	2.17%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	512	2	4	7	0	0	0	21	3	8	5	5	0	12	24	16	36	0	13	5	16	25	10	11	26	7	2	9	24	5	28	3	5	0	2	1	15	0	0	1	7	4	14	16	4	8	13	0	1	9	6	12	7	2	18	10	3	17	6	4					
		2.28%	1.23%	3.53%	2.14%	0.0%	0.0%	0.0%	2.27%	1.49%	2.30%	2.15%	1.16%	0.0%	1.90%	3.70%	1.79%	3.78%	0.0%	2.12%	1.83%	2.49%	2.84%	6.28%	3.31%	3.30%	3.58%	1.21%	1.91%	3.72%	1.66%	3.25%	3.44%	7.81%	0.0%	1.65%	0.61%	2.49%	0.0%	0.0%	0.76%	2.52%	1.64%	1.82%	3.19%	1.07%	2.31%	2.10%	0.0%	0.94%	1.68%	0.76%	1.70%	3.12%	1.52%	2.71%	2.89%	1.50%	7.72%	1.30%	0.87%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	841	10	7	16	14	3	9	54	12	20	17	11	2	23	14	21	21	3	20	11	16	27	6	19	19	8	3	11	24	14	87	2	3	0	5	9	23	3	10	12	12	8	34	27	14	11	13	6	5	10	7	22	8	0	17	14	11	10	15	8					
		3.76%	6.17%	6.19%	4.89%	19.71%	4.05%	7.96%	5.85%	5.97%	5.76%	7.32%	2.55%	1.19%	3.65%	2.16%	2.35%	2.20%	1.88%	3.26%	4.02%	2.49%	3.07%	3.77%	5.72%	2.41%	4.10%	1.81%	2.34%	3.72%	4.66%	10.12%	2.29%	4.68%	0.0%	4.13%	5.52%	3.82%	2.27%	6.75%	9.23%	4.33%	3.29%	4.43%	5.38%	3.75%	3.17%	2.10%	3.97%	4.71%	1.87%	0.89%	3.13%	3.57%	0.0%	2.56%	4.04%	5.52%	4.54%	3.26%	1.74%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	369	4	1	4	0	0	3	10	1	7	1	2	7	16	14	14	23	1	13	2	15	18	1	2	8	9	1	3	15	30	20	0	2	0	5	6	11	3	2	1	1	1	4	9	2	11	9	0	0	5	2	12	0	0	11	12	6	1	2	6					
		1.65%	2.46%	0.88%	1.22%	0.0%	0.0%	2.65%	1.08%	0.49%	2.01%	0.43%	0.46%	4.16%	2.54%	2.16%	1.56%	2.41%	0.62%	2.12%	0.73%	2.34%	2.05%	0.62%	0.60%	1.01%	4.61%	0.60%	0.63%	2.32%	10.0%	2.32%	0.0%	3.12%	0.0%	4.13%	3.68%	1.83%	2.27%	1.35%	0.76%	0.36%	0.41%	0.52%	1.79%	0.53%	3.17%	1.45%	0.0%	0.0%	0.93%	0.25%	1.70%	0.0%	0.0%	1.66%	3.46%	3.01%	0.45%	0.43%	1.30%					
22	"5. ""За Русь Святую"""	127	1	0	1	0	0	0	1	0	3	5	3	1	3	1	9	2	0	4	2	7	7	2	2	4	1	1	3	3	2	5	1	2	0	1	0	3	1	3	2	4	1	5	5	6	2	1	0	1	1	1	5	0	0	3	1	0	1	3	1					
