Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №18																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	94303	1527	1262	1842	1821	1918	1549	1376	1804	2184	1953	2409	1248	1950	2030	1033	1571	2293	1266	1422	2092	1797	1774	972	1359	1827	1938	1413	1075	1520	1951	1086	2281	1713	1471	1986	2765	1247	1402	1293	2259	1228	1275	2401	1643	2678	2521	2113	1935	2111	2215	2212	1330	2019	151	385	407									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82400	1100	1000	1500	1500	1500	1500	1000	1500	2000	2500	2000	1000	1500	1500	1000	1500	2000	1000	1000	2000	1500	1500	700	1000	1500	1500	1000	1000	1100	3000	1000	2000	1500	1000	1500	2500	1000	1000	1000	2000	1000	1000	2000	1500	2500	2500	2000	1500	2000	2000	2000	1000	1500	500	1000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35863	482	386	564	549	624	439	435	580	636	585	753	383	564	677	407	670	732	456	650	567	666	590	354	586	613	735	577	477	586	755	412	802	524	479	758	875	356	576	713	1326	500	448	1272	1317	1396	1197	683	616	719	1077	742	616	781	120	385	95									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1190	10	31	3	3	21	8	41	16	12	16	13	65	11	7	8	11	21	10	5	6	5	3	0	2	6	11	45	6	7	11	4	9	13	23	2	18	21	9	1	17	28	24	42	1	5	6	24	309	85	30	6	1	98	0	0	0									
6	Число погашенных избирательных бюллетеней	45341	607	582	933	948	855	1053	523	904	1352	1899	1234	552	925	816	585	819	1247	534	345	1427	829	907	346	412	881	754	378	517	507	2234	584	1189	962	498	740	1607	623	413	286	657	472	528	686	182	1099	1297	1293	575	1196	893	1252	383	621	380	615	405									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1189	10	31	3	3	21	8	41	16	12	16	13	65	11	7	8	11	21	10	5	6	5	3	0	2	6	11	45	6	7	11	4	9	13	23	2	18	21	9	1	17	28	24	42	1	5	6	24	308	85	30	6	1	98	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35548	482	386	562	531	620	437	435	577	609	582	744	383	561	677	384	653	730	455	614	565	666	587	354	584	612	724	572	477	586	741	408	802	519	478	757	873	353	576	713	1309	500	443	1272	1317	1396	1181	680	579	719	1077	720	615	771	120	385	95									
9	Число недействительных избирательных бюллетеней	556	6	6	11	9	31	4	7	6	4	16	9	11	7	12	3	19	11	8	8	9	13	15	8	6	8	12	7	6	4	18	2	10	25	14	11	15	2	11	16	10	0	12	0	29	3	16	9	14	8	32	6	2	8	0	6	1									
10	Число действительных избирательных бюллетеней	36181	486	411	554	525	610	441	469	587	617	582	748	437	565	672	389	645	740	457	611	562	658	575	346	580	610	723	610	477	589	734	410	801	507	487	748	876	372	574	698	1316	528	455	1314	1289	1398	1171	695	873	796	1075	720	614	861	120	379	94									
