Выборы Президента Российской Федерации																																																																																																																																																																								
																																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																																								
																																																																																																																																																																								
Итоги голосования 																																																																																																																																																																								
																																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1376	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1450	УИК №1451	УИК №1456	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470					
1	"Число избирателей, внесенных в список"	114427	366	161	1970	1459	2034	894	201	341	2354	1876	2903	825	1252	629	300	2402	2402	1127	1065	2617	1537	1201	1767	1072	1909	1815	1602	1389	1813	1891	1190	2711	1564	2649	2311	1979	2046	192	1479	1592	1510	1345	1558	2417	2300	2115	1303	2227	2363	2404	1474	2235	2330	1860	1844	2108	1798	2154	2130	2275	1455	1849	2381	1262	1608	1534	33	25	27	19	15	35	16	15	19	25	15	21	15	23	93	92	85	95	84	80	81	28	19	20	18	17	20	20	18	18	18	18	21	20	21	21	21	21	22	21	28	29	25	114	18	21	21	23	21	17	29	29	29	25	20	23	30	27	27	13	19	17	24	22	85	74	270	275	25	25	25	25	25	24	25	25	20	34	91	30	20	27	88	67	20	32	29	73	75	80	88	25	15	23	15					
2	Число полученных избирательных бюллетеней	113203	370	157	2100	1400	2300	1000	185	350	2200	2000	2600	850	1300	850	300	2400	2500	1100	900	2300	1500	1300	2000	1100	1700	1700	1500	2000	1700	2000	1700	2400	1500	2500	2200	2000	2000	187	1300	1500	1500	1300	1300	2300	2200	2200	1200	2200	2200	2200	1400	2100	2000	2000	1700	2000	2000	2100	2300	2200	1400	2000	2300	1200	1600	1600	33	25	27	19	15	35	16	15	19	25	15	21	15	23	93	92	85	95	84	84	81	28	21	22	18	19	22	22	18	20	18	18	23	22	24	23	23	23	22	21	28	29	25	114	18	21	21	23	21	17	29	29	29	25	20	23	31	27	27	13	19	17	24	22	85	74	275	280	25	25	25	25	25	24	28	25	20	40	91	30	20	27	90	69	20	32	29	73	75	80	88	25	15	23	15					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	74950	273	157	1302	950	1487	537	170	239	1272	1222	1797	532	791	401	240	1666	1507	655	610	1573	1038	814	1173	743	1079	1207	974	1351	1176	1122	1158	1912	972	1646	1393	1125	1141	92	885	987	870	895	883	1498	1114	1411	853	1525	1461	1578	893	1471	1498	1227	1064	1357	1196	1457	1464	1468	900	1158	1429	902	1100	1215	33	25	27	19	15	35	16	15	19	25	15	21	15	23	90	92	85	94	83	80	81	28	19	20	18	17	20	20	18	18	18	18	21	20	21	21	21	21	22	21	28	29	25	114	18	21	21	23	21	17	29	29	29	25	20	23	30	27	27	13	19	17	24	22	85	74	270	275	25	25	25	25	25	24	25	25	20	34	91	30	20	27	87	67	20	32	28	73	75	80	88	25	15	23	15					
5	"Число избирательных бюллетеней, выданных вне помещения"	3440	28	0	125	78	109	45	0	34	85	59	23	77	23	228	60	35	61	68	45	75	59	35	71	14	30	57	82	38	17	13	32	185	19	37	55	28	31	38	35	35	26	26	193	23	22	33	31	38	39	37	43	78	33	17	86	30	62	53	30	172	21	34	33	59	41	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	34813	69	0	673	372	704	418	15	77	843	719	780	241	486	221	0	699	932	377	245	652	403	451	756	343	591	436	444	611	507	865	510	303	509	817	752	847	828	57	380	478	604	379	224	779	1064	756	316	637	700	585	464	551	469	756	550	613	742	590	806	560	479	808	838	239	459	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	4	0	0	2	2	0	2	2	2	0	2	0	0	2	2	3	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	3	0	0	6	0	0	0	0	3	2	0	0	1	0	0	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках	3440	28	0	125	78	109	45	0	34	85	59	23	77	23	228	60	35	61	68	45	75	59	35	71	14	30	57	82	38	17	13	32	185	19	37	55	28	31	38	35	35	26	26	193	23	22	33	31	38	39	37	43	78	33	17	86	30	62	53	30	172	21	34	33	59	41	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	74855	273	157	1286	949	1487	537	170	239	1272	1222	1797	532	791	401	240	1666	1507	655	609	1573	1038	808	1173	742	1079	1207	972	1350	1176	1122	1158	1898	971	1646	1393	1115	1138	92	885	986	870	895	883	1498	1113	1401	852	1525	1461	1576	893	1471	1497	1227	1064	1357	1189	1457	1464	1458	900	1158	1429	902	1095	1215	33	25	27	19	15	35	16	15	19	25	15	21	15	23	90	92	85	94	83	80	81	28	19	20	18	17	20	20	18	18	18	18	21	20	21	21	21	21	22	21	28	29	25	113	18	21	21	23	21	17	29	29	29	25	20	23	30	27	27	13	19	17	24	22	85	74	270	275	25	25	25	25	25	24	25	25	20	34	91	30	20	27	87	67	20	32	28	73	75	80	88	25	15	23	15					
9	Число недействительных избирательных бюллетеней	702	2	0	16	10	16	5	0	1	14	15	0	0	7	3	0	17	0	13	16	14	7	10	15	9	10	11	16	17	7	8	16	14	6	8	7	16	18	0	8	6	11	3	11	14	12	15	6	15	20	20	8	14	25	11	18	9	19	12	3	10	13	15	26	2	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0					
10	Число действительных избирательных бюллетеней	77593	299	157	1395	1017	1580	577	170	272	1343	1266	1820	609	807	626	300	1684	1568	710	638	1634	1090	833	1229	747	1099	1253	1038	1371	1186	1127	1174	2069	984	1675	1441	1127	1151	130	912	1015	885	918	1065	1507	1123	1419	877	1548	1480	1593	928	1535	1505	1233	1132	1378	1232	1498	1491	1620	908	1177	1436	959	1133	1218	33	25	27	19	15	35	16	15	19	25	15	21	15	23	89	89	84	93	81	80	80	28	19	20	18	17	20	20	18	18	18	18	21	20	21	21	21	21	22	21	28	29	25	112	18	21	21	23	21	17	29	28	29	25	20	23	30	27	27	13	19	17	24	22	84	74	270	274	25	25	25	25	25	24	25	25	20	33	90	29	20	27	87	67	20	31	27	73	75	79	88	25	13	23	15					
