Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    Катайская																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449					
1	"Число избирателей, внесенных в списки избирателей"	21491	486	846	511	866	1571	1724	1687	2068	865	823	690	727	65	355	155	287	596	182	1525	147	260	94	507	619	135	166	475	77	167	228	63	107	53	54	281	154	248	136	535	71	130	140	481	134					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21250	480	820	460	750	1500	1790	1600	2000	850	800	730	710	100	380	160	290	590	170	1400	150	290	110	560	600	130	160	480	80	170	230	70	130	60	70	300	170	250	140	550	60	140	150	490	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12473	232	436	237	386	918	1020	799	1103	510	444	366	415	65	283	112	207	321	138	793	94	175	64	342	408	89	129	303	68	144	177	54	55	33	35	163	101	175	97	329	51	90	96	330	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	906	34	24	21	16	88	52	30	48	33	56	51	25	0	10	4	26	27	4	65	12	18	8	36	22	6	0	22	0	0	11	6	7	3	0	20	19	9	12	31	0	13	0	23	14					
6	Число погашенных избирательных бюллетеней	7871	214	360	202	348	494	718	771	849	307	300	313	270	35	87	44	57	242	28	542	44	97	38	182	170	35	31	155	12	26	42	10	68	24	35	117	50	66	31	190	9	37	54	137	30					
7	Число избирательных бюллетеней в переносных ящиках для голосования	906	34	24	21	16	88	52	30	48	33	56	51	25	0	10	4	26	27	4	65	12	18	8	36	22	6	0	22	0	0	11	6	7	3	0	20	19	9	12	31	0	13	0	23	14					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12470	232	436	237	386	918	1020	799	1103	510	444	365	415	65	283	112	207	321	138	793	94	175	64	342	408	89	129	303	68	144	177	54	55	33	35	163	101	175	97	328	50	90	96	330	86					
9	Число недействительных избирательных бюллетеней	84	1	3	1	1	4	8	5	4	2	8	2	3	0	1	1	3	2	0	8	0	0	0	2	5	2	1	5	0	1	2	0	0	0	0	0	2	1	0	1	0	0	1	4	0					
10	Число действительных избирательных бюллетеней	13292	265	457	257	401	1002	1064	824	1147	541	492	414	437	65	292	115	230	346	142	850	106	193	72	376	425	93	128	320	68	143	186	60	62	36	35	183	118	183	109	358	50	103	95	349	100					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	351	6	9	6	9	30	29	23	41	10	9	9	8	0	5	3	9	7	3	20	3	10	2	17	7	2	3	6	2	3	3	5	2	2	2	4	3	4	3	7	2	2	3	16	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	224	2	3	2	5	20	26	18	26	5	5	8	6	0	2	0	5	7	0	16	1	6	0	12	7	2	3	1	1	0	2	2	2	0	0	3	2	3	0	4	0	1	0	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	153	2	2	10	2	20	9	9	10	2	9	1	4	0	1	1	1	2	0	9	2	3	2	1	1	1	3	1	5	2	1	1	2	2	0	4	2	0	2	10	4	3	2	3	2					
14	Число погашенных неиспользованных открепительных удостоверений	127	4	6	4	4	10	3	5	15	5	4	1	2	0	3	3	4	0	3	4	2	4	2	5	0	0	0	5	1	3	1	3	0	2	2	1	1	1	3	3	2	1	3	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	556	10	11	11	19	40	35	24	35	19	19	12	18	0	12	17	23	35	9	45	4	7	9	14	24	1	2	17	0	3	11	1	3	2	6	8	2	2	2	17	1	10	0	12	4					
		4.16%	3.76%	2.39%	4.26%	4.73%	3.98%	3.26%	2.90%	3.04%	3.50%	3.80%	2.88%	4.09%	0.00%	4.10%	14.66%	9.87%	10.06%	6.34%	5.24%	3.77%	3.63%	12.50%	3.70%	5.58%	1.05%	1.55%	5.23%	0.00%	2.08%	5.85%	1.67%	4.84%	5.56%	17.14%	4.37%	1.67%	1.09%	1.83%	4.74%	2.00%	9.71%	0.00%	3.40%	4.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	89	0	0	2	12	16	16	9	4	2	6	4	2	0	0	0	1	0	1	3	0	0	0	0	2	0	3	2	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0					
		0.67%	0.00%	0.00%	0.78%	2.99%	1.59%	1.49%	1.09%	0.35%	0.37%	1.20%	0.96%	0.45%	0.00%	0.00%	0.00%	0.43%	0.00%	0.70%	0.35%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	2.33%	0.62%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.97%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	9	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1235	22	27	12	50	136	164	99	125	57	29	37	31	6	18	16	8	15	9	69	8	15	5	32	48	1	7	40	16	5	8	1	9	3	2	33	6	7	7	15	7	2	6	17	5					
		9.23%	8.27%	5.87%	4.65%	12.44%	13.52%	15.30%	11.94%	10.86%	10.50%	5.80%	8.89%	7.05%	9.23%	6.14%	13.79%	3.43%	4.31%	6.34%	8.04%	7.55%	7.77%	6.94%	8.47%	11.16%	1.05%	5.43%	12.31%	23.53%	3.47%	4.26%	1.67%	14.52%	8.33%	5.71%	18.03%	5.00%	3.80%	6.42%	4.18%	14.00%	1.94%	6.25%	4.82%	5.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	80	7	1	3	1	9	12	11	9	4	4	3	0	1	0	0	0	1	0	7	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0					
		0.60%	2.63%	0.22%	1.16%	0.25%	0.89%	1.12%	1.33%	0.78%	0.74%	0.80%	0.72%	0.00%	1.54%	0.00%	0.00%	0.00%	0.29%	0.00%	0.82%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	37	0	3	1	0	5	5	4	2	1	3	2	1	0	0	0	0	0	0	4	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.28%	0.00%	0.65%	0.39%	0.00%	0.50%	0.47%	0.48%	0.17%	0.18%	0.60%	0.48%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.26%	0.23%	0.00%	0.00%	0.31%	0.00%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	0.00%	0.00%					
