Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Богородицкая																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135					
1	"Число избирателей, внесенных в списки избирателей"	42279	1789	1080	1071	1635	2504	1764	805	2799	2309	998	1475	989	1016	281	604	2500	1184	1359	192	287	1425	1350	2156	939	394	493	169	294	238	143	472	142	1583	82	399	161	429	98	351	774	287	771	325	732	369	602	460					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39010	1700	900	1000	1550	2200	1600	700	2600	2200	900	1300	900	900	250	550	2300	1100	1200	170	250	1300	1300	2000	900	400	450	150	300	200	140	450	140	1450	70	400	150	400	90	350	750	250	700	300	700	350	600	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17264	789	457	521	769	1156	792	278	1115	1071	396	696	350	347	134	286	1048	488	515	92	117	703	461	773	364	160	158	36	106	144	85	201	56	600	42	89	57	189	58	117	265	87	219	124	193	131	231	198					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3498	32	70	75	48	123	66	45	128	92	52	65	53	43	10	22	86	67	96	8	50	55	90	95	43	85	153	60	103	33	5	50	29	122	8	112	30	44	19	75	138	38	135	61	276	114	159	135					
6	Число погашенных избирательных бюллетеней	18248	879	373	404	733	921	742	377	1357	1037	452	539	497	510	106	242	1166	545	589	70	83	542	749	1132	493	155	139	54	91	23	50	199	55	728	20	199	63	167	13	158	347	125	346	115	231	105	210	117					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3497	32	70	75	48	123	66	45	128	92	52	65	53	43	10	22	85	67	96	8	50	55	90	95	43	85	153	60	103	33	5	50	29	122	8	112	30	44	19	75	138	38	135	61	276	114	159	135					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17263	789	457	521	768	1156	792	278	1115	1071	396	696	350	347	134	286	1048	488	515	92	117	703	461	773	364	160	158	36	106	144	85	201	56	600	42	89	57	189	58	117	265	87	219	124	193	131	231	198					
9	Число недействительных избирательных бюллетеней	182	10	2	3	8	25	10	3	11	17	9	7	2	2	0	1	2	8	2	1	7	5	4	9	1	0	3	0	0	0	0	0	0	8	0	3	1	1	1	3	7	2	2	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	20578	811	525	593	808	1254	848	320	1232	1146	439	754	401	388	144	307	1131	547	609	99	160	753	547	859	406	245	308	96	209	177	90	251	85	714	50	198	86	232	76	189	396	123	352	184	469	245	389	333					
