Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Белогорская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71					
1	"Число избирателей, внесенных в список"	16480	178	1599	183	136	414	32	71	109	892	1525	453	2493	458	123	78	131	484	270	554	70	82	714	95	870	529	178	317	139	56	437	128	117	580	365	186	205	1229					
2	Число полученных избирательных бюллетеней	15080	176	1450	185	136	400	32	70	111	800	1300	400	2100	450	122	80	133	450	250	500	69	81	650	89	750	500	172	300	141	56	400	127	116	550	350	184	200	1200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9642	122	831	85	82	246	27	58	99	500	789	233	1439	291	102	72	102	306	172	290	49	55	361	76	519	316	95	208	103	43	242	91	97	399	214	127	111	690					
5	"Число избирательных бюллетеней, выданных вне помещения"	427	0	38	33	0	22	0	0	0	9	22	35	24	28	0	0	0	12	7	24	0	0	35	0	20	14	7	6	4	0	5	0	4	19	21	4	10	24					
6	Число погашенных избирательных бюллетеней	5011	54	581	67	54	132	5	12	12	291	489	132	637	131	20	8	31	132	71	186	20	26	254	13	211	170	70	86	34	13	153	36	15	132	115	53	79	486					
7	Число избирательных бюллетеней в переносных ящиках	427	0	38	33	0	22	0	0	0	9	22	35	24	28	0	0	0	12	7	24	0	0	35	0	20	14	7	6	4	0	5	0	4	19	21	4	10	24					
8	Число бюллетеней в стационарных ящиках для голосования	9640	122	831	85	82	246	27	58	99	500	789	231	1439	291	102	72	102	306	172	290	49	55	361	76	519	316	95	208	103	43	242	91	97	399	214	127	111	690					
9	Число недействительных избирательных бюллетеней	117	0	11	0	0	5	0	1	0	2	5	2	20	5	0	0	1	5	1	9	0	1	5	0	2	4	3	3	0	0	9	3	0	13	2	0	2	3					
10	Число действительных избирательных бюллетеней	9950	122	858	118	82	263	27	57	99	507	806	264	1443	314	102	72	101	313	178	305	49	54	391	76	537	326	99	211	107	43	238	88	101	405	233	131	119	711					
