Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Тунгиро-Олекминская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1029	684	207	63	54	21									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1100	741	210	64	56	29									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	537	370	98	33	19	17									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	30	25	5	0	0	0									
6	Число погашенных избирательных бюллетеней	533	346	107	31	37	12									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	30	25	5	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	537	370	98	33	19	17									
9	Число недействительных избирательных бюллетеней	16	8	4	3	0	1									
10	Число действительных избирательных бюллетеней	551	387	99	30	19	16									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	104	45	50	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	49	45	1	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	12	9	0	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	55	0	49	3	3	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	12	0	0	2	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	7	5	2	0	0	0									
		1.23%	1.27%	1.94%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	14	12	1	0	1	0									
		2.47%	3.04%	0.97%	0.00%	5.26%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	11	11	0	0	0	0									
		1.94%	2.78%	0.00%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	319	199	66	28	14	12									
		56.26%	50.38%	64.08%	84.85%	73.68%	70.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	1	1	0	0	0	0									
		0.18%	0.25%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	3	1	0	0	0									
		0.71%	0.76%	0.97%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	134	107	19	2	2	4									
		23.63%	27.09%	18.45%	6.06%	10.53%	23.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	3	0	0	0	0									
		0.53%	0.76%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	44	33	9	0	2	0									
		7.76%	8.35%	8.74%	0.00%	10.53%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	5	0	0	0	0									
		0.88%	1.27%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9	8	1	0	0	0									
		1.59%	2.03%	0.97%	0.00%	0.00%	0.00%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
