Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Таврическая																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28026	1752	1002	1472	1307	1315	1250	1060	1187	323	541	541	249	374	232	1027	112	1019	169	1063	322	140	1129	238	305	159	218	249	202	154	1119	77	1283	159	126	124	1500	1149	109	78	225	1116	194	216	765	108	290	204	73									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27455	1750	1000	1450	1300	1230	1240	1050	1150	300	540	540	240	350	240	1000	100	1000	150	1050	300	130	1140	250	290	150	200	240	190	150	1100	70	1270	150	120	120	1480	1130	100	70	215	1100	190	210	750	100	290	200	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12134	698	394	561	489	452	444	405	482	162	179	277	126	213	187	442	58	548	84	397	120	87	516	200	162	91	120	109	101	81	483	47	507	89	69	59	557	416	54	21	88	460	58	61	505	92	200	138	45									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1027	44	29	31	14	34	27	28	25	111	22	11	23	10	0	52	10	19	6	57	13	3	39	5	12	10	13	6	3	7	36	9	47	6	6	5	87	42	4	1	6	40	26	12	23	3	4	6	0									
6	Число погашенных избирательных бюллетеней	14294	1008	577	858	797	744	769	617	643	27	339	252	91	127	53	506	32	433	60	596	167	40	585	45	116	49	67	125	86	62	581	14	716	55	45	56	836	672	42	48	121	600	106	137	222	5	86	56	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1027	44	29	31	14	34	27	28	25	111	22	11	23	10	0	52	10	19	6	57	13	3	39	5	12	10	13	6	3	7	36	9	47	6	6	5	87	42	4	1	6	40	26	12	23	3	4	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12130	698	394	561	488	452	444	405	482	162	179	277	126	213	187	442	58	548	84	397	120	87	516	200	162	91	120	109	101	81	483	47	507	89	69	59	555	416	54	21	88	459	58	61	505	92	200	138	45									
9	Число недействительных избирательных бюллетеней	504	42	22	18	17	15	11	17	10	19	3	13	3	10	0	15	1	20	4	18	3	2	26	10	6	8	6	5	1	3	14	2	24	3	6	2	39	11	3	0	0	28	7	2	20	3	11	1	0									
10	Число действительных избирательных бюллетеней	12653	700	401	574	485	471	460	416	497	254	198	275	146	213	187	479	67	547	86	436	130	88	529	195	168	93	127	110	103	85	505	54	530	92	69	62	603	447	55	22	94	471	77	71	508	92	193	143	45									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	482	30	20	20	20	30	30	20	20	20	10	5	5	5	5	20	2	15	2	15	2	2	15	5	15	3	3	3	3	3	15	2	20	3	8	3	20	20	2	2	2	15	2	2	10	2	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	218	23	9	16	18	6	10	17	16	20	6	1	0	0	0	20	0	3	0	8	0	0	3	0	1	0	3	1	0	0	4	0	4	0	4	0	10	5	0	2	0	3	2	0	2	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	156	5	5	9	4	10	8	10	8	7	2	4	1	0	2	5	5	2	3	1	0	1	2	3	1	0	3	2	0	2	5	0	2	1	2	2	19	2	2	2	3	5	1	2	0	1	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	264	7	11	4	2	24	20	3	4	0	4	4	5	5	5	0	2	12	2	7	2	2	12	5	14	3	0	2	3	3	11	2	16	3	4	3	10	15	2	0	2	12	0	2	8	2	1	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	2	0	1	1	74	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	130	16	5	7	2	4	3	7	9	7	0	2	0	2	1	3	0	4	1	6	2	0	2	1	0	1	1	1	1	1	5	0	4	1	1	2	7	5	2	0	1	2	3	0	7	0	1	0	0									
		0.99%	2.16%	1.18%	1.18%	0.40%	0.82%	0.64%	1.62%	1.78%	2.56%	0.00%	0.69%	0.00%	0.90%	0.53%	0.61%	0.00%	0.71%	1.11%	1.32%	1.50%	0.00%	0.36%	0.49%	0.00%	0.99%	0.75%	0.87%	0.96%	1.14%	0.96%	0.00%	0.72%	1.05%	1.33%	3.13%	1.09%	1.09%	3.45%	0.00%	1.06%	0.40%	3.57%	0.00%	1.33%	0.00%	0.49%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	616	31	19	25	22	14	22	17	23	14	9	10	5	6	1	33	1	24	3	23	1	6	26	7	0	8	12	6	8	4	26	2	47	7	3	3	42	30	6	2	4	22	5	5	15	1	11	2	3									
		4.68%	4.18%	4.49%	4.22%	4.38%	2.88%	4.67%	3.93%	4.54%	5.13%	4.48%	3.47%	3.36%	2.69%	0.53%	6.68%	1.47%	4.23%	3.33%	5.07%	0.75%	6.67%	4.68%	3.41%	0.00%	7.92%	9.02%	5.22%	7.69%	4.55%	5.01%	3.57%	8.48%	7.37%	4.00%	4.69%	6.54%	6.55%	10.34%	9.09%	4.26%	4.41%	5.95%	6.85%	2.84%	1.05%	5.39%	1.39%	6.67%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	259	15	10	17	10	8	5	15	17	15	5	9	5	1	3	5	0	8	0	12	2	1	21	3	0	4	3	4	2	2	10	1	7	1	0	0	11	6	0	2	3	9	2	1	2	2	0	0	0									
		1.97%	2.02%	2.36%	2.87%	1.99%	1.65%	1.06%	3.46%	3.35%	5.49%	2.49%	3.13%	3.36%	0.45%	1.60%	1.01%	0.00%	1.41%	0.00%	2.64%	1.50%	1.11%	3.78%	1.46%	0.00%	3.96%	2.26%	3.48%	1.92%	2.27%	1.93%	1.79%	1.26%	1.05%	0.00%	0.00%	1.71%	1.31%	0.00%	9.09%	3.19%	1.80%	2.38%	1.37%	0.38%	2.11%	0.00%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5490	273	177	230	209	168	172	160	214	125	66	171	71	107	106	240	49	265	52	195	72	52	208	114	48	48	68	58	44	28	194	20	198	46	41	37	191	120	16	10	46	201	26	14	255	40	100	123	22									
		41.73%	36.79%	41.84%	38.85%	41.63%	34.57%	36.52%	36.95%	42.21%	45.79%	32.84%	59.38%	47.65%	47.98%	56.68%	48.58%	72.06%	46.74%	57.78%	42.95%	54.14%	57.78%	37.48%	55.61%	27.59%	47.52%	51.13%	50.43%	42.31%	31.82%	37.38%	35.71%	35.74%	48.42%	54.67%	57.81%	29.75%	26.20%	27.59%	45.45%	48.94%	40.28%	30.95%	19.18%	48.30%	42.11%	49.02%	85.42%	48.89%									
