Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																
Дата голосования: 02.12.2007																																
																																
Наименование Избирательной комиссии:    Должанская																																
																																
Сводная таблица результатов выборов																																
																																
		Сумма	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295					
1	"Число избирателей, внесенных в списки избирателей"	9952	370	310	257	163	612	339	280	238	517	225	259	235	195	478	181	1451	1918	189	327	124	364	465	199	160	96					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9829	383	321	257	163	635	346	286	241	527	228	254	241	202	492	180	1337	1783	193	334	127	365	476	199	161	98					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5623	167	113	98	78	371	223	155	94	345	138	140	125	82	228	125	902	1199	96	137	94	161	254	125	109	64					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2211	123	136	101	63	159	83	96	140	100	52	73	78	59	120	33	85	90	72	134	22	150	128	48	39	27					
6	Число погашенных избирательных бюллетеней	1995	93	72	58	22	105	40	35	7	82	38	41	38	61	144	22	350	494	25	63	11	54	94	26	13	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2211	123	136	101	63	159	83	96	140	100	52	73	78	59	120	33	85	90	72	134	22	150	128	48	39	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5623	167	113	98	78	371	223	155	94	345	138	140	125	82	228	125	902	1199	96	137	94	161	254	125	109	64					
9	Число недействительных избирательных бюллетеней	173	4	1	1	6	29	0	2	2	18	1	12	0	1	2	1	17	47	9	3	0	2	7	0	0	8					
10	Число действительных избирательных бюллетеней	7661	286	248	198	135	501	306	249	232	427	189	201	203	140	346	157	970	1242	159	268	116	309	375	173	148	83					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	204	5	5	3	1	12	11	5	2	8	4	3	5	5	6	3	46	45	5	5	0	5	7	5	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	131	4	5	0	0	10	11	2	0	5	4	3	5	2	3	0	33	35	2	2	0	0	4	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	44	0	1	1	0	0	3	1	0	2	3	4	1	3	0	1	5	10	1	2	1	1	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	73	1	0	3	1	2	0	3	2	3	0	0	0	3	3	3	13	10	3	3	0	5	3	5	4	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	9	12	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	1.Политическая партия «Аграрная партия России»	193	10	13	3	3	19	8	1	1	4	20	10	2	5	1	1	24	44	1	8	1	5	5	1	0	3					
		2.46%	3.45%	5.22%	1.51%	2.13%	3.58%	2.61%	0.40%	0.43%	0.90%	10.53%	4.69%	0.99%	3.55%	0.29%	0.63%	2.43%	3.41%	0.60%	2.95%	0.86%	1.61%	1.31%	0.58%	0.00%	3.30%					
19	2.Всероссийская политическая партия «Гражданская Сила»	31	1	0	1	0	2	1	0	0	1	0	2	0	0	0	1	5	12	1	0	0	1	1	1	1	0					
		0.40%	0.34%	0.00%	0.50%	0.00%	0.38%	0.33%	0.00%	0.00%	0.22%	0.00%	0.94%	0.00%	0.00%	0.00%	0.63%	0.51%	0.93%	0.60%	0.00%	0.00%	0.32%	0.26%	0.58%	0.68%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.20%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	892	20	18	7	0	47	32	30	14	31	5	22	7	25	68	31	213	200	10	18	4	56	22	8	3	1					
		11.39%	6.90%	7.23%	3.52%	0.00%	8.87%	10.46%	11.95%	5.98%	6.97%	2.63%	10.33%	3.45%	17.73%	19.54%	19.62%	21.58%	15.52%	5.95%	6.64%	3.45%	18.01%	5.76%	4.62%	2.03%	1.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	26	0	2	0	0	2	1	0	0	1	0	0	0	1	2	0	7	7	0	1	0	1	0	1	0	0					
		0.33%	0.00%	0.80%	0.00%	0.00%	0.38%	0.33%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.71%	0.57%	0.00%	0.71%	0.54%	0.00%	0.37%	0.00%	0.32%	0.00%	0.58%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	1	0	0	0	0	0	1	0	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.22%	0.00%	0.00%	0.00%	0.71%	0.29%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	657	22	34	22	16	42	35	11	15	32	10	17	12	7	11	2	111	131	10	17	10	30	41	7	6	6					
		8.39%	7.59%	13.65%	11.06%	11.35%	7.92%	11.44%	4.38%	6.41%	7.19%	5.26%	7.98%	5.91%	4.96%	3.16%	1.27%	11.25%	10.16%	5.95%	6.27%	8.62%	9.65%	10.73%	4.05%	4.05%	6.59%					
